Format Version,1.22,,,Capture Frame Rate,120,Export Frame Rate,120
,,,,,,,
,,Marker,Marker,Marker,,,
,,MarkerSet 01:index,MarkerSet 01:index,MarkerSet 01:index,,,
,,93A035E647D911E8FE02933ACAB89BAE,93A035E647D911E8FE02933ACAB89BAE,93A035E647D911E8FE02933ACAB89BAE,,,
,,Position,Position,Position,,,
Frame,Time (Seconds),X,Y,Z,,,
0,0,-0.009218,0.047395,0.003184,,,
1,0.008333,-0.009204,0.047411,0.003161,,,
2,0.016667,-0.009207,0.047406,0.003143,,,
3,0.025,-0.009193,0.047423,0.003125,,,
4,0.033333,-0.009196,0.047418,0.003105,,,
5,0.041667,-0.009187,0.047439,0.003091,,,
6,0.05,-0.009192,0.047438,0.003078,,,
7,0.058333,-0.00919,0.047435,0.003072,,,
8,0.066667,-0.009178,0.047441,0.003065,,,
9,0.075,-0.009181,0.047413,0.003068,,,
10,0.083333,-0.009188,0.047367,0.003072,,,
11,0.091667,-0.009177,0.047358,0.003077,,,
12,0.1,-0.009177,0.047352,0.003088,,,
13,0.108333,-0.009168,0.047339,0.003099,,,
14,0.116667,-0.009158,0.047338,0.003111,,,
15,0.125,-0.009163,0.047311,0.003125,,,
16,0.133333,-0.009148,0.047299,0.003141,,,
17,0.141667,-0.009146,0.047287,0.003159,,,
18,0.15,-0.009142,0.047274,0.003194,,,
19,0.158333,-0.009152,0.047243,0.003241,,,
20,0.166667,-0.009147,0.047212,0.003276,,,
21,0.175,-0.009111,0.047249,0.003317,,,
22,0.183333,-0.009098,0.047242,0.003355,,,
23,0.191667,-0.009091,0.047234,0.00339,,,
24,0.2,-0.009093,0.0472,0.003421,,,
25,0.208333,-0.009083,0.047176,0.003445,,,
26,0.216667,-0.009077,0.047165,0.003465,,,
27,0.225,-0.009076,0.047138,0.003486,,,
28,0.233333,-0.009074,0.047116,0.003506,,,
29,0.241667,-0.00908,0.047099,0.00353,,,
30,0.25,-0.009079,0.047081,0.003556,,,
31,0.258333,-0.009073,0.047083,0.003563,,,
32,0.266667,-0.009074,0.04708,0.00357,,,
33,0.275,-0.009065,0.047082,0.003581,,,
34,0.283333,-0.009066,0.047077,0.003598,,,
35,0.291667,-0.009047,0.047084,0.003617,,,
36,0.3,-0.00904,0.047064,0.003631,,,
37,0.308333,-0.00904,0.047046,0.003648,,,
