Format Version,1.23,Take Name,Take 2024-01-30 11.18.01 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-01-30 11.18.01.482 AM,Capture Start Frame,39328,Total Frames in Take,961,Total Exported Frames,961,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001,Unlabeled 1002,Unlabeled 1002,Unlabeled 1002
,ID,"C4D00","C4D00","C4D00","C4F40","C4F40","C4F40","C4F60","C4F60","C4F60"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.050527,0.259297,0.293106,0.030996,0.036395,0.149975,-0.010726,0.325720,-0.081303
1,0.008333,0.050565,0.259360,0.293031,0.030991,0.036408,0.149970,-0.010636,0.325642,-0.081395
2,0.016667,0.050395,0.259412,0.293007,0.030998,0.036424,0.149956,-0.010703,0.325591,-0.081492
3,0.025000,0.050350,0.259451,0.292983,0.030954,0.036417,0.149953,-0.010788,0.325502,-0.081598
4,0.033333,0.050335,0.259459,0.292943,0.030954,0.036419,0.149947,-0.010966,0.325415,-0.081749
5,0.041667,0.050229,0.259459,0.292934,0.030938,0.036408,0.149943,-0.011146,0.325269,-0.081910
6,0.050000,0.050211,0.259472,0.292890,0.030960,0.036412,0.149933,-0.011295,0.325105,-0.082150
7,0.058333,0.050148,0.259499,0.292871,0.030926,0.036396,0.149922,-0.011245,0.324962,-0.082399
8,0.066667,0.050084,0.259529,0.292841,0.031067,0.036464,0.149897,-0.011300,0.324856,-0.082601
9,0.075000,0.050097,0.259594,0.292785,0.031033,0.036483,0.149895,-0.010910,0.324637,-0.082717
10,0.083333,0.049939,0.259655,0.292769,0.031013,0.036480,0.149885,-0.011057,0.324527,-0.082935
11,0.091667,0.049884,0.259675,0.292747,0.030975,0.036462,0.149872,-0.011214,0.324415,-0.083154
12,0.100000,0.049830,0.259698,0.292732,0.031023,0.036458,0.149861,-0.011554,0.324278,-0.083443
13,0.108333,0.049820,0.259708,0.292702,0.030962,0.036439,0.149857,-0.011549,0.324154,-0.083580
14,0.116667,0.049736,0.259735,0.292697,0.030949,0.036443,0.149844,-0.011235,0.323969,-0.083813
15,0.125000,0.049705,0.259769,0.292671,0.030981,0.036462,0.149828,-0.011243,0.323803,-0.084006
16,0.133333,0.049656,0.259785,0.292644,0.030965,0.036466,0.149814,-0.011106,0.323617,-0.084157
17,0.141667,0.049869,0.259807,0.292517,0.030992,0.036468,0.149795,-0.011164,0.323456,-0.084329
18,0.150000,0.049910,0.259820,0.292450,0.030939,0.036434,0.149767,-0.011429,0.323248,-0.084583
19,0.158333,0.049896,0.259829,0.292407,0.030907,0.036420,0.149743,-0.011471,0.323134,-0.084730
20,0.166667,0.049916,0.259849,0.292368,0.031197,0.036509,0.149684,-0.011866,0.323041,-0.085010
21,0.175000,0.049945,0.259877,0.292324,0.031061,0.036497,0.149662,-0.011869,0.323005,-0.085160
22,0.183333,0.049937,0.259909,0.292294,0.030897,0.036494,0.149653,-0.011802,0.322949,-0.085339
23,0.191667,0.049933,0.259929,0.292260,0.030923,0.036514,0.149631,-0.011671,0.322860,-0.085452
24,0.200000,0.049901,0.259925,0.292238,0.031138,0.036558,0.149569,-0.011514,0.322740,-0.085505
25,0.208333,0.049871,0.259906,0.292234,0.031208,0.036555,0.149552,-0.011472,0.322591,-0.085610
26,0.216667,0.049841,0.259888,0.292246,0.031217,0.036535,0.149538,-0.011671,0.322462,-0.085719
27,0.225000,0.049831,0.259873,0.292261,0.031177,0.036539,0.149538,-0.011685,0.322356,-0.085734
28,0.233333,0.049815,0.259881,0.292279,0.031159,0.036553,0.149531,-0.011759,0.322346,-0.085831
29,0.241667,0.049792,0.259902,0.292288,0.031083,0.036572,0.149536,-0.011792,0.322328,-0.085880
30,0.250000,0.049821,0.259924,0.292276,0.031085,0.036586,0.149534,-0.012297,0.322282,-0.086072
31,0.258333,0.049792,0.259937,0.292274,0.031050,0.036580,0.149538,-0.012333,0.322170,-0.086146
32,0.266667,0.049731,0.259938,0.292278,0.031044,0.036568,0.149549,-0.012713,0.322073,-0.086308
33,0.275000,0.049710,0.259928,0.292286,0.030919,0.036533,0.149577,-0.012918,0.322019,-0.086416
34,0.283333,0.049690,0.259926,0.292297,0.031047,0.036552,0.149559,-0.012901,0.321884,-0.086462
35,0.291667,0.049666,0.259934,0.292314,0.030892,0.036527,0.149585,-0.013141,0.321858,-0.086576
36,0.300000,0.049682,0.259944,0.292332,0.030873,0.036530,0.149588,-0.013198,0.321827,-0.086628
37,0.308333,0.049724,0.259956,0.292331,0.030876,0.036542,0.149607,-0.013107,0.321757,-0.086667
38,0.316667,0.049709,0.259953,0.292352,0.030804,0.036520,0.149606,-0.013270,0.321696,-0.086781
39,0.325000,0.049611,0.259942,0.292398,0.030846,0.036521,0.149611,-0.013309,0.321573,-0.086897
40,0.333333,0.049629,0.259917,0.292410,0.030745,0.036475,0.149617,-0.013318,0.321502,-0.086994
41,0.341667,0.049516,0.259906,0.292469,0.030844,0.036501,0.149601,-0.013040,0.321350,-0.087125
42,0.350000,0.049524,0.259908,0.292481,0.030821,0.036498,0.149602,-0.013063,0.321236,-0.087418
43,0.358333,0.049505,0.259910,0.292509,0.030799,0.036506,0.149599,-0.012646,0.321037,-0.087582
44,0.366667,0.049243,0.259925,0.292633,0.030799,0.036503,0.149601,-0.012941,0.320786,-0.087938
45,0.375000,0.049338,0.259883,0.292632,0.030830,0.036497,0.149594,-0.012898,0.320441,-0.088231
