Format Version,1.23,Take Name,Line_Air_Dom,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-04-06 10.15.00.708 AM,Total Frames in Take,628,Total Exported Frames,628,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1405,Unlabeled 1405,Unlabeled 1405,Unlabeled 1406,Unlabeled 1406,Unlabeled 1406,Unlabeled 1407,Unlabeled 1407,Unlabeled 1407
,ID,"CB280","CB280","CB280","CB2A0","CB2A0","CB2A0","CB2B0","CB2B0","CB2B0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.013387,0.011100,-0.159336,-0.041971,0.053737,-0.161932,-0.157176,0.027916,-0.159837
1,0.008333,0.013356,0.011018,-0.159424,-0.042004,0.053650,-0.162051,-0.157195,0.027909,-0.159863
2,0.016667,0.013326,0.010929,-0.159494,-0.041996,0.053634,-0.162048,-0.157220,0.027879,-0.159930
3,0.025000,0.013318,0.010852,-0.159529,-0.041996,0.053588,-0.162075,-0.157228,0.027860,-0.159952
4,0.033333,0.013295,0.010747,-0.159624,-0.042006,0.053533,-0.162140,-0.157236,0.027844,-0.159985
5,0.041667,0.013288,0.010698,-0.159650,-0.042012,0.053493,-0.162171,-0.157241,0.027829,-0.159982
6,0.050000,0.013273,0.010667,-0.159670,-0.042017,0.053464,-0.162179,-0.157246,0.027808,-0.159992
7,0.058333,0.013277,0.010636,-0.159653,-0.042027,0.053416,-0.162214,-0.157277,0.027755,-0.160033
8,0.066667,0.013271,0.010578,-0.159703,-0.042020,0.053382,-0.162205,-0.157296,0.027705,-0.160100
9,0.075000,0.013288,0.010559,-0.159663,-0.042003,0.053365,-0.162184,-0.157276,0.027689,-0.160068
10,0.083333,0.013297,0.010506,-0.159670,-0.041984,0.053312,-0.162189,-0.157280,0.027652,-0.160098
11,0.091667,0.013303,0.010477,-0.159675,-0.041987,0.053242,-0.162265,-0.157260,0.027628,-0.160096
12,0.100000,0.013342,0.010486,-0.159625,-0.041986,0.053187,-0.162317,-0.157264,0.027575,-0.160131
