Format Version,1.23,Take Name,Line_Air_NonDom,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-04-06 10.19.49.892 AM,Total Frames in Take,636,Total Exported Frames,636,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1420,Unlabeled 1420,Unlabeled 1420,Unlabeled 1421,Unlabeled 1421,Unlabeled 1421,Unlabeled 1422,Unlabeled 1422,Unlabeled 1422
,ID,"CBCC0","CBCC0","CBCC0","CC070","CC070","CC070","CC0B0","CC0B0","CC0B0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.036604,0.010994,-0.156446,-0.005093,0.039339,-0.156284,-0.113379,0.028002,-0.134316
1,0.008333,0.036563,0.010948,-0.156423,-0.005154,0.039289,-0.156334,-0.113404,0.028026,-0.134236
2,0.016667,0.036527,0.010910,-0.156335,-0.005216,0.039245,-0.156301,-0.113475,0.028010,-0.134231
3,0.025000,0.036475,0.010900,-0.156230,-0.005238,0.039311,-0.156087,-0.113529,0.028035,-0.134164
4,0.033333,0.036390,0.010791,-0.156262,-0.005248,0.039330,-0.155941,-0.113642,0.027979,-0.134229
5,0.041667,0.036326,0.010638,-0.156265,-0.005275,0.039319,-0.155877,-0.113690,0.027960,-0.134215
6,0.050000,0.036300,0.010593,-0.156174,-0.005271,0.039362,-0.155666,-0.113736,0.027941,-0.134145
7,0.058333,0.036251,0.010465,-0.156114,-0.005299,0.039333,-0.155633,-0.113841,0.027869,-0.134217
8,0.066667,0.036225,0.010461,-0.155969,-0.005338,0.039279,-0.155630,-0.113961,0.027756,-0.134332
9,0.075000,0.036202,0.010394,-0.155954,-0.005310,0.039270,-0.155492,-0.113978,0.027739,-0.134308
