Format Version,1.0,
Take Name,Group1_BME384_partA,
Capture Frame Rate,1000.00,
Export Frame Rate,100.00,
Capture Start Time,27 Feb 2024 10:53:45 -0500,
Total Frames In Take,1035,
Total Exported Frames,10350,
Coordinate Space,World,
Device Name,NIDAQ PCI-6221 22859738,
Device Type,1,
Device Channel Count,15,
Mocap Rate,100.00,
Mocap Rate Multiple,10.00

MocapFrame, MocapTime, DeviceFrame,Dev1/ai0,Dev1/ai1,Dev1/ai2,Dev1/ai3,Dev1/ai4,Dev1/ai5,Dev1/ai6,Dev1/ai7,Dev1/ai8,Dev1/ai9,Dev1/ai10,Dev1/ai11,Dev1/ai12,Dev1/ai13,Dev1/ai14
0,0.000000,0,-0.072980,-0.026906,-0.024635,2.576251,0.754074,-1.224821,-0.042156,0.014950,-0.036315,0.007487,-0.030151,0.097363,-0.011007,-0.028853,0.002296
0,0.000000,1,-0.073304,-0.027555,-0.024635,2.577873,0.751802,-1.227741,-0.044103,0.014950,-0.036315,0.008136,-0.030800,0.096714,-0.010358,-0.029177,0.002944
0,0.000000,2,-0.073304,-0.028853,-0.023337,2.574629,0.753425,-1.226443,-0.045725,0.014625,-0.036315,0.007487,-0.030151,0.097363,-0.010358,-0.028853,0.001971
0,0.000000,3,-0.072655,-0.030475,-0.023337,2.577873,0.752451,-1.226119,-0.045725,0.014625,-0.035667,0.007811,-0.030151,0.096714,-0.011007,-0.028853,0.002620
0,0.000000,4,-0.072655,-0.030151,-0.024635,2.576251,0.750829,-1.223847,-0.044751,0.014950,-0.036315,0.007487,-0.030475,0.097038,-0.011007,-0.028853,0.002296
0,0.000000,5,-0.072655,-0.030475,-0.028528,2.577224,0.750829,-1.223523,-0.044751,0.014950,-0.036640,0.007487,-0.030475,0.096714,-0.011007,-0.028853,0.002620
0,0.000000,6,-0.072980,-0.027555,-0.023661,2.573980,0.751478,-1.223198,-0.045725,0.015274,-0.035991,0.008136,-0.030151,0.096389,-0.010683,-0.028528,0.002944
0,0.000000,7,-0.072980,-0.026906,-0.023337,2.573331,0.751478,-1.222225,-0.044427,0.014950,-0.036964,0.007811,-0.030151,0.096714,-0.011007,-0.028853,0.002296
0,0.000000,8,-0.072655,-0.027555,-0.026257,2.572357,0.751153,-1.227741,-0.044751,0.014625,-0.036315,0.007487,-0.029826,0.096714,-0.011007,-0.029177,0.002296
0,0.000000,9,-0.072655,-0.028528,-0.026582,2.576575,0.752776,-1.224496,-0.043454,0.014950,-0.036640,0.008136,-0.030151,0.096714,-0.010358,-0.029177,0.002620
1,0.010000,10,-0.072006,-0.025608,-0.026582,2.575278,0.752776,-1.225470,-0.044751,0.015274,-0.036640,0.008136,-0.030800,0.096714,-0.010683,-0.028853,0.002620
1,0.010000,11,-0.072655,-0.027555,-0.027231,2.576575,0.750829,-1.225794,-0.048321,0.014301,-0.036315,0.007487,-0.030151,0.097038,-0.010358,-0.028853,0.002620
1,0.010000,12,-0.072980,-0.029502,-0.024635,2.573980,0.749207,-1.227092,-0.041507,0.014950,-0.035991,0.007811,-0.030151,0.096714,-0.011007,-0.028528,0.002944
1,0.010000,13,-0.072331,-0.027231,-0.025933,2.576251,0.750829,-1.228065,-0.044427,0.014950,-0.036315,0.007811,-0.029826,0.096714,-0.010034,-0.028853,0.002620
1,0.010000,14,-0.072655,-0.026906,-0.027555,2.576900,0.752127,-1.223198,-0.042156,0.015274,-0.036315,0.008136,-0.030151,0.097363,-0.011332,-0.028853,0.002620
1,0.010000,15,-0.072006,-0.027555,-0.025284,2.577873,0.748558,-1.227416,-0.048969,0.014950,-0.036315,0.007811,-0.030151,0.097363,-0.010683,-0.028853,0.002296
1,0.010000,16,-0.072655,-0.026906,-0.025933,2.577873,0.748233,-1.225794,-0.045076,0.014950,-0.035991,0.007811,-0.029826,0.097363,-0.010683,-0.028853,0.002296
1,0.010000,17,-0.072331,-0.028853,-0.025608,2.576900,0.750829,-1.225794,-0.046698,0.014625,-0.036315,0.008460,-0.029826,0.097038,-0.010358,-0.028853,0.002620
1,0.010000,18,-0.072980,-0.028853,-0.028853,2.577549,0.751153,-1.222874,-0.041831,0.015274,-0.036315,0.008136,-0.030151,0.097687,-0.010683,-0.028853,0.001971
1,0.010000,19,-0.072655,-0.031124,-0.024959,2.578522,0.751153,-1.226443,-0.043454,0.015274,-0.036315,0.008136,-0.030151,0.096714,-0.010683,-0.029177,0.002296
2,0.020000,20,-0.072655,-0.028528,-0.026906,2.575278,0.750180,-1.227741,-0.045076,0.014950,-0.035991,0.007811,-0.030151,0.096065,-0.010683,-0.028853,0.002944
2,0.020000,21,-0.072331,-0.031449,-0.027555,2.576575,0.749531,-1.226443,-0.043454,0.015274,-0.035991,0.008136,-0.030475,0.096714,-0.010683,-0.028528,0.002620
2,0.020000,22,-0.072331,-0.029177,-0.026906,2.575602,0.750180,-1.227741,-0.043778,0.015274,-0.036315,0.007811,-0.030151,0.097038,-0.010358,-0.028528,0.002620
2,0.020000,23,-0.072980,-0.032746,-0.024310,2.578198,0.750505,-1.224821,-0.046698,0.015274,-0.035342,0.008136,-0.030151,0.097363,-0.010358,-0.028528,0.002620
2,0.020000,24,-0.072980,-0.030475,-0.026582,2.578522,0.755696,-1.224821,-0.046698,0.014625,-0.035667,0.007811,-0.029502,0.097038,-0.010034,-0.028853,0.003269
2,0.020000,25,-0.072655,-0.030800,-0.026257,2.575927,0.746935,-1.226119,-0.045076,0.014950,-0.035991,0.007811,-0.029826,0.097363,-0.010358,-0.028204,0.002620
2,0.020000,26,-0.072980,-0.030800,-0.023337,2.576575,0.752127,-1.226119,-0.044751,0.014950,-0.035667,0.007487,-0.030151,0.097687,-0.010034,-0.028204,0.002944
2,0.020000,27,-0.073304,-0.029826,-0.026582,2.576575,0.751478,-1.226767,-0.047023,0.014950,-0.035667,0.007811,-0.030151,0.096714,-0.011007,-0.028853,0.002296
2,0.020000,28,-0.072980,-0.030151,-0.027231,2.575927,0.750180,-1.226119,-0.044427,0.014950,-0.035342,0.008136,-0.029826,0.097038,-0.010358,-0.028853,0.002620
2,0.020000,29,-0.072980,-0.031773,-0.025284,2.577224,0.750829,-1.223198,-0.046049,0.014950,-0.035667,0.007811,-0.029826,0.097038,-0.010683,-0.028853,0.002944
3,0.030000,30,-0.072980,-0.030475,-0.024310,2.577873,0.750829,-1.226119,-0.047023,0.014625,-0.035342,0.008136,-0.029502,0.096714,-0.010034,-0.028204,0.002944
3,0.030000,31,-0.072655,-0.031449,-0.024635,2.577224,0.750505,-1.225470,-0.044103,0.014625,-0.035667,0.008460,-0.030151,0.097363,-0.010358,-0.028204,0.002944
3,0.030000,32,-0.073304,-0.030800,-0.024635,2.576251,0.753749,-1.222225,-0.046374,0.014625,-0.035667,0.008136,-0.029826,0.097038,-0.010034,-0.028528,0.003269
3,0.030000,33,-0.072980,-0.035018,-0.025608,2.578198,0.750180,-1.223523,-0.043454,0.014950,-0.035667,0.008136,-0.030475,0.097363,-0.010034,-0.027879,0.002944
3,0.030000,34,-0.072980,-0.032422,-0.024310,2.577224,0.750829,-1.224821,-0.045725,0.014301,-0.035991,0.008136,-0.030151,0.097363,-0.010683,-0.027879,0.002620
3,0.030000,35,-0.072655,-0.031449,-0.024635,2.574629,0.748558,-1.222549,-0.044751,0.014625,-0.035667,0.008460,-0.029826,0.097363,-0.010358,-0.028204,0.002620
3,0.030000,36,-0.073304,-0.032097,-0.024959,2.576575,0.751802,-1.228065,-0.045725,0.014950,-0.036315,0.007811,-0.030151,0.097038,-0.010358,-0.028853,0.002944
3,0.030000,37,-0.072980,-0.031449,-0.024959,2.579820,0.751153,-1.226119,-0.043129,0.014950,-0.035991,0.008136,-0.029826,0.097038,-0.010358,-0.028204,0.003269
3,0.030000,38,-0.072980,-0.033395,-0.029502,2.576575,0.748233,-1.226767,-0.044751,0.015274,-0.035991,0.007811,-0.030151,0.097038,-0.010358,-0.028528,0.003269
3,0.030000,39,-0.072655,-0.032422,-0.024310,2.578198,0.747909,-1.224172,-0.045400,0.014950,-0.035667,0.008460,-0.030151,0.096714,-0.010358,-0.028204,0.002944
4,0.040000,40,-0.072331,-0.032097,-0.025284,2.579171,0.748558,-1.227092,-0.044103,0.014950,-0.035667,0.008136,-0.029826,0.097687,-0.010358,-0.028853,0.003269
4,0.040000,41,-0.072331,-0.033071,-0.025608,2.577873,0.749856,-1.224172,-0.043778,0.015274,-0.035991,0.008136,-0.029502,0.097363,-0.010683,-0.028528,0.002944
4,0.040000,42,-0.072006,-0.032746,-0.025933,2.577224,0.750180,-1.224496,-0.044103,0.015274,-0.036315,0.008460,-0.029826,0.097363,-0.010683,-0.028528,0.002944
4,0.040000,43,-0.072655,-0.033395,-0.024310,2.578198,0.751802,-1.224172,-0.046049,0.014301,-0.035667,0.008136,-0.029826,0.097038,-0.010034,-0.028528,0.002944
4,0.040000,44,-0.072980,-0.033071,-0.028204,2.576900,0.749531,-1.225145,-0.044103,0.015274,-0.035342,0.008136,-0.029502,0.097038,-0.010683,-0.028528,0.003269
4,0.040000,45,-0.072331,-0.031124,-0.026906,2.579171,0.749531,-1.224821,-0.043778,0.015274,-0.035667,0.007811,-0.029826,0.097687,-0.010358,-0.028528,0.002944
4,0.040000,46,-0.072331,-0.033071,-0.024310,2.578198,0.750180,-1.223198,-0.044103,0.015274,-0.035667,0.008460,-0.029826,0.097363,-0.010683,-0.027879,0.002944
4,0.040000,47,-0.072006,-0.034369,-0.026906,2.578522,0.749856,-1.228714,-0.046374,0.015274,-0.035342,0.008460,-0.029502,0.097038,-0.010034,-0.027879,0.002944
4,0.040000,48,-0.072331,-0.032422,-0.024310,2.577873,0.748882,-1.224172,-0.044751,0.015274,-0.035667,0.008460,-0.029177,0.097038,-0.010683,-0.028528,0.003593
4,0.040000,49,-0.072331,-0.031124,-0.026906,2.577224,0.749207,-1.224172,-0.043778,0.014950,-0.035991,0.008136,-0.030151,0.097363,-0.010034,-0.027879,0.003269
5,0.050000,50,-0.072655,-0.032746,-0.025284,2.577224,0.751153,-1.224821,-0.045400,0.015274,-0.035667,0.008136,-0.029826,0.097363,-0.010683,-0.028204,0.003269
5,0.050000,51,-0.072331,-0.032097,-0.026906,2.578198,0.748233,-1.225794,-0.045400,0.014625,-0.035667,0.008136,-0.029177,0.097687,-0.010683,-0.028204,0.002944
