Format Version,1.0,
Take Name,Group1_BME384_partB,
Capture Frame Rate,1000.00,
Export Frame Rate,100.00,
Capture Start Time,27 Feb 2024 10:55:13 -0500,
Total Frames In Take,1549,
Total Exported Frames,15490,
Coordinate Space,World,
Device Name,NIDAQ PCI-6221 22859738,
Device Type,1,
Device Channel Count,15,
Mocap Rate,100.00,
Mocap Rate Multiple,10.00

MocapFrame, MocapTime, DeviceFrame,Dev1/ai0,Dev1/ai1,Dev1/ai2,Dev1/ai3,Dev1/ai4,Dev1/ai5,Dev1/ai6,Dev1/ai7,Dev1/ai8,Dev1/ai9,Dev1/ai10,Dev1/ai11,Dev1/ai12,Dev1/ai13,Dev1/ai14
0,0.000000,0,-0.082389,-0.018470,-0.011656,2.575602,1.187554,-0.570380,-0.062272,0.000349,-0.037289,0.006838,-0.030475,0.097363,0.002620,-0.008736,0.004567
0,0.000000,1,-0.082389,-0.015225,-0.013928,2.575602,1.189177,-0.566811,-0.057730,0.000349,-0.037938,0.006838,-0.030475,0.096714,0.002296,-0.008412,0.004242
0,0.000000,2,-0.082714,-0.015874,-0.015874,2.574304,1.189826,-0.570380,-0.058379,0.000349,-0.037938,0.006838,-0.030151,0.097363,0.001971,-0.008736,0.004242
0,0.000000,3,-0.082065,-0.013279,-0.012305,2.573980,1.189177,-0.569082,-0.060975,0.000673,-0.037938,0.007162,-0.030151,0.097363,0.002296,-0.008736,0.004891
0,0.000000,4,-0.082714,-0.019768,-0.015225,2.574953,1.187554,-0.568109,-0.060975,0.000024,-0.038587,0.006838,-0.030475,0.097363,0.002620,-0.008736,0.004242
0,0.000000,5,-0.082389,-0.015225,-0.013928,2.574629,1.187554,-0.569082,-0.061948,0.000024,-0.038911,0.007162,-0.030151,0.096714,0.002944,-0.008412,0.004567
0,0.000000,6,-0.082389,-0.017172,-0.013279,2.576251,1.191124,-0.571029,-0.061623,-0.000300,-0.038587,0.006838,-0.030151,0.097038,0.002620,-0.008412,0.004891
0,0.000000,7,-0.082389,-0.018470,-0.013928,2.574953,1.187230,-0.572327,-0.058703,-0.000300,-0.038911,0.007162,-0.030475,0.097038,0.002620,-0.008736,0.004891
0,0.000000,8,-0.082389,-0.015550,-0.014252,2.575278,1.186581,-0.571353,-0.063246,-0.000625,-0.037938,0.007162,-0.030151,0.097038,0.002944,-0.008736,0.004567
0,0.000000,9,-0.082389,-0.013928,-0.013279,2.576575,1.190475,-0.572651,-0.059677,-0.000625,-0.038911,0.007162,-0.030151,0.097038,0.002296,-0.009061,0.004567
1,0.010000,10,-0.082065,-0.014252,-0.011007,2.575602,1.187554,-0.572976,-0.059677,-0.000300,-0.038911,0.007487,-0.030151,0.096389,0.002620,-0.009061,0.004567
1,0.010000,11,-0.082389,-0.014252,-0.013928,2.579171,1.188852,-0.571029,-0.062272,-0.000625,-0.038911,0.006838,-0.030151,0.097038,0.002296,-0.008412,0.004242
1,0.010000,12,-0.082065,-0.015550,-0.011656,2.574304,1.190475,-0.574598,-0.059677,-0.000300,-0.039236,0.007162,-0.030151,0.097038,0.002296,-0.008412,0.004242
1,0.010000,13,-0.082065,-0.015874,-0.015550,2.575927,1.186581,-0.575247,-0.060326,-0.000625,-0.039885,0.007162,-0.030475,0.096714,0.001971,-0.009061,0.004242
1,0.010000,14,-0.082065,-0.011332,-0.012630,2.575927,1.187554,-0.571678,-0.059028,-0.000625,-0.039236,0.006838,-0.030151,0.097038,0.002296,-0.008736,0.004242
1,0.010000,15,-0.081740,-0.013603,-0.015225,2.577224,1.189826,-0.574598,-0.061299,-0.000625,-0.039236,0.006514,-0.030800,0.097363,0.002620,-0.008736,0.004567
1,0.010000,16,-0.082065,-0.014576,-0.013603,2.576251,1.188203,-0.577518,-0.060650,-0.000625,-0.039560,0.006838,-0.030800,0.097363,0.001971,-0.008412,0.004242
1,0.010000,17,-0.082389,-0.015225,-0.012630,2.573006,1.188203,-0.573300,-0.060975,-0.000625,-0.039236,0.006838,-0.030800,0.097363,0.002620,-0.008736,0.004891
