Format Version,1.0,
Take Name,Group1_BME384_partC4,
Capture Frame Rate,1000.00,
Export Frame Rate,100.00,
Capture Start Time,27 Feb 2024 10:59:51 -0500,
Total Frames In Take,851,
Total Exported Frames,8510,
Coordinate Space,World,
Device Name,NIDAQ PCI-6221 22859738,
Device Type,1,
Device Channel Count,15,
Mocap Rate,100.00,
Mocap Rate Multiple,10.00

MocapFrame, MocapTime, DeviceFrame,Dev1/ai0,Dev1/ai1,Dev1/ai2,Dev1/ai3,Dev1/ai4,Dev1/ai5,Dev1/ai6,Dev1/ai7,Dev1/ai8,Dev1/ai9,Dev1/ai10,Dev1/ai11,Dev1/ai12,Dev1/ai13,Dev1/ai14
0,0.000000,0,-0.068113,-0.052214,0.011705,2.577224,1.353354,-0.606071,-0.040858,0.018843,-0.030800,0.013003,-0.023337,0.103203,0.012354,-0.005492,0.008460
0,0.000000,1,-0.067788,-0.050592,0.010407,2.579820,1.353679,-0.608342,-0.042805,0.018194,-0.030475,0.013327,-0.023013,0.102879,0.012029,-0.005167,0.009434
0,0.000000,2,-0.068113,-0.049618,0.013327,2.576900,1.353030,-0.608991,-0.039560,0.018519,-0.030800,0.013003,-0.023013,0.103203,0.012029,-0.005492,0.008785
0,0.000000,3,-0.067788,-0.051565,0.012029,2.578198,1.354328,-0.608018,-0.043454,0.018519,-0.030475,0.013327,-0.022688,0.102879,0.012354,-0.005167,0.008785
0,0.000000,4,-0.068113,-0.049618,0.011056,2.577224,1.353679,-0.608018,-0.043778,0.018194,-0.030475,0.013327,-0.022688,0.103203,0.011705,-0.005167,0.008460
0,0.000000,5,-0.067788,-0.050592,0.013003,2.575927,1.352057,-0.606071,-0.040858,0.018843,-0.030800,0.013652,-0.023013,0.102879,0.012029,-0.005816,0.008460
0,0.000000,6,-0.067464,-0.051890,0.010732,2.577549,1.352057,-0.608342,-0.042156,0.017870,-0.031124,0.013327,-0.023013,0.102879,0.011705,-0.005816,0.008785
0,0.000000,7,-0.068113,-0.053836,0.011705,2.576251,1.354652,-0.606071,-0.041831,0.018194,-0.030800,0.013327,-0.023013,0.102879,0.011705,-0.005492,0.009109
0,0.000000,8,-0.068113,-0.051565,0.010732,2.576251,1.352381,-0.605746,-0.042156,0.018194,-0.031124,0.013327,-0.023013,0.102554,0.012678,-0.005167,0.008785
0,0.000000,9,-0.068113,-0.051565,0.010732,2.577224,1.353030,-0.609316,-0.040858,0.018194,-0.030800,0.013003,-0.022364,0.103203,0.011705,-0.005167,0.008460
