Format Version,1.0,
Take Name,Group1_BME384_partD3,
Capture Frame Rate,1000.00,
Export Frame Rate,100.00,
Capture Start Time,27 Feb 2024 11:01:51 -0500,
Total Frames In Take,831,
Total Exported Frames,8310,
Coordinate Space,World,
Device Name,NIDAQ PCI-6221 22859738,
Device Type,1,
Device Channel Count,15,
Mocap Rate,100.00,
Mocap Rate Multiple,10.00

MocapFrame, MocapTime, DeviceFrame,Dev1/ai0,Dev1/ai1,Dev1/ai2,Dev1/ai3,Dev1/ai4,Dev1/ai5,Dev1/ai6,Dev1/ai7,Dev1/ai8,Dev1/ai9,Dev1/ai10,Dev1/ai11,Dev1/ai12,Dev1/ai13,Dev1/ai14
0,0.000000,0,-0.107048,-0.057405,0.022412,2.587932,1.400726,-0.923719,-0.082065,-0.022364,-0.068113,-0.023013,-0.057081,0.069135,-0.020417,-0.048645,-0.027555
0,0.000000,1,-0.107373,-0.056757,0.023710,2.586309,1.398779,-0.922746,-0.084011,-0.022688,-0.068437,-0.022688,-0.057730,0.069459,-0.021066,-0.048321,-0.027555
0,0.000000,2,-0.107373,-0.057730,0.020465,2.587607,1.398455,-0.920799,-0.083362,-0.022364,-0.067788,-0.022688,-0.057081,0.069459,-0.020741,-0.048321,-0.027231
0,0.000000,3,-0.107697,-0.055459,0.020141,2.586309,1.398779,-0.923395,-0.084336,-0.022688,-0.068437,-0.022688,-0.057405,0.069459,-0.020417,-0.048645,-0.027879
0,0.000000,4,-0.107697,-0.056432,0.022088,2.588905,1.398779,-0.925017,-0.084011,-0.022688,-0.068437,-0.022364,-0.057081,0.069459,-0.020417,-0.048645,-0.027555
0,0.000000,5,-0.107373,-0.056432,0.021763,2.586634,1.398130,-0.924693,-0.084011,-0.022688,-0.068113,-0.023013,-0.057405,0.069459,-0.020741,-0.048321,-0.026906
0,0.000000,6,-0.107373,-0.059028,0.023061,2.586958,1.398455,-0.925991,-0.085634,-0.023013,-0.068437,-0.023337,-0.058054,0.069135,-0.020417,-0.048969,-0.027555
0,0.000000,7,-0.107697,-0.056432,0.022737,2.586309,1.400401,-0.925017,-0.084660,-0.023337,-0.068437,-0.023013,-0.057730,0.069135,-0.020417,-0.048321,-0.026906
0,0.000000,8,-0.108022,-0.055783,0.020790,2.584687,1.395859,-0.926640,-0.085309,-0.023661,-0.067788,-0.023013,-0.057730,0.069135,-0.020741,-0.048645,-0.027879
0,0.000000,9,-0.108346,-0.057730,0.022088,2.587932,1.398130,-0.925017,-0.084985,-0.023337,-0.068437,-0.022688,-0.057730,0.069459,-0.020741,-0.048969,-0.027555
1,0.010000,10,-0.108346,-0.059677,0.024683,2.585985,1.394561,-0.924368,-0.086932,-0.023661,-0.068762,-0.023013,-0.057730,0.069135,-0.020417,-0.048645,-0.027231
1,0.010000,11,-0.108670,-0.054485,0.024359,2.586309,1.395859,-0.927613,-0.085309,-0.023986,-0.068437,-0.023337,-0.057405,0.069459,-0.020417,-0.048645,-0.026906
1,0.010000,12,-0.108995,-0.056108,0.023061,2.587283,1.397481,-0.928262,-0.085958,-0.024310,-0.067788,-0.022688,-0.057730,0.069459,-0.021066,-0.048321,-0.027555
1,0.010000,13,-0.109319,-0.055134,0.022737,2.587283,1.395535,-0.928262,-0.085958,-0.024310,-0.067788,-0.023337,-0.057405,0.069459,-0.020417,-0.048645,-0.026906
1,0.010000,14,-0.109319,-0.056757,0.025332,2.587283,1.396183,-0.928586,-0.085958,-0.024310,-0.067788,-0.023337,-0.057405,0.069135,-0.019768,-0.047996,-0.027231
1,0.010000,15,-0.109644,-0.055783,0.021763,2.586309,1.393912,-0.929884,-0.084985,-0.024635,-0.068437,-0.022688,-0.057730,0.068810,-0.020741,-0.048321,-0.027231
1,0.010000,16,-0.109319,-0.057081,0.025008,2.584687,1.394561,-0.928262,-0.084011,-0.024310,-0.068437,-0.023013,-0.057405,0.068810,-0.020092,-0.048321,-0.027231
1,0.010000,17,-0.109319,-0.054810,0.023710,2.585336,1.394886,-0.932480,-0.085634,-0.024635,-0.068437,-0.023337,-0.058054,0.068486,-0.020417,-0.048645,-0.027231
1,0.010000,18,-0.109319,-0.055783,0.022737,2.586309,1.392939,-0.930533,-0.085634,-0.024635,-0.068437,-0.023013,-0.058054,0.068810,-0.020092,-0.048645,-0.026906
1,0.010000,19,-0.109319,-0.053836,0.023386,2.585336,1.395535,-0.934427,-0.088878,-0.025284,-0.068762,-0.023013,-0.057730,0.068486,-0.020417,-0.048645,-0.027231
2,0.020000,20,-0.109644,-0.055134,0.021763,2.583389,1.395859,-0.932480,-0.087256,-0.024959,-0.068437,-0.023337,-0.058054,0.068486,-0.020741,-0.048645,-0.027231
2,0.020000,21,-0.109968,-0.055783,0.025332,2.585336,1.392939,-0.933778,-0.087256,-0.025284,-0.068113,-0.023013,-0.058054,0.068810,-0.020741,-0.048321,-0.027555
2,0.020000,22,-0.109319,-0.057081,0.022088,2.585011,1.392614,-0.934751,-0.085958,-0.025284,-0.068437,-0.022364,-0.057730,0.068486,-0.020417,-0.048645,-0.027231
2,0.020000,23,-0.109644,-0.055459,0.024034,2.583714,1.390992,-0.935725,-0.088554,-0.026257,-0.068762,-0.023337,-0.057730,0.068810,-0.020417,-0.048645,-0.027231
2,0.020000,24,-0.109319,-0.054485,0.024359,2.583389,1.391317,-0.935725,-0.087256,-0.025933,-0.068762,-0.023013,-0.058054,0.068486,-0.020092,-0.048321,-0.027231
2,0.020000,25,-0.109319,-0.053836,0.023061,2.583065,1.391317,-0.938969,-0.088229,-0.026257,-0.068437,-0.023337,-0.058054,0.068810,-0.020417,-0.048645,-0.027231
2,0.020000,26,-0.109644,-0.055134,0.025332,2.585336,1.391965,-0.938320,-0.088554,-0.026582,-0.069086,-0.023337,-0.057730,0.068810,-0.020417,-0.048645,-0.026906
2,0.020000,27,-0.109968,-0.052863,0.024359,2.585985,1.388072,-0.938645,-0.086932,-0.026582,-0.069086,-0.023337,-0.058379,0.068810,-0.020741,-0.048645,-0.026906
2,0.020000,28,-0.110293,-0.052214,0.025332,2.585985,1.389694,-0.940267,-0.087905,-0.026906,-0.068762,-0.023337,-0.058379,0.069135,-0.020741,-0.048645,-0.026906
2,0.020000,29,-0.110617,-0.050592,0.024359,2.582091,1.391317,-0.940916,-0.090501,-0.027231,-0.068762,-0.023013,-0.058054,0.068810,-0.020417,-0.048969,-0.026906
3,0.030000,30,-0.110942,-0.049943,0.022737,2.585336,1.389370,-0.941565,-0.090176,-0.027231,-0.069086,-0.023337,-0.057730,0.068486,-0.020092,-0.048321,-0.026906
3,0.030000,31,-0.110942,-0.052539,0.024683,2.584038,1.390019,-0.944810,-0.091150,-0.028528,-0.068762,-0.023337,-0.058054,0.068810,-0.020741,-0.048321,-0.027231
3,0.030000,32,-0.111266,-0.049943,0.024034,2.582740,1.389045,-0.942863,-0.089852,-0.027879,-0.069086,-0.023337,-0.058054,0.068810,-0.020741,-0.048321,-0.026906
3,0.030000,33,-0.111266,-0.051241,0.024359,2.585336,1.390992,-0.943187,-0.091474,-0.028204,-0.068762,-0.023013,-0.058054,0.068486,-0.020092,-0.048321,-0.026906
