Format Version,1.0,
Take Name,Group1_BME384_partE2,
Capture Frame Rate,1000.00,
Export Frame Rate,100.00,
Capture Start Time,27 Feb 2024 11:06:00 -0500,
Total Frames In Take,853,
Total Exported Frames,8530,
Coordinate Space,World,
Device Name,NIDAQ PCI-6221 22859738,
Device Type,1,
Device Channel Count,15,
Mocap Rate,100.00,
Mocap Rate Multiple,10.00

MocapFrame, MocapTime, DeviceFrame,Dev1/ai0,Dev1/ai1,Dev1/ai2,Dev1/ai3,Dev1/ai4,Dev1/ai5,Dev1/ai6,Dev1/ai7,Dev1/ai8,Dev1/ai9,Dev1/ai10,Dev1/ai11,Dev1/ai12,Dev1/ai13,Dev1/ai14
0,0.000000,0,-0.081091,-0.010358,-0.017497,2.584687,0.213196,-1.492827,-0.055459,0.003593,-0.040858,0.004891,-0.033071,0.093469,-0.028204,-0.038911,0.000673
0,0.000000,1,-0.080442,-0.010034,-0.017497,2.584687,0.213196,-1.498343,-0.057081,0.003593,-0.040533,0.004891,-0.033071,0.094118,-0.028853,-0.039236,-0.000300
0,0.000000,2,-0.080767,-0.011656,-0.020092,2.584038,0.210276,-1.495423,-0.055134,0.003918,-0.041507,0.004891,-0.033071,0.093794,-0.029177,-0.038911,0.000024
0,0.000000,3,-0.080767,-0.013279,-0.018470,2.587607,0.213196,-1.495098,-0.055134,0.003593,-0.040533,0.004567,-0.033395,0.093794,-0.028528,-0.038262,0.000349
0,0.000000,4,-0.080442,-0.010034,-0.017172,2.585011,0.213196,-1.493800,-0.056108,0.003918,-0.040858,0.004242,-0.033395,0.093794,-0.028528,-0.038587,0.001322
0,0.000000,5,-0.080767,-0.011656,-0.019119,2.585336,0.215143,-1.493151,-0.055459,0.003918,-0.040858,0.004242,-0.032746,0.093794,-0.028528,-0.038911,0.000673
0,0.000000,6,-0.080767,-0.010358,-0.020092,2.586634,0.211573,-1.493800,-0.055783,0.003918,-0.040533,0.004567,-0.033071,0.094118,-0.028853,-0.038587,0.000349
0,0.000000,7,-0.080767,-0.011332,-0.019443,2.586958,0.212547,-1.490880,-0.055134,0.003918,-0.041182,0.004567,-0.033071,0.093794,-0.028528,-0.038911,0.000024
0,0.000000,8,-0.080442,-0.010034,-0.019768,2.584363,0.211898,-1.495423,-0.054161,0.003918,-0.041182,0.004891,-0.033071,0.094118,-0.028528,-0.038587,0.000024
0,0.000000,9,-0.080442,-0.009385,-0.018470,2.582740,0.213845,-1.496396,-0.056757,0.003918,-0.040209,0.004567,-0.032746,0.094118,-0.028204,-0.039236,0.000349
1,0.010000,10,-0.081091,-0.013603,-0.018794,2.584038,0.214169,-1.495098,-0.057730,0.003593,-0.040209,0.004567,-0.033395,0.094118,-0.029177,-0.038587,0.000349
1,0.010000,11,-0.081091,-0.011332,-0.018794,2.584038,0.211573,-1.493151,-0.054810,0.004242,-0.040533,0.004242,-0.033395,0.093794,-0.027879,-0.038587,0.000349
1,0.010000,12,-0.081091,-0.012305,-0.018470,2.585336,0.211898,-1.493800,-0.054161,0.004567,-0.040533,0.004567,-0.033071,0.094118,-0.028528,-0.038587,0.000349
1,0.010000,13,-0.080767,-0.012954,-0.019443,2.583714,0.213845,-1.494774,-0.054161,0.004567,-0.040858,0.004242,-0.034044,0.093794,-0.028528,-0.038587,0.000349
1,0.010000,14,-0.080442,-0.012305,-0.019119,2.585985,0.211898,-1.493151,-0.055783,0.004242,-0.040533,0.004891,-0.032422,0.094118,-0.028853,-0.038911,0.000024
1,0.010000,15,-0.080767,-0.014252,-0.017497,2.585985,0.211573,-1.495098,-0.055459,0.003918,-0.040858,0.004567,-0.033395,0.093794,-0.028853,-0.039236,0.000998
1,0.010000,16,-0.080767,-0.011981,-0.017821,2.585011,0.210276,-1.492827,-0.055134,0.004242,-0.040209,0.004242,-0.033071,0.094443,-0.028853,-0.038587,0.000349
1,0.010000,17,-0.080442,-0.011007,-0.020092,2.584038,0.212222,-1.491205,-0.054810,0.004242,-0.040209,0.004242,-0.033071,0.093794,-0.028853,-0.038911,0.000349
