Format Version,1.0,
Take Name,Group1_BME384_rawdata,
Capture Frame Rate,1000.00,
Export Frame Rate,100.00,
Capture Start Time,27 Feb 2024 10:49:47 -0500,
Total Frames In Take,1050,
Total Exported Frames,10500,
Coordinate Space,World,
Device Name,NIDAQ PCI-6221 22859738,
Device Type,1,
Device Channel Count,15,
Mocap Rate,100.00,
Mocap Rate Multiple,10.00

MocapFrame, MocapTime, DeviceFrame,Dev1/ai0,Dev1/ai1,Dev1/ai2,Dev1/ai3,Dev1/ai4,Dev1/ai5,Dev1/ai6,Dev1/ai7,Dev1/ai8,Dev1/ai9,Dev1/ai10,Dev1/ai11,Dev1/ai12,Dev1/ai13,Dev1/ai14
0,0.000000,0,-0.024959,0.035066,0.030848,-0.000625,-0.013603,-0.002571,-0.002896,0.059401,0.014301,0.059725,0.021763,0.075299,0.018194,0.056481,0.055507
0,0.000000,1,-0.025284,0.035715,0.028577,0.003269,-0.013279,-0.005492,-0.000625,0.059725,0.014301,0.060050,0.021439,0.074975,0.018194,0.056805,0.056156
0,0.000000,2,-0.025284,0.034742,0.029226,0.002944,-0.011656,-0.006789,-0.000949,0.059401,0.013976,0.060050,0.021763,0.074975,0.018194,0.056805,0.055832
0,0.000000,3,-0.025284,0.037986,0.033119,0.002296,-0.011656,-0.005167,-0.000949,0.059725,0.014625,0.060050,0.021439,0.074975,0.018194,0.056481,0.055507
0,0.000000,4,-0.025933,0.036040,0.027604,0.001647,-0.013928,-0.005816,0.000349,0.059725,0.014301,0.060050,0.021439,0.074975,0.018194,0.056805,0.055832
0,0.000000,5,-0.025608,0.034742,0.029226,-0.000625,-0.013928,-0.004194,-0.001922,0.059401,0.014301,0.059401,0.021763,0.074975,0.017870,0.056481,0.055832
0,0.000000,6,-0.025933,0.036364,0.030199,0.001322,-0.013279,-0.004518,-0.000949,0.059076,0.014625,0.059725,0.021763,0.074326,0.018843,0.056481,0.055507
0,0.000000,7,-0.025933,0.037662,0.033119,0.001647,-0.011332,-0.002247,-0.000949,0.060050,0.014301,0.060374,0.022412,0.074651,0.018843,0.056805,0.055507
0,0.000000,8,-0.025608,0.036364,0.029550,0.002620,-0.011981,-0.005167,0.000998,0.059725,0.014301,0.059401,0.021763,0.074975,0.018519,0.056805,0.055832
0,0.000000,9,-0.025608,0.033444,0.029875,0.001647,-0.012630,-0.004843,-0.000300,0.059401,0.014301,0.059725,0.022088,0.074651,0.017870,0.056481,0.056156
1,0.010000,10,-0.025284,0.034093,0.030524,0.000998,-0.012630,-0.004194,-0.001922,0.059725,0.014301,0.059725,0.021763,0.074975,0.018194,0.056805,0.055183
1,0.010000,11,-0.024959,0.035391,0.029226,0.001322,-0.009710,-0.002896,-0.001598,0.059725,0.013976,0.059401,0.022088,0.074651,0.018194,0.056805,0.055832
1,0.010000,12,-0.025608,0.034417,0.030848,0.001322,-0.013603,-0.004843,0.001971,0.060050,0.014625,0.059725,0.021763,0.074651,0.018194,0.056481,0.056156
1,0.010000,13,-0.025284,0.035391,0.029226,0.003269,-0.012305,-0.003545,-0.000625,0.059725,0.014301,0.059725,0.022088,0.074975,0.017870,0.056481,0.055832
1,0.010000,14,-0.025284,0.035715,0.029875,0.001647,-0.011332,-0.005816,0.000998,0.060374,0.014625,0.059725,0.021763,0.074651,0.017870,0.056805,0.055832
1,0.010000,15,-0.025933,0.032470,0.030848,0.001322,-0.013603,0.000998,0.000024,0.060374,0.013976,0.059401,0.021439,0.074651,0.017870,0.056805,0.055507
1,0.010000,16,-0.025608,0.033444,0.031173,0.000673,-0.013603,-0.004194,-0.000949,0.060050,0.014625,0.059401,0.021439,0.074975,0.018194,0.056481,0.056156
1,0.010000,17,-0.025608,0.034093,0.030524,0.000024,-0.014901,-0.001274,-0.000300,0.060050,0.014625,0.059725,0.021763,0.074651,0.018519,0.056481,0.055832
1,0.010000,18,-0.025284,0.032146,0.029875,0.002296,-0.011656,-0.005816,-0.000625,0.060050,0.014625,0.059725,0.021763,0.075299,0.017545,0.056805,0.056156
1,0.010000,19,-0.025608,0.036364,0.031173,0.000673,-0.012305,-0.004843,0.001971,0.059725,0.014625,0.059401,0.021763,0.074975,0.018194,0.056481,0.055832
