Format Version,1.23,Take Name,bryan dominant (he's got devil hands),Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-03-05 11.05.45.261 AM,Capture Start Frame,292089,Total Frames in Take,690,Total Exported Frames,690,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1091,Unlabeled 1091,Unlabeled 1091,Unlabeled 1092,Unlabeled 1092,Unlabeled 1092,Unlabeled 1093,Unlabeled 1093,Unlabeled 1093
,ID,"FAF70","FAF70","FAF70","FAFD0","FAFD0","FAFD0","FAFF0","FAFF0","FAFF0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.206877,0.127050,-0.133893,0.096478,0.120027,-0.100448,0.101405,0.062712,-0.117010
1,0.008333,0.206875,0.127051,-0.133887,0.096471,0.120021,-0.100467,0.101419,0.062704,-0.117025
2,0.016667,0.206860,0.127059,-0.133914,0.096437,0.120002,-0.100505,0.101418,0.062687,-0.117048
3,0.025000,0.206826,0.127067,-0.133895,0.096379,0.119960,-0.100576,0.101404,0.062650,-0.117166
4,0.033333,0.206787,0.127071,-0.133886,0.096304,0.119899,-0.100713,0.101395,0.062599,-0.117218
5,0.041667,0.206754,0.127078,-0.133884,0.096227,0.119828,-0.100792,0.101388,0.062552,-0.117284
6,0.050000,0.206722,0.127079,-0.133878,0.096176,0.119782,-0.100872,0.101383,0.062503,-0.117320
7,0.058333,0.206709,0.127094,-0.133912,0.096147,0.119768,-0.100952,0.101389,0.062484,-0.117353
8,0.066667,0.206703,0.127115,-0.133917,0.096135,0.119776,-0.101012,0.101398,0.062482,-0.117361
9,0.075000,0.206715,0.127127,-0.133919,0.096139,0.119793,-0.101019,0.101411,0.062497,-0.117402
10,0.083333,0.206736,0.127125,-0.133908,0.096148,0.119796,-0.101027,0.101424,0.062505,-0.117411
