Format Version,1.23,Take Name,bryan correct hand,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-03-05 11.09.38.888 AM,Capture Start Frame,320127,Total Frames in Take,866,Total Exported Frames,866,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1111,Unlabeled 1111,Unlabeled 1111,Unlabeled 1112,Unlabeled 1112,Unlabeled 1112,Unlabeled 1113,Unlabeled 1113,Unlabeled 1113
,ID,"FB530","FB530","FB530","FB5A0","FB5A0","FB5A0","FB5F0","FB5F0","FB5F0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.093061,0.092417,-0.076937,-0.005113,0.123165,-0.107228,0.111741,0.057672,-0.113161
1,0.008333,0.093108,0.092419,-0.077002,-0.005063,0.123192,-0.107217,0.111757,0.057650,-0.113214
2,0.016667,0.093151,0.092417,-0.077079,-0.005017,0.123204,-0.107221,0.111772,0.057625,-0.113261
3,0.025000,0.093195,0.092406,-0.077141,-0.004992,0.123205,-0.107248,0.111780,0.057585,-0.113309
4,0.033333,0.093227,0.092386,-0.077179,-0.004975,0.123205,-0.107285,0.111785,0.057550,-0.113370
5,0.041667,0.093256,0.092398,-0.077262,-0.004972,0.123214,-0.107319,0.111793,0.057538,-0.113406
6,0.050000,0.093290,0.092418,-0.077322,-0.004972,0.123221,-0.107329,0.111812,0.057552,-0.113431
7,0.058333,0.093343,0.092440,-0.077430,-0.004967,0.123235,-0.107339,0.111822,0.057558,-0.113469
8,0.066667,0.093356,0.092458,-0.077484,-0.004960,0.123234,-0.107338,0.111835,0.057567,-0.113525
9,0.075000,0.093360,0.092453,-0.077492,-0.004957,0.123234,-0.107376,0.111846,0.057556,-0.113526
10,0.083333,0.093371,0.092449,-0.077518,-0.004944,0.123230,-0.107382,0.111856,0.057530,-0.113574
11,0.091667,0.093382,0.092446,-0.077547,-0.004921,0.123224,-0.107358,0.111862,0.057509,-0.113614
12,0.100000,0.093369,0.092440,-0.077560,-0.004920,0.123227,-0.107433,0.111861,0.057497,-0.113631
13,0.108333,0.093332,0.092436,-0.077520,-0.004913,0.123228,-0.107418,0.111851,0.057474,-0.113600
14,0.116667,0.093303,0.092420,-0.077507,-0.004910,0.123238,-0.107434,0.111833,0.057438,-0.113592
15,0.125000,0.093289,0.092399,-0.077480,-0.004908,0.123239,-0.107460,0.111823,0.057392,-0.113570
16,0.133333,0.093300,0.092392,-0.077532,-0.004909,0.123228,-0.107477,0.111821,0.057379,-0.113556
17,0.141667,0.093336,0.092418,-0.077609,-0.004915,0.123221,-0.107486,0.111837,0.057404,-0.113572
18,0.150000,0.093391,0.092445,-0.077684,-0.004931,0.123219,-0.107497,0.111862,0.057460,-0.113659
19,0.158333,0.093440,0.092486,-0.077759,-0.004938,0.123220,-0.107459,0.111882,0.057507,-0.113724
20,0.166667,0.093474,0.092530,-0.077787,-0.004947,0.123220,-0.107431,0.111897,0.057572,-0.113769
21,0.175000,0.093515,0.092571,-0.077851,-0.004956,0.123221,-0.107414,0.111912,0.057620,-0.113796
22,0.183333,0.093560,0.092596,-0.077900,-0.004956,0.123222,-0.107383,0.111922,0.057655,-0.113836
23,0.191667,0.093570,0.092593,-0.077926,-0.004956,0.123211,-0.107352,0.111922,0.057664,-0.113895
24,0.200000,0.093570,0.092585,-0.077933,-0.004952,0.123192,-0.107318,0.111915,0.057649,-0.113940
25,0.208333,0.093564,0.092580,-0.077950,-0.004952,0.123178,-0.107309,0.111903,0.057641,-0.113957
26,0.216667,0.093562,0.092590,-0.077969,-0.004969,0.123164,-0.107317,0.111894,0.057644,-0.114009
27,0.225000,0.093581,0.092602,-0.078019,-0.004977,0.123162,-0.107295,0.111887,0.057641,-0.114102
28,0.233333,0.093619,0.092612,-0.078104,-0.004973,0.123167,-0.107288,0.111890,0.057644,-0.114179
29,0.241667,0.093684,0.092611,-0.078204,-0.004955,0.123173,-0.107297,0.111891,0.057635,-0.114317
30,0.250000,0.093777,0.092607,-0.078337,-0.004908,0.123181,-0.107280,0.111909,0.057612,-0.114441
31,0.258333,0.093896,0.092610,-0.078549,-0.004844,0.123207,-0.107301,0.111939,0.057597,-0.114634
32,0.266667,0.094018,0.092634,-0.078732,-0.004772,0.123238,-0.107354,0.111980,0.057600,-0.114808
33,0.275000,0.094163,0.092700,-0.078952,-0.004688,0.123264,-0.107343,0.112026,0.057644,-0.115028
34,0.283333,0.094311,0.092785,-0.079233,-0.004629,0.123286,-0.107380,0.112080,0.057732,-0.115196
