Format Version,1.23,Take Name,jon dominant actual,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-03-05 11.03.25.935 AM,Capture Start Frame,275367,Total Frames in Take,2064,Total Exported Frames,2064,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1088,Unlabeled 1088,Unlabeled 1088,Unlabeled 1089,Unlabeled 1089,Unlabeled 1089,Unlabeled 1090,Unlabeled 1090,Unlabeled 1090
,ID,"FAC70","FAC70","FAC70","FACF0","FACF0","FACF0","FAD70","FAD70","FAD70"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.163607,-0.011026,0.094065,0.027916,0.026364,0.045804,0.142373,0.036673,0.085152
1,0.008333,0.163611,-0.011017,0.094057,0.027914,0.026366,0.045811,0.142367,0.036688,0.085167
2,0.016667,0.163615,-0.011013,0.094041,0.027912,0.026365,0.045801,0.142361,0.036695,0.085178
3,0.025000,0.163597,-0.011015,0.094062,0.027907,0.026363,0.045797,0.142352,0.036694,0.085185
4,0.033333,0.163584,-0.011024,0.094069,0.027897,0.026360,0.045796,0.142341,0.036688,0.085194
5,0.041667,0.163573,-0.011028,0.094075,0.027892,0.026356,0.045802,0.142335,0.036683,0.085197
6,0.050000,0.163569,-0.011037,0.094067,0.027885,0.026353,0.045786,0.142328,0.036676,0.085195
7,0.058333,0.163567,-0.011042,0.094050,0.027885,0.026350,0.045791,0.142328,0.036670,0.085188
8,0.066667,0.163567,-0.011041,0.094033,0.027884,0.026349,0.045798,0.142332,0.036672,0.085167
9,0.075000,0.163580,-0.011037,0.094007,0.027889,0.026348,0.045790,0.142344,0.036673,0.085140
10,0.083333,0.163596,-0.011031,0.093992,0.027898,0.026358,0.045794,0.142362,0.036678,0.085106
11,0.091667,0.163628,-0.011032,0.093951,0.027914,0.026374,0.045794,0.142386,0.036680,0.085090
12,0.100000,0.163648,-0.011036,0.093937,0.027929,0.026386,0.045805,0.142405,0.036679,0.085077
13,0.108333,0.163662,-0.011043,0.093928,0.027945,0.026403,0.045810,0.142438,0.036675,0.085034
14,0.116667,0.163674,-0.011062,0.093923,0.027961,0.026416,0.045820,0.142456,0.036663,0.085031
15,0.125000,0.163678,-0.011081,0.093921,0.027969,0.026427,0.045809,0.142468,0.036647,0.085027
16,0.133333,0.163682,-0.011096,0.093913,0.027976,0.026430,0.045811,0.142479,0.036636,0.085026
17,0.141667,0.163684,-0.011107,0.093902,0.027975,0.026434,0.045812,0.142483,0.036628,0.085012
18,0.150000,0.163686,-0.011102,0.093883,0.027975,0.026432,0.045805,0.142489,0.036632,0.085001
19,0.158333,0.163686,-0.011089,0.093868,0.027976,0.026437,0.045810,0.142486,0.036644,0.084993
20,0.166667,0.163686,-0.011076,0.093856,0.027969,0.026446,0.045805,0.142483,0.036659,0.084987
21,0.175000,0.163681,-0.011068,0.093846,0.027964,0.026446,0.045800,0.142477,0.036662,0.084978
22,0.183333,0.163673,-0.011075,0.093837,0.027958,0.026446,0.045793,0.142473,0.036660,0.084969
23,0.191667,0.163665,-0.011083,0.093821,0.027954,0.026446,0.045788,0.142472,0.036654,0.084952
24,0.200000,0.163661,-0.011088,0.093818,0.027948,0.026439,0.045776,0.142464,0.036648,0.084949
25,0.208333,0.163654,-0.011092,0.093821,0.027944,0.026439,0.045770,0.142460,0.036648,0.084945
26,0.216667,0.163648,-0.011083,0.093828,0.027943,0.026447,0.045757,0.142452,0.036649,0.084947
27,0.225000,0.163645,-0.011085,0.093817,0.027946,0.026451,0.045750,0.142452,0.036655,0.084952
28,0.233333,0.163652,-0.011075,0.093805,0.027953,0.026458,0.045747,0.142458,0.036663,0.084954
29,0.241667,0.163658,-0.011064,0.093800,0.027960,0.026463,0.045752,0.142466,0.036675,0.084935
30,0.250000,0.163674,-0.011055,0.093773,0.027965,0.026468,0.045755,0.142477,0.036688,0.084915
31,0.258333,0.163685,-0.011050,0.093763,0.027972,0.026471,0.045766,0.142485,0.036690,0.084918
32,0.266667,0.163693,-0.011050,0.093763,0.027981,0.026476,0.045765,0.142500,0.036691,0.084902
33,0.275000,0.163699,-0.011058,0.093754,0.027989,0.026485,0.045777,0.142512,0.036682,0.084892
34,0.283333,0.163700,-0.011063,0.093759,0.027992,0.026489,0.045775,0.142517,0.036680,0.084889
35,0.291667,0.163699,-0.011065,0.093749,0.027991,0.026493,0.045752,0.142516,0.036680,0.084892
36,0.300000,0.163706,-0.011062,0.093754,0.027993,0.026491,0.045752,0.142515,0.036682,0.084895
37,0.308333,0.163700,-0.011056,0.093771,0.027995,0.026496,0.045747,0.142512,0.036690,0.084903
38,0.316667,0.163694,-0.011053,0.093778,0.027992,0.026503,0.045738,0.142503,0.036697,0.084904
39,0.325000,0.163687,-0.011037,0.093787,0.027984,0.026503,0.045733,0.142490,0.036713,0.084919
40,0.333333,0.163680,-0.011025,0.093785,0.027972,0.026510,0.045745,0.142479,0.036727,0.084922
41,0.341667,0.163672,-0.011014,0.093782,0.027964,0.026504,0.045756,0.142472,0.036735,0.084909
42,0.350000,0.163668,-0.011007,0.093777,0.027959,0.026493,0.045754,0.142467,0.036744,0.084911
43,0.358333,0.163668,-0.011004,0.093767,0.027956,0.026489,0.045743,0.142459,0.036750,0.084914
44,0.366667,0.163668,-0.011003,0.093766,0.027959,0.026492,0.045734,0.142459,0.036752,0.084920
45,0.375000,0.163670,-0.011007,0.093769,0.027973,0.026503,0.045718,0.142464,0.036749,0.084926
46,0.383333,0.163676,-0.011012,0.093774,0.027984,0.026514,0.045723,0.142473,0.036749,0.084948
47,0.391667,0.163688,-0.011020,0.093790,0.028001,0.026532,0.045731,0.142490,0.036739,0.084949
48,0.400000,0.163706,-0.011031,0.093775,0.028017,0.026551,0.045743,0.142504,0.036735,0.084962
49,0.408333,0.163726,-0.011039,0.093763,0.028036,0.026566,0.045753,0.142524,0.036729,0.084957
50,0.416667,0.163740,-0.011041,0.093749,0.028046,0.026573,0.045756,0.142540,0.036727,0.084943
