Format Version,1.23,Take Name,jon dominant dragg thin,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-03-05 11.31.59.272 AM,Capture Start Frame,480991,Total Frames in Take,804,Total Exported Frames,804,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1127,Unlabeled 1127,Unlabeled 1127,Unlabeled 1128,Unlabeled 1128,Unlabeled 1128,Unlabeled 1129,Unlabeled 1129,Unlabeled 1129
,ID,"FB970","FB970","FB970","FBE60","FBE60","FBE60","FBEC0","FBEC0","FBEC0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.053204,0.030351,-0.046936,0.068090,0.066865,-0.025986,0.175410,0.050446,-0.046834
1,0.008333,0.053222,0.030324,-0.046916,0.068072,0.066813,-0.025979,0.175413,0.050430,-0.046833
2,0.016667,0.053232,0.030307,-0.046899,0.068048,0.066774,-0.025938,0.175413,0.050409,-0.046837
3,0.025000,0.053234,0.030302,-0.046924,0.068020,0.066740,-0.025921,0.175413,0.050399,-0.046832
4,0.033333,0.053231,0.030313,-0.046921,0.067988,0.066717,-0.025866,0.175413,0.050394,-0.046824
5,0.041667,0.053233,0.030330,-0.046915,0.067956,0.066715,-0.025849,0.175409,0.050390,-0.046825
6,0.050000,0.053215,0.030357,-0.046931,0.067916,0.066730,-0.025832,0.175407,0.050389,-0.046834
7,0.058333,0.053179,0.030394,-0.046949,0.067875,0.066746,-0.025843,0.175400,0.050387,-0.046839
8,0.066667,0.053149,0.030426,-0.046984,0.067831,0.066762,-0.025852,0.175388,0.050389,-0.046825
9,0.075000,0.053141,0.030449,-0.046989,0.067796,0.066770,-0.025849,0.175379,0.050393,-0.046823
10,0.083333,0.053123,0.030465,-0.047008,0.067762,0.066758,-0.025825,0.175372,0.050399,-0.046820
11,0.091667,0.053119,0.030464,-0.047016,0.067720,0.066734,-0.025812,0.175361,0.050387,-0.046814
12,0.100000,0.053132,0.030431,-0.047035,0.067676,0.066675,-0.025843,0.175353,0.050379,-0.046816
13,0.108333,0.053168,0.030372,-0.047052,0.067646,0.066592,-0.025854,0.175348,0.050362,-0.046805
14,0.116667,0.053217,0.030268,-0.047069,0.067615,0.066478,-0.025825,0.175342,0.050336,-0.046796
15,0.125000,0.053253,0.030157,-0.047110,0.067593,0.066348,-0.025750,0.175337,0.050303,-0.046781
16,0.133333,0.053276,0.030053,-0.047139,0.067559,0.066209,-0.025720,0.175332,0.050259,-0.046749
17,0.141667,0.053299,0.029931,-0.047188,0.067529,0.066063,-0.025673,0.175324,0.050207,-0.046744
18,0.150000,0.053320,0.029785,-0.047282,0.067488,0.065900,-0.025655,0.175312,0.050134,-0.046702
19,0.158333,0.053347,0.029630,-0.047363,0.067440,0.065716,-0.025645,0.175292,0.050058,-0.046649
20,0.166667,0.053376,0.029482,-0.047479,0.067378,0.065539,-0.025569,0.175273,0.049994,-0.046582
21,0.175000,0.053382,0.029343,-0.047528,0.067322,0.065357,-0.025616,0.175251,0.049915,-0.046548
22,0.183333,0.053364,0.029204,-0.047639,0.067239,0.065182,-0.025687,0.175219,0.049853,-0.046485
23,0.191667,0.053361,0.029049,-0.047782,0.067178,0.064991,-0.025665,0.175186,0.049776,-0.046427
24,0.200000,0.053364,0.028876,-0.047910,0.067107,0.064780,-0.025658,0.175154,0.049698,-0.046372
25,0.208333,0.053369,0.028703,-0.048040,0.067032,0.064592,-0.025642,0.175101,0.049611,-0.046282
26,0.216667,0.053385,0.028526,-0.048076,0.066967,0.064405,-0.025683,0.175068,0.049529,-0.046233
27,0.225000,0.053409,0.028348,-0.048190,0.066887,0.064173,-0.025664,0.175051,0.049439,-0.046212
28,0.233333,0.053428,0.028150,-0.048316,0.066828,0.063911,-0.025609,0.175006,0.049328,-0.046100
29,0.241667,0.053448,0.027930,-0.048462,0.066762,0.063633,-0.025680,0.174980,0.049195,-0.046048
30,0.250000,0.053429,0.027804,-0.048540,0.066656,0.063412,-0.025618,0.174943,0.049044,-0.045986
