Format Version,1.23,Take Name,jon dominant dragg,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-03-05 11.30.14.891 AM,Capture Start Frame,468464,Total Frames in Take,529,Total Exported Frames,529,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1121,Unlabeled 1121,Unlabeled 1121,Unlabeled 1122,Unlabeled 1122,Unlabeled 1122,Unlabeled 1123,Unlabeled 1123,Unlabeled 1123
,ID,"FBE50","FBE50","FBE50","FBE60","FBE60","FBE60","FBE70","FBE70","FBE70"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.156424,0.060953,-0.002172,0.120143,0.030097,-0.033504,0.262734,0.047885,-0.027788
1,0.008333,0.156430,0.060948,-0.002160,0.120143,0.030094,-0.033490,0.262743,0.047886,-0.027803
2,0.016667,0.156434,0.060952,-0.002174,0.120141,0.030098,-0.033480,0.262736,0.047905,-0.027793
3,0.025000,0.156430,0.060959,-0.002165,0.120139,0.030104,-0.033479,0.262734,0.047916,-0.027791
4,0.033333,0.156429,0.060965,-0.002162,0.120139,0.030107,-0.033479,0.262728,0.047928,-0.027787
5,0.041667,0.156431,0.060964,-0.002168,0.120138,0.030104,-0.033477,0.262732,0.047937,-0.027797
6,0.050000,0.156434,0.060956,-0.002168,0.120140,0.030097,-0.033478,0.262731,0.047930,-0.027813
7,0.058333,0.156438,0.060947,-0.002178,0.120136,0.030091,-0.033470,0.262725,0.047936,-0.027817
8,0.066667,0.156436,0.060943,-0.002179,0.120134,0.030093,-0.033469,0.262718,0.047949,-0.027816
9,0.075000,0.156439,0.060943,-0.002171,0.120133,0.030095,-0.033456,0.262711,0.047971,-0.027826
10,0.083333,0.156436,0.060951,-0.002158,0.120131,0.030099,-0.033458,0.262701,0.048007,-0.027820
11,0.091667,0.156436,0.060958,-0.002169,0.120126,0.030104,-0.033448,0.262693,0.048033,-0.027820
12,0.100000,0.156438,0.060960,-0.002178,0.120128,0.030098,-0.033443,0.262696,0.048061,-0.027853
13,0.108333,0.156443,0.060957,-0.002175,0.120128,0.030093,-0.033438,0.262692,0.048088,-0.027875
14,0.116667,0.156444,0.060964,-0.002190,0.120127,0.030090,-0.033430,0.262688,0.048111,-0.027892
15,0.125000,0.156448,0.060972,-0.002197,0.120129,0.030089,-0.033405,0.262686,0.048139,-0.027913
16,0.133333,0.156450,0.060982,-0.002187,0.120125,0.030099,-0.033403,0.262686,0.048165,-0.027937
17,0.141667,0.156452,0.060989,-0.002189,0.120125,0.030102,-0.033406,0.262682,0.048189,-0.027945
18,0.150000,0.156453,0.060991,-0.002193,0.120125,0.030102,-0.033411,0.262682,0.048203,-0.027946
19,0.158333,0.156456,0.060989,-0.002193,0.120124,0.030101,-0.033392,0.262682,0.048205,-0.027945
20,0.166667,0.156462,0.060978,-0.002201,0.120124,0.030093,-0.033388,0.262684,0.048199,-0.027944
21,0.175000,0.156472,0.060970,-0.002215,0.120126,0.030089,-0.033392,0.262695,0.048190,-0.027949
22,0.183333,0.156494,0.060955,-0.002211,0.120130,0.030088,-0.033376,0.262698,0.048185,-0.027929
23,0.191667,0.156523,0.060935,-0.002220,0.120133,0.030095,-0.033360,0.262706,0.048176,-0.027919
24,0.200000,0.156548,0.060919,-0.002192,0.120137,0.030098,-0.033339,0.262717,0.048164,-0.027905
25,0.208333,0.156571,0.060900,-0.002172,0.120147,0.030093,-0.033336,0.262725,0.048148,-0.027895
26,0.216667,0.156599,0.060880,-0.002158,0.120154,0.030097,-0.033313,0.262731,0.048136,-0.027865
27,0.225000,0.156621,0.060863,-0.002169,0.120162,0.030093,-0.033294,0.262743,0.048130,-0.027886
28,0.233333,0.156639,0.060855,-0.002120,0.120165,0.030089,-0.033260,0.262736,0.048134,-0.027858
29,0.241667,0.156648,0.060854,-0.002114,0.120166,0.030092,-0.033243,0.262734,0.048144,-0.027867
30,0.250000,0.156657,0.060855,-0.002122,0.120171,0.030093,-0.033242,0.262730,0.048158,-0.027865
31,0.258333,0.156662,0.060854,-0.002109,0.120171,0.030090,-0.033217,0.262728,0.048173,-0.027878
32,0.266667,0.156677,0.060853,-0.002123,0.120176,0.030089,-0.033199,0.262723,0.048178,-0.027869
33,0.275000,0.156691,0.060848,-0.002097,0.120182,0.030085,-0.033185,0.262727,0.048186,-0.027883
34,0.283333,0.156710,0.060843,-0.002088,0.120187,0.030088,-0.033142,0.262728,0.048195,-0.027878
35,0.291667,0.156730,0.060840,-0.002059,0.120196,0.030088,-0.033114,0.262735,0.048200,-0.027884
36,0.300000,0.156750,0.060835,-0.002027,0.120206,0.030091,-0.033082,0.262746,0.048204,-0.027886
37,0.308333,0.156780,0.060816,-0.001983,0.120222,0.030090,-0.033041,0.262752,0.048203,-0.027872
