Format Version,1.23,Take Name,jon dominant hand,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-03-05 10.43.18.665 AM,Capture Start Frame,130477,Total Frames in Take,934,Total Exported Frames,934,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001,Unlabeled 1002,Unlabeled 1002,Unlabeled 1002,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005
,ID,"F00A0","F00A0","F00A0","F0110","F0110","F0110","F0380","F0380","F0380","F03D0","F03D0","F03D0","F03E0","F03E0","F03E0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.021765,0.039301,0.106610,-0.084024,0.000322,0.181643,-0.061514,0.057456,0.197426,,,,,,
1,0.008333,0.021802,0.039151,0.106633,-0.084000,0.000310,0.181663,-0.061514,0.057459,0.197426,,,,,,
2,0.016667,0.021617,0.039259,0.106437,-0.084031,0.000321,0.181632,-0.061504,0.057451,0.197430,,,,,,
3,0.025000,0.021920,0.039149,0.106679,-0.084029,0.000322,0.181634,-0.061514,0.057463,0.197414,,,,,,
4,0.033333,0.021827,0.039195,0.106612,-0.084013,0.000325,0.181648,-0.061518,0.057469,0.197409,,,,,,
5,0.041667,0.021636,0.039246,0.106498,-0.084073,0.000356,0.181594,-0.061528,0.057467,0.197406,,,,,,
6,0.050000,0.021652,0.039252,0.106467,-0.084095,0.000367,0.181574,-0.061541,0.057469,0.197398,,,,,,
7,0.058333,0.021677,0.039227,0.106520,-0.084081,0.000333,0.181590,-0.061560,0.057463,0.197385,,,,,,
8,0.066667,0.021600,0.039238,0.106447,-0.084119,0.000346,0.181559,-0.061565,0.057450,0.197380,,,,,,
9,0.075000,0.021593,0.039241,0.106444,-0.084134,0.000333,0.181556,-0.061597,0.057452,0.197353,,,,,,
10,0.083333,0.021536,0.039266,0.106407,-0.084138,0.000327,0.181574,-0.061577,0.057438,0.197392,,,,,,
11,0.091667,0.021532,0.039275,0.106362,-0.084193,0.000380,0.181502,-0.061583,0.057449,0.197382,,,,,,
12,0.100000,0.021648,0.039180,0.106469,-0.084199,0.000396,0.181498,-0.061570,0.057458,0.197377,,,,,,
13,0.108333,0.021565,0.039221,0.106395,-0.084188,0.000381,0.181544,-0.061569,0.057447,0.197393,,,,,,
14,0.116667,0.021564,0.039271,0.106441,-0.084244,0.000400,0.181499,-0.061566,0.057435,0.197406,,,,,,
15,0.125000,0.021606,0.039220,0.106453,-0.084269,0.000400,0.181471,-0.061581,0.057420,0.197393,,,,,,
16,0.133333,0.021562,0.039269,0.106384,-0.084270,0.000388,0.181472,-0.061599,0.057406,0.197364,,,,,,
17,0.141667,0.021806,0.039148,0.106577,-0.084290,0.000385,0.181477,-0.061574,0.057389,0.197399,,,,,,
18,0.150000,0.021545,0.039255,0.106409,-0.084282,0.000369,0.181527,-0.061541,0.057379,0.197455,,,,,,
19,0.158333,0.021614,0.039237,0.106454,-0.084311,0.000412,0.181488,-0.061518,0.057383,0.197473,,,,,,
20,0.166667,0.021549,0.039222,0.106375,-0.084369,0.000461,0.181458,-0.061477,0.057386,0.197504,,,,,,
21,0.175000,0.021635,0.039208,0.106454,-0.084312,0.000416,0.181647,-0.061471,0.057409,0.197483,,,,,,
22,0.183333,0.021483,0.039257,0.106333,-0.084312,0.000426,0.181689,-0.061443,0.057412,0.197509,,,,,,
