Format Version,1.23,Take Name,jon dominant lifting thin,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-03-05 11.31.06.258 AM,Capture Start Frame,474629,Total Frames in Take,1653,Total Exported Frames,1653,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1124,Unlabeled 1124,Unlabeled 1124,Unlabeled 1125,Unlabeled 1125,Unlabeled 1125,Unlabeled 1126,Unlabeled 1126,Unlabeled 1126
,ID,"FBE50","FBE50","FBE50","FBE60","FBE60","FBE60","FBE90","FBE90","FBE90"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.182695,0.081564,0.007615,0.167035,0.041828,-0.009025,0.288979,0.055973,-0.020103
1,0.008333,0.182551,0.082026,0.008243,0.167219,0.042356,-0.008590,0.288779,0.056594,-0.020097
2,0.016667,0.182418,0.082528,0.008638,0.167482,0.042828,-0.008434,0.288499,0.057244,-0.020114
3,0.025000,0.182269,0.083053,0.008924,0.167690,0.043441,-0.008434,0.288194,0.057899,-0.020106
4,0.033333,0.182099,0.083644,0.009241,0.167801,0.044120,-0.008409,0.287899,0.058557,-0.020269
5,0.041667,0.181919,0.084229,0.009496,0.167829,0.044760,-0.008402,0.287564,0.059206,-0.020443
6,0.050000,0.181705,0.084703,0.009689,0.167821,0.045336,-0.008501,0.287197,0.059824,-0.020683
7,0.058333,0.181473,0.085128,0.009820,0.167769,0.045826,-0.008562,0.286858,0.060416,-0.021043
8,0.066667,0.181268,0.085410,0.009758,0.167692,0.046166,-0.008720,0.286446,0.060940,-0.021353
9,0.075000,0.181080,0.085614,0.009560,0.167616,0.046384,-0.008857,0.286127,0.061377,-0.021926
10,0.083333,0.180907,0.085712,0.009431,0.167546,0.046506,-0.009031,0.285757,0.061729,-0.022425
11,0.091667,0.180729,0.085689,0.009325,0.167481,0.046505,-0.009193,0.285489,0.062006,-0.023109
12,0.100000,0.180624,0.085550,0.009015,0.167495,0.046369,-0.009506,0.285203,0.062167,-0.023719
13,0.108333,0.180552,0.085358,0.008648,0.167588,0.046143,-0.009926,0.285055,0.062212,-0.024498
14,0.116667,0.180525,0.085066,0.008207,0.167620,0.045853,-0.010321,0.284894,0.062113,-0.025139
15,0.125000,0.180549,0.084565,0.007756,0.167651,0.045370,-0.010816,0.284807,0.061841,-0.025867
16,0.133333,0.180606,0.083827,0.007217,0.167743,0.044674,-0.011323,0.284830,0.061370,-0.026733
17,0.141667,0.180660,0.082827,0.006620,0.167868,0.043665,-0.011947,0.284878,0.060752,-0.027615
18,0.150000,0.180753,0.081519,0.005742,0.167973,0.042380,-0.012702,0.285003,0.059927,-0.028591
19,0.158333,0.180838,0.079943,0.004838,0.168108,0.040784,-0.013513,0.285133,0.058877,-0.029548
20,0.166667,0.180959,0.078072,0.003891,0.168171,0.038951,-0.014480,0.285299,0.057633,-0.030607
21,0.175000,0.181094,0.076273,0.003109,0.167916,0.037343,-0.015163,0.285493,0.056563,-0.031649
22,0.183333,0.181423,0.075465,0.002701,0.167341,0.036916,-0.015550,0.285657,0.056180,-0.032260
23,0.191667,0.181889,0.075717,0.002923,0.167328,0.037393,-0.015686,0.285950,0.056419,-0.032592
24,0.200000,0.182420,0.076683,0.003232,0.167569,0.038315,-0.015143,0.286213,0.056916,-0.032524
25,0.208333,0.182865,0.077663,0.003750,0.167286,0.039303,-0.014407,0.286462,0.057400,-0.032400
26,0.216667,0.183266,0.078095,0.004001,0.166921,0.039766,-0.013687,0.286692,0.057554,-0.032422
27,0.225000,0.183564,0.077922,0.004178,0.166831,0.039635,-0.013104,0.286826,0.057511,-0.032559
28,0.233333,0.183851,0.077425,0.004182,0.166692,0.039210,-0.012850,0.286873,0.057422,-0.032744
29,0.241667,0.184100,0.076898,0.004519,0.166513,0.038825,-0.012676,0.286941,0.057371,-0.032839
30,0.250000,0.184417,0.076520,0.004819,0.166457,0.038551,-0.012407,0.287071,0.057372,-0.032847
31,0.258333,0.184806,0.076180,0.005141,0.166426,0.038307,-0.012067,0.287280,0.057340,-0.032885
32,0.266667,0.185104,0.075699,0.005393,0.166315,0.037962,-0.011758,0.287435,0.057222,-0.032892
33,0.275000,0.185281,0.075023,0.005607,0.166084,0.037396,-0.011530,0.287494,0.057009,-0.032916
34,0.283333,0.185348,0.074287,0.005742,0.165828,0.036754,-0.011538,0.287448,0.056821,-0.032936
35,0.291667,0.185357,0.073655,0.005843,0.165529,0.036207,-0.011490,0.287357,0.056726,-0.032927
36,0.300000,0.185365,0.073218,0.005958,0.165228,0.035807,-0.011303,0.287262,0.056719,-0.032857
37,0.308333,0.185385,0.072926,0.006105,0.165061,0.035507,-0.011163,0.287188,0.056779,-0.032734
38,0.316667,0.185428,0.072639,0.006181,0.164930,0.035228,-0.011030,0.287135,0.056822,-0.032590
39,0.325000,0.185434,0.072323,0.006234,0.164790,0.034888,-0.011019,0.287060,0.056793,-0.032509
40,0.333333,0.185429,0.071941,0.006228,0.164684,0.034501,-0.011018,0.286971,0.056711,-0.032503
41,0.341667,0.185410,0.071548,0.006162,0.164625,0.034095,-0.011016,0.286894,0.056605,-0.032584
42,0.350000,0.185384,0.071316,0.006174,0.164597,0.033782,-0.010947,0.286821,0.056531,-0.032588
43,0.358333,0.185389,0.071212,0.006186,0.164590,0.033611,-0.010897,0.286784,0.056534,-0.032583
44,0.366667,0.185385,0.071175,0.006173,0.164573,0.033505,-0.010833,0.286750,0.056610,-0.032563
45,0.375000,0.185353,0.071134,0.006114,0.164570,0.033391,-0.010854,0.286701,0.056689,-0.032549
46,0.383333,0.185298,0.071057,0.006014,0.164539,0.033238,-0.010877,0.286610,0.056699,-0.032493
47,0.391667,0.185255,0.070929,0.005962,0.164506,0.033049,-0.010908,0.286569,0.056624,-0.032498
48,0.400000,0.185264,0.070783,0.005929,0.164550,0.032831,-0.010870,0.286541,0.056517,-0.032487
49,0.408333,0.185294,0.070706,0.005943,0.164618,0.032679,-0.010813,0.286512,0.056461,-0.032479
50,0.416667,0.185343,0.070714,0.005968,0.164672,0.032609,-0.010657,0.286517,0.056503,-0.032490
51,0.425000,0.185375,0.070785,0.006033,0.164709,0.032603,-0.010517,0.286521,0.056601,-0.032514
52,0.433333,0.185391,0.070838,0.006075,0.164717,0.032586,-0.010389,0.286483,0.056700,-0.032511
53,0.441667,0.185382,0.070812,0.006071,0.164706,0.032513,-0.010329,0.286423,0.056731,-0.032557
54,0.450000,0.185370,0.070715,0.006038,0.164682,0.032379,-0.010285,0.286372,0.056680,-0.032638
55,0.458333,0.185346,0.070607,0.006034,0.164655,0.032226,-0.010245,0.286311,0.056603,-0.032645
56,0.466667,0.185313,0.070517,0.006022,0.164609,0.032114,-0.010245,0.286258,0.056574,-0.032648
57,0.475000,0.185291,0.070496,0.006019,0.164528,0.032066,-0.010213,0.286214,0.056613,-0.032595
58,0.483333,0.185289,0.070474,0.006067,0.164483,0.032036,-0.010196,0.286202,0.056681,-0.032540
59,0.491667,0.185289,0.070395,0.006114,0.164485,0.031954,-0.010162,0.286180,0.056738,-0.032484
60,0.500000,0.185277,0.070200,0.006145,0.164440,0.031771,-0.010154,0.286139,0.056717,-0.032466
61,0.508333,0.185268,0.069877,0.006185,0.164396,0.031490,-0.010122,0.286090,0.056621,-0.032450
62,0.516667,0.185298,0.069580,0.006215,0.164399,0.031169,-0.010089,0.286079,0.056502,-0.032453
63,0.525000,0.185341,0.069314,0.006311,0.164366,0.030911,-0.010031,0.286075,0.056418,-0.032428
64,0.533333,0.185380,0.069117,0.006395,0.164309,0.030750,-0.009930,0.286053,0.056420,-0.032385
