Format Version,1.23,Take Name,jon dominant lifting,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-03-05 11.29.12.328 AM,Capture Start Frame,460956,Total Frames in Take,1466,Total Exported Frames,1466,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1118,Unlabeled 1118,Unlabeled 1118,Unlabeled 1119,Unlabeled 1119,Unlabeled 1119,Unlabeled 1120,Unlabeled 1120,Unlabeled 1120
,ID,"FBDB0","FBDB0","FBDB0","FBDF0","FBDF0","FBDF0","FBE00","FBE00","FBE00"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.112630,0.030404,-0.019919,0.122867,0.080382,-0.008539,0.227449,0.057458,-0.040360
1,0.008333,0.112680,0.030344,-0.019780,0.122933,0.080307,-0.008344,0.227463,0.057477,-0.040350
2,0.016667,0.112722,0.030283,-0.019616,0.123014,0.080249,-0.008217,0.227495,0.057491,-0.040372
3,0.025000,0.112786,0.030203,-0.019430,0.123129,0.080173,-0.008146,0.227525,0.057497,-0.040352
4,0.033333,0.112868,0.030105,-0.019196,0.123248,0.080061,-0.007975,0.227566,0.057500,-0.040385
5,0.041667,0.112904,0.030002,-0.018994,0.123349,0.079966,-0.007893,0.227608,0.057492,-0.040407
6,0.050000,0.112871,0.029909,-0.018832,0.123408,0.079875,-0.007771,0.227629,0.057475,-0.040417
7,0.058333,0.112779,0.029828,-0.018767,0.123428,0.079782,-0.007678,0.227632,0.057441,-0.040389
8,0.066667,0.112635,0.029771,-0.018769,0.123438,0.079708,-0.007565,0.227640,0.057392,-0.040385
9,0.075000,0.112492,0.029698,-0.018728,0.123446,0.079605,-0.007491,0.227642,0.057358,-0.040376
10,0.083333,0.112381,0.029597,-0.018656,0.123476,0.079459,-0.007453,0.227653,0.057321,-0.040383
11,0.091667,0.112316,0.029446,-0.018598,0.123502,0.079288,-0.007302,0.227669,0.057282,-0.040397
12,0.100000,0.112261,0.029295,-0.018503,0.123526,0.079117,-0.007252,0.227683,0.057240,-0.040412
13,0.108333,0.112186,0.029140,-0.018407,0.123532,0.078951,-0.007139,0.227687,0.057198,-0.040412
14,0.116667,0.112076,0.028978,-0.018337,0.123514,0.078788,-0.007074,0.227680,0.057145,-0.040382
15,0.125000,0.111953,0.028830,-0.018290,0.123498,0.078608,-0.006965,0.227672,0.057077,-0.040354
16,0.133333,0.111814,0.028679,-0.018279,0.123486,0.078432,-0.006919,0.227654,0.057004,-0.040311
17,0.141667,0.111648,0.028525,-0.018331,0.123459,0.078274,-0.006883,0.227638,0.056898,-0.040258
18,0.150000,0.111514,0.028344,-0.018312,0.123440,0.078084,-0.006808,0.227621,0.056807,-0.040204
19,0.158333,0.111443,0.028128,-0.018289,0.123425,0.077855,-0.006737,0.227616,0.056736,-0.040165
20,0.166667,0.111344,0.027893,-0.018294,0.123380,0.077612,-0.006629,0.227602,0.056660,-0.040107
