Format Version,1.23,Take Name,jon non dominant dragging,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-03-05 11.35.20.872 AM,Capture Start Frame,505186,Total Frames in Take,1018,Total Exported Frames,1018,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1140,Unlabeled 1140,Unlabeled 1140,Unlabeled 1141,Unlabeled 1141,Unlabeled 1141,Unlabeled 1142,Unlabeled 1142,Unlabeled 1142
,ID,"FC1F0","FC1F0","FC1F0","FC230","FC230","FC230","FC240","FC240","FC240"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.009898,0.013733,-0.000334,0.125501,0.036648,0.024628,0.166512,0.023031,0.001466
1,0.008333,0.009920,0.013717,-0.000323,0.125500,0.036601,0.024624,0.166531,0.022999,0.001490
2,0.016667,0.009938,0.013696,-0.000296,0.125490,0.036527,0.024605,0.166553,0.022958,0.001497
3,0.025000,0.009957,0.013676,-0.000267,0.125487,0.036449,0.024645,0.166570,0.022912,0.001526
4,0.033333,0.009973,0.013650,-0.000247,0.125488,0.036384,0.024637,0.166594,0.022879,0.001535
5,0.041667,0.009994,0.013623,-0.000192,0.125490,0.036340,0.024634,0.166615,0.022863,0.001541
6,0.050000,0.010010,0.013595,-0.000159,0.125496,0.036306,0.024613,0.166638,0.022863,0.001509
7,0.058333,0.010020,0.013565,-0.000145,0.125502,0.036269,0.024595,0.166667,0.022867,0.001466
8,0.066667,0.010030,0.013540,-0.000133,0.125507,0.036209,0.024540,0.166707,0.022873,0.001381
9,0.075000,0.010048,0.013522,-0.000121,0.125507,0.036147,0.024506,0.166737,0.022876,0.001330
10,0.083333,0.010053,0.013513,-0.000118,0.125504,0.036083,0.024487,0.166764,0.022877,0.001268
11,0.091667,0.010055,0.013497,-0.000111,0.125515,0.036023,0.024433,0.166783,0.022861,0.001231
12,0.100000,0.010057,0.013468,-0.000092,0.125518,0.035946,0.024444,0.166791,0.022826,0.001217
13,0.108333,0.010056,0.013436,-0.000086,0.125531,0.035850,0.024410,0.166808,0.022775,0.001201
14,0.116667,0.010071,0.013393,-0.000042,0.125533,0.035751,0.024406,0.166829,0.022718,0.001193
15,0.125000,0.010079,0.013350,-0.000013,0.125556,0.035630,0.024405,0.166863,0.022664,0.001202
16,0.133333,0.010094,0.013303,0.000015,0.125581,0.035521,0.024418,0.166907,0.022602,0.001171
17,0.141667,0.010111,0.013264,0.000027,0.125602,0.035404,0.024443,0.166955,0.022546,0.001154
18,0.150000,0.010125,0.013245,0.000055,0.125624,0.035260,0.024410,0.167004,0.022479,0.001132
19,0.158333,0.010148,0.013231,0.000056,0.125641,0.035157,0.024413,0.167059,0.022424,0.001090
20,0.166667,0.010171,0.013225,0.000059,0.125668,0.035076,0.024357,0.167108,0.022398,0.001069
21,0.175000,0.010196,0.013226,0.000077,0.125695,0.035002,0.024321,0.167171,0.022388,0.001010
22,0.183333,0.010217,0.013229,0.000078,0.125730,0.034933,0.024265,0.167242,0.022379,0.000887
23,0.191667,0.010240,0.013231,0.000078,0.125764,0.034867,0.024204,0.167293,0.022367,0.000845
24,0.200000,0.010251,0.013225,0.000052,0.125788,0.034781,0.024135,0.167346,0.022349,0.000788
25,0.208333,0.010267,0.013201,0.000053,0.125800,0.034692,0.024068,0.167397,0.022342,0.000742
26,0.216667,0.010276,0.013176,0.000062,0.125812,0.034590,0.023996,0.167456,0.022324,0.000660
27,0.225000,0.010281,0.013135,0.000055,0.125822,0.034465,0.023958,0.167507,0.022278,0.000645
28,0.233333,0.010289,0.013105,0.000081,0.125834,0.034341,0.023894,0.167567,0.022235,0.000584
29,0.241667,0.010304,0.013074,0.000116,0.125846,0.034244,0.023899,0.167613,0.022203,0.000540
30,0.250000,0.010319,0.013048,0.000145,0.125858,0.034146,0.023875,0.167656,0.022167,0.000523
31,0.258333,0.010333,0.013030,0.000151,0.125868,0.034042,0.023919,0.167690,0.022102,0.000537
32,0.266667,0.010347,0.013016,0.000161,0.125876,0.033942,0.023948,0.167723,0.022042,0.000561
33,0.275000,0.010359,0.013003,0.000175,0.125889,0.033850,0.023933,0.167747,0.021969,0.000566
34,0.283333,0.010374,0.012993,0.000183,0.125914,0.033778,0.023912,0.167767,0.021917,0.000567
35,0.291667,0.010390,0.012977,0.000186,0.125929,0.033724,0.023920,0.167791,0.021889,0.000542
36,0.300000,0.010406,0.012966,0.000199,0.125952,0.033688,0.023893,0.167812,0.021878,0.000508
37,0.308333,0.010431,0.012952,0.000213,0.125993,0.033655,0.023855,0.167839,0.021872,0.000473
38,0.316667,0.010457,0.012940,0.000229,0.126023,0.033615,0.023857,0.167869,0.021847,0.000439
39,0.325000,0.010488,0.012923,0.000214,0.126075,0.033566,0.023836,0.167909,0.021816,0.000391
40,0.333333,0.010517,0.012912,0.000238,0.126113,0.033511,0.023844,0.167944,0.021778,0.000374
41,0.341667,0.010546,0.012900,0.000263,0.126150,0.033468,0.023844,0.167984,0.021752,0.000320
42,0.350000,0.010570,0.012886,0.000271,0.126177,0.033420,0.023826,0.168031,0.021729,0.000253
43,0.358333,0.010581,0.012869,0.000282,0.126195,0.033356,0.023823,0.168048,0.021695,0.000245
44,0.366667,0.010587,0.012847,0.000313,0.126194,0.033269,0.023802,0.168057,0.021640,0.000251
45,0.375000,0.010593,0.012809,0.000312,0.126187,0.033177,0.023801,0.168067,0.021580,0.000279
46,0.383333,0.010597,0.012783,0.000315,0.126183,0.033088,0.023786,0.168073,0.021532,0.000326
47,0.391667,0.010610,0.012760,0.000363,0.126184,0.033002,0.023751,0.168091,0.021491,0.000302
48,0.400000,0.010626,0.012743,0.000380,0.126196,0.032931,0.023750,0.168114,0.021467,0.000264
49,0.408333,0.010660,0.012738,0.000421,0.126224,0.032886,0.023722,0.168150,0.021450,0.000218
50,0.416667,0.010695,0.012740,0.000456,0.126256,0.032846,0.023695,0.168181,0.021432,0.000192
51,0.425000,0.010731,0.012731,0.000461,0.126289,0.032794,0.023696,0.168210,0.021401,0.000139
52,0.433333,0.010769,0.012709,0.000475,0.126315,0.032742,0.023709,0.168231,0.021355,0.000155
53,0.441667,0.010806,0.012691,0.000479,0.126339,0.032681,0.023726,0.168252,0.021296,0.000170
54,0.450000,0.010843,0.012678,0.000504,0.126371,0.032604,0.023690,0.168285,0.021224,0.000178
55,0.458333,0.010877,0.012664,0.000545,0.126402,0.032499,0.023632,0.168308,0.021142,0.000228
56,0.466667,0.010905,0.012644,0.000535,0.126421,0.032405,0.023603,0.168337,0.021057,0.000219
57,0.475000,0.010953,0.012641,0.000600,0.126446,0.032326,0.023572,0.168383,0.020994,0.000207
58,0.483333,0.010988,0.012637,0.000629,0.126474,0.032249,0.023534,0.168439,0.020936,0.000157
59,0.491667,0.011036,0.012646,0.000680,0.126497,0.032167,0.023492,0.168492,0.020879,0.000136
60,0.500000,0.011089,0.012654,0.000710,0.126523,0.032062,0.023445,0.168553,0.020818,0.000127
61,0.508333,0.011137,0.012646,0.000709,0.126550,0.031949,0.023423,0.168618,0.020754,0.000115
62,0.516667,0.011180,0.012627,0.000743,0.126578,0.031834,0.023380,0.168678,0.020691,0.000110
63,0.525000,0.011224,0.012608,0.000784,0.126603,0.031739,0.023329,0.168760,0.020629,0.000050
64,0.533333,0.011280,0.012577,0.000863,0.126648,0.031645,0.023250,0.168837,0.020583,0.000053
65,0.541667,0.011357,0.012557,0.000971,0.126710,0.031558,0.023146,0.168951,0.020540,-0.000060
66,0.550000,0.011431,0.012541,0.001081,0.126779,0.031478,0.023081,0.169060,0.020491,-0.000114
67,0.558333,0.011527,0.012521,0.001200,0.126868,0.031365,0.023013,0.169161,0.020413,-0.000197
68,0.566667,0.011606,0.012509,0.001254,0.126962,0.031252,0.022974,0.169278,0.020305,-0.000290
69,0.575000,0.011688,0.012489,0.001315,0.127045,0.031156,0.022995,0.169362,0.020201,-0.000248
70,0.583333,0.011775,0.012459,0.001425,0.127131,0.031018,0.023060,0.169430,0.020063,-0.000276
71,0.591667,0.011846,0.012442,0.001533,0.127214,0.030873,0.023083,0.169490,0.019904,-0.000264
72,0.600000,0.011899,0.012429,0.001606,0.127291,0.030765,0.023049,0.169528,0.019750,-0.000239
73,0.608333,0.011961,0.012417,0.001652,0.127351,0.030671,0.023060,0.169569,0.019623,-0.000210
74,0.616667,0.012018,0.012388,0.001716,0.127406,0.030563,0.023100,0.169612,0.019508,-0.000170
75,0.625000,0.012068,0.012335,0.001762,0.127452,0.030438,0.023138,0.169655,0.019375,-0.000143
76,0.633333,0.012094,0.012246,0.001762,0.127453,0.030263,0.023223,0.169670,0.019230,-0.000063
77,0.641667,0.012092,0.012152,0.001775,0.127427,0.030070,0.023322,0.169657,0.019059,0.000041
78,0.650000,0.012051,0.012035,0.001718,0.127322,0.029851,0.023527,0.169609,0.018835,0.000263
79,0.658333,0.011981,0.011907,0.001707,0.127189,0.029590,0.023751,0.169527,0.018592,0.000579
80,0.666667,0.011898,0.011802,0.001691,0.127033,0.029321,0.024045,0.169427,0.018349,0.000915
81,0.675000,0.011812,0.011761,0.001660,0.126877,0.029118,0.024288,0.169286,0.018067,0.001314
82,0.683333,0.011731,0.011740,0.001593,0.126747,0.028974,0.024466,0.169190,0.017839,0.001600
83,0.691667,0.011681,0.011738,0.001549,0.126633,0.028888,0.024662,0.169087,0.017722,0.001873
84,0.700000,0.011652,0.011746,0.001503,0.126556,0.028862,0.024774,0.169019,0.017666,0.002062
85,0.708333,0.011630,0.011768,0.001444,0.126506,0.028863,0.024849,0.168973,0.017630,0.002182
86,0.716667,0.011597,0.011811,0.001359,0.126450,0.028873,0.024952,0.168893,0.017590,0.002364
87,0.725000,0.011551,0.011837,0.001269,0.126364,0.028875,0.025172,0.168782,0.017521,0.002554
88,0.733333,0.011482,0.011851,0.001141,0.126257,0.028831,0.025437,0.168614,0.017380,0.002921
89,0.741667,0.011383,0.011824,0.001048,0.126083,0.028712,0.025760,0.168423,0.017184,0.003343
90,0.750000,0.011245,0.011761,0.000965,0.125839,0.028538,0.026329,0.168140,0.016897,0.003987
91,0.758333,0.011069,0.011667,0.000958,0.125525,0.028257,0.027008,0.167778,0.016464,0.004758
92,0.766667,0.010848,0.011566,0.000839,0.125126,0.027788,0.027847,0.167387,0.015897,0.005709
93,0.775000,0.010582,0.011508,0.000747,0.124628,0.027209,0.028797,0.166909,0.015145,0.006979
94,0.783333,0.010319,0.011474,0.000578,0.124029,0.026521,0.029935,0.166374,0.014238,0.008550
95,0.791667,0.010053,0.011451,0.000416,0.123362,0.025771,0.031203,0.165730,0.013239,0.010339
96,0.800000,0.009758,0.011443,0.000201,0.122654,0.025071,0.032607,0.164988,0.012157,0.012169
97,0.808333,0.009477,0.011474,0.000083,0.121894,0.024450,0.034142,0.164207,0.011121,0.014043
98,0.816667,0.009217,0.011466,-0.000173,0.121142,0.023914,0.035703,0.163322,0.010099,0.015903
99,0.825000,0.008941,0.011504,-0.000490,0.120385,0.023291,0.037181,0.162359,0.008968,0.017709
100,0.833333,0.008684,0.011557,-0.000586,0.119689,0.022559,0.038493,0.161381,0.007760,0.019174
101,0.841667,0.008433,0.011586,-0.000812,0.118972,0.021878,0.039675,0.160491,0.006844,0.020576
102,0.850000,0.008223,0.011648,-0.001010,0.118216,0.021485,0.040978,0.159612,0.006147,0.021925
103,0.858333,0.008035,0.011759,-0.001234,0.117381,0.021073,0.042265,0.158679,0.005476,0.023396
104,0.866667,0.007837,0.011884,-0.001569,0.116588,0.020740,0.043434,0.157768,0.004773,0.024698
105,0.875000,0.007602,0.012073,-0.002025,0.115682,0.020284,0.044644,0.156827,0.004013,0.026105
106,0.883333,0.007365,0.012322,-0.002500,0.114579,0.019879,0.046003,0.155750,0.003224,0.027777
107,0.891667,0.007091,0.012668,-0.003115,0.113258,0.019491,0.047431,0.154479,0.002310,0.029577
108,0.900000,0.006785,0.013122,-0.003921,0.111659,0.019071,0.048740,0.153044,0.001442,0.031895
109,0.908333,0.006432,0.013646,-0.004810,0.109846,0.018779,0.050218,0.151555,0.000785,0.034548
110,0.916667,0.006019,0.014136,-0.005685,0.108194,0.018397,0.051326,0.149992,-0.000002,0.036710
111,0.925000,0.005566,0.014384,-0.006205,0.106972,0.017798,0.051764,0.148763,-0.000854,0.037631
112,0.933333,0.005171,0.014313,-0.006444,0.106322,0.017559,0.051777,0.148190,-0.001072,0.037489
113,0.941667,0.004881,0.014149,-0.006513,0.106073,0.017989,0.051437,0.148072,-0.000396,0.036978
114,0.950000,0.004619,0.014037,-0.006518,0.106112,0.019067,0.051061,0.148174,0.000972,0.036535
115,0.958333,0.004483,0.013990,-0.006488,0.106384,0.020521,0.050441,0.148543,0.002788,0.035949
