Format Version,1.23,Take Name,jon non dominant lifting thin,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-03-05 11.36.05.823 AM,Capture Start Frame,510580,Total Frames in Take,1405,Total Exported Frames,1405,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1143,Unlabeled 1143,Unlabeled 1143,Unlabeled 1144,Unlabeled 1144,Unlabeled 1144,Unlabeled 1145,Unlabeled 1145,Unlabeled 1145
,ID,"FC2C0","FC2C0","FC2C0","FC300","FC300","FC300","FC330","FC330","FC330"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.149919,0.012886,0.019875,0.090503,0.037811,0.031418,-0.022223,0.008810,-0.011050
1,0.008333,0.150113,0.012837,0.019627,0.090540,0.037624,0.031363,-0.022195,0.008657,-0.010953
2,0.016667,0.150346,0.012934,0.019412,0.090616,0.037509,0.031127,-0.022160,0.008491,-0.010895
3,0.025000,0.150634,0.013154,0.019117,0.090726,0.037458,0.030797,-0.022114,0.008390,-0.010822
4,0.033333,0.150975,0.013393,0.018651,0.090822,0.037404,0.030556,-0.022064,0.008341,-0.010756
5,0.041667,0.151239,0.013609,0.018494,0.090889,0.037315,0.030234,-0.022022,0.008347,-0.010728
6,0.050000,0.151474,0.013747,0.018327,0.090917,0.037198,0.029929,-0.022000,0.008391,-0.010751
7,0.058333,0.151699,0.013843,0.018303,0.090901,0.037002,0.029755,-0.021997,0.008453,-0.010773
8,0.066667,0.151794,0.013809,0.018578,0.090804,0.036721,0.029739,-0.022016,0.008533,-0.010840
9,0.075000,0.151791,0.013657,0.019098,0.090626,0.036330,0.029784,-0.022054,0.008603,-0.010897
10,0.083333,0.151645,0.013389,0.019856,0.090370,0.035933,0.030109,-0.022128,0.008664,-0.010928
11,0.091667,0.151441,0.013045,0.020713,0.090063,0.035488,0.030524,-0.022228,0.008651,-0.011002
12,0.100000,0.151186,0.012716,0.021544,0.089709,0.035090,0.030991,-0.022323,0.008573,-0.011013
13,0.108333,0.150879,0.012588,0.022554,0.089304,0.034853,0.031499,-0.022443,0.008473,-0.011078
