Format Version,1.23,Take Name,jon non dominant lifting,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-03-05 11.34.27.739 AM,Capture Start Frame,498809,Total Frames in Take,1697,Total Exported Frames,1697,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1137,Unlabeled 1137,Unlabeled 1137,Unlabeled 1138,Unlabeled 1138,Unlabeled 1138,Unlabeled 1139,Unlabeled 1139,Unlabeled 1139
,ID,"FC1F0","FC1F0","FC1F0","FC230","FC230","FC230","FC240","FC240","FC240"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.019540,0.022237,-0.029536,0.128519,0.045330,0.019439,0.175039,0.013923,0.015067
1,0.008333,0.019535,0.022227,-0.029551,0.128522,0.045297,0.019439,0.175041,0.013898,0.015055
2,0.016667,0.019534,0.022224,-0.029544,0.128519,0.045286,0.019449,0.175043,0.013891,0.015039
3,0.025000,0.019532,0.022219,-0.029561,0.128519,0.045305,0.019445,0.175042,0.013904,0.015044
4,0.033333,0.019533,0.022218,-0.029546,0.128523,0.045332,0.019443,0.175041,0.013927,0.015055
5,0.041667,0.019539,0.022223,-0.029538,0.128524,0.045333,0.019443,0.175048,0.013939,0.015039
6,0.050000,0.019540,0.022231,-0.029539,0.128529,0.045305,0.019429,0.175069,0.013928,0.014996
7,0.058333,0.019548,0.022238,-0.029524,0.128538,0.045269,0.019408,0.175087,0.013902,0.014952
8,0.066667,0.019554,0.022247,-0.029503,0.128547,0.045239,0.019389,0.175100,0.013880,0.014910
9,0.075000,0.019552,0.022246,-0.029509,0.128556,0.045221,0.019391,0.175093,0.013867,0.014929
10,0.083333,0.019553,0.022247,-0.029509,0.128550,0.045222,0.019399,0.175087,0.013853,0.014922
11,0.091667,0.019548,0.022243,-0.029513,0.128552,0.045212,0.019407,0.175066,0.013829,0.014929
12,0.100000,0.019538,0.022233,-0.029537,0.128549,0.045189,0.019435,0.175052,0.013796,0.014928
13,0.108333,0.019532,0.022222,-0.029541,0.128542,0.045155,0.019441,0.175039,0.013761,0.014934
14,0.116667,0.019527,0.022215,-0.029537,0.128533,0.045116,0.019456,0.175031,0.013730,0.014938
15,0.125000,0.019523,0.022211,-0.029527,0.128528,0.045086,0.019483,0.175025,0.013709,0.014940
16,0.133333,0.019520,0.022207,-0.029526,0.128525,0.045073,0.019482,0.175020,0.013690,0.014947
17,0.141667,0.019518,0.022211,-0.029517,0.128525,0.045057,0.019482,0.175015,0.013672,0.014943
18,0.150000,0.019520,0.022209,-0.029507,0.128531,0.045043,0.019490,0.175015,0.013647,0.014929
19,0.158333,0.019519,0.022211,-0.029520,0.128539,0.045032,0.019475,0.175015,0.013625,0.014907
20,0.166667,0.019521,0.022216,-0.029517,0.128552,0.045033,0.019460,0.175012,0.013610,0.014883
21,0.175000,0.019526,0.022216,-0.029520,0.128559,0.045031,0.019450,0.175015,0.013600,0.014870
22,0.183333,0.019523,0.022215,-0.029521,0.128568,0.045027,0.019441,0.175019,0.013590,0.014851
23,0.191667,0.019524,0.022213,-0.029531,0.128578,0.045029,0.019439,0.175022,0.013583,0.014837
24,0.200000,0.019529,0.022211,-0.029528,0.128585,0.045041,0.019432,0.175027,0.013583,0.014823
25,0.208333,0.019528,0.022206,-0.029526,0.128597,0.045042,0.019434,0.175025,0.013574,0.014814
26,0.216667,0.019533,0.022204,-0.029514,0.128609,0.045034,0.019421,0.175031,0.013555,0.014791
27,0.225000,0.019534,0.022202,-0.029523,0.128619,0.045017,0.019422,0.175030,0.013527,0.014786
28,0.233333,0.019535,0.022198,-0.029525,0.128625,0.044993,0.019442,0.175024,0.013491,0.014793
29,0.241667,0.019539,0.022198,-0.029506,0.128626,0.044974,0.019453,0.175016,0.013454,0.014799
30,0.250000,0.019546,0.022197,-0.029500,0.128627,0.044946,0.019468,0.175007,0.013417,0.014809
31,0.258333,0.019549,0.022199,-0.029504,0.128620,0.044912,0.019506,0.174981,0.013375,0.014870
32,0.266667,0.019552,0.022188,-0.029502,0.128620,0.044874,0.019527,0.174969,0.013310,0.014885
33,0.275000,0.019558,0.022186,-0.029509,0.128625,0.044816,0.019541,0.174979,0.013263,0.014881
34,0.283333,0.019569,0.022175,-0.029497,0.128646,0.044761,0.019519,0.174999,0.013224,0.014883
35,0.291667,0.019580,0.022170,-0.029496,0.128666,0.044727,0.019535,0.175015,0.013189,0.014883
