Format Version,1.23,Take Name,jon non dominant,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-03-05 10.47.35.894 AM,Capture Start Frame,161350,Total Frames in Take,2060,Total Exported Frames,2060,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012
,ID,"F3260","F3260","F3260","F32B0","F32B0","F32B0","F32E0","F32E0","F32E0","F3320","F3320","F3320","F3330","F3330","F3330","F3340","F3340","F3340"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.044725,0.046727,0.185548,0.007831,0.020822,0.146260,,,,,,,,,,,,
1,0.008333,0.044721,0.046716,0.185553,0.007790,0.020797,0.146256,,,,,,,,,,,,
2,0.016667,0.044717,0.046718,0.185559,0.007763,0.020731,0.146305,,,,,,,,,,,,
3,0.025000,0.044691,0.046734,0.185541,0.007769,0.020714,0.146319,,,,,,,,,,,,
4,0.033333,0.044816,0.046677,0.185717,0.007762,0.020684,0.146324,,,,,,,,,,,,
5,0.041667,0.044705,0.046729,0.185547,0.007730,0.020685,0.146280,,,,,,,,,,,,
6,0.050000,0.044721,0.046727,0.185547,0.007751,0.020662,0.146298,,,,,,,,,,,,
7,0.058333,0.044784,0.046699,0.185583,0.007752,0.020658,0.146292,,,,,,,,,,,,
8,0.066667,0.044883,0.046679,0.185648,0.007728,0.020660,0.146235,,,,,,,,,,,,
9,0.075000,0.044873,0.046688,0.185613,0.007767,0.020607,0.146248,,,,,,,,,,,,
10,0.083333,0.044858,0.046697,0.185573,0.007718,0.020612,0.146206,,,,,,,,,,,,
11,0.091667,0.044862,0.046694,0.185571,0.007732,0.020602,0.146216,,,,,,,,,,,,
12,0.100000,0.044868,0.046686,0.185574,0.007710,0.020591,0.146198,,,,,,,,,,,,
13,0.108333,0.044867,0.046682,0.185571,0.007788,0.020536,0.146282,,,,,,,,,,,,
14,0.116667,0.044834,0.046689,0.185529,0.007717,0.020558,0.146231,,,,,,,,,,,,
15,0.125000,0.044861,0.046678,0.185570,0.007588,0.020572,0.146133,,,,,,,,,,,,
16,0.133333,0.044882,0.046665,0.185601,0.007563,0.020571,0.146117,,,,,,,,,,,,
17,0.141667,0.044849,0.046684,0.185565,0.007574,0.020594,0.146151,,,,,,,,,,,,
18,0.150000,0.044845,0.046679,0.185569,0.007547,0.020571,0.146132,,,,,,,,,,,,
19,0.158333,0.044828,0.046665,0.185579,0.007499,0.020582,0.146116,,,,,,,,,,,,
20,0.166667,0.044827,0.046669,0.185584,0.007491,0.020559,0.146115,,,,,,,,,,,,
21,0.175000,0.044774,0.046707,0.185548,0.007531,0.020571,0.146195,,,,,,,,,,,,
22,0.183333,0.044930,0.046671,0.185769,0.007475,0.020594,0.146171,,,,,,,,,,,,
23,0.191667,0.044918,0.046700,0.185776,0.007458,0.020609,0.146173,,,,,,,,,,,,
24,0.200000,0.044972,0.046669,0.185884,0.007367,0.020618,0.146137,,,,,,,,,,,,
25,0.208333,0.044812,0.046703,0.185809,0.007372,0.020583,0.146198,,,,,,,,,,,,
26,0.216667,0.044721,0.046723,0.185770,0.007327,0.020580,0.146195,,,,,,,,,,,,
27,0.225000,0.044740,0.046701,0.185820,0.007445,0.020467,0.146391,,,,,,,,,,,,
28,0.233333,0.044745,0.046700,0.185851,0.007451,0.020463,0.146419,,,,,,,,,,,,
29,0.241667,0.044696,0.046717,0.185823,0.007415,0.020472,0.146386,,,,,,,,,,,,
30,0.250000,0.044672,0.046721,0.185814,0.007537,0.020351,0.146615,,,,,,,,,,,,
31,0.258333,0.044695,0.046687,0.185824,0.007446,0.020353,0.146544,,,,,,,,,,,,
32,0.266667,0.044622,0.046660,0.185759,0.007364,0.020330,0.146450,,,,,,,,,,,,
33,0.275000,0.044587,0.046619,0.185707,0.007365,0.020285,0.146482,,,,,,,,,,,,
34,0.283333,0.044606,0.046549,0.185763,0.007145,0.020322,0.146308,,,,,,,,,,,,
35,0.291667,0.044456,0.046506,0.185651,0.007053,0.020263,0.146325,,,,,,,,,,,,
36,0.300000,0.044405,0.046414,0.185680,0.006907,0.020255,0.146301,,,,,,,,,,,,
37,0.308333,0.044358,0.046359,0.185693,0.006780,0.020184,0.146309,,,,,,,,,,,,
38,0.316667,0.044135,0.046330,0.185568,0.006475,0.020209,0.146215,,,,,,,,,,,,
39,0.325000,0.044016,0.046269,0.185492,0.006151,0.020194,0.146161,,,,,,,,,,,,
40,0.333333,0.043990,0.046059,0.185559,0.005908,0.020107,0.146171,,,,,,,,,,,,
41,0.341667,0.043836,0.045981,0.185480,0.005471,0.020177,0.145953,,,,,,,,,,,,
42,0.350000,0.043625,0.045908,0.185337,0.005336,0.019926,0.146180,,,,,,,,,,,,
43,0.358333,0.043356,0.045858,0.185163,0.004954,0.019942,0.145986,,,,,,,,,,,,
44,0.366667,0.043255,0.045851,0.185103,0.004759,0.019931,0.145927,,,,,,,,,,,,
45,0.375000,0.043125,0.045846,0.185049,0.004610,0.019916,0.145835,,,,,,,,,,,,
46,0.383333,0.042897,0.045886,0.184874,0.004535,0.019845,0.145844,,,,,,,,,,,,
47,0.391667,0.042791,0.045856,0.184780,0.004350,0.019847,0.145710,,,,,,,,,,,,
48,0.400000,0.042617,0.045786,0.184655,0.004237,0.019853,0.145613,,,,,,,,,,,,
49,0.408333,0.042478,0.045746,0.184554,0.004028,0.019859,0.145443,,,,,,,,,,,,
50,0.416667,0.042305,0.045619,0.184460,0.003789,0.019845,0.145338,,,,,,,,,,,,
51,0.425000,0.042176,0.045538,0.184355,0.003688,0.019786,0.145217,,,,,,,,,,,,
52,0.433333,0.042069,0.045452,0.184234,0.003585,0.019766,0.145095,,,,,,,,,,,,
53,0.441667,0.042077,0.045315,0.184243,0.003586,0.019728,0.145070,,,,,,,,,,,,
54,0.450000,0.042091,0.045199,0.184233,0.003546,0.019635,0.145054,,,,,,,,,,,,
55,0.458333,0.042024,0.045158,0.184093,0.003491,0.019604,0.144934,,,,,,,,,,,,
