Format Version,1.23,Take Name,jon nondominant actual,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-01-30 11.18.11.825 AM,Capture Start Frame,40569,Total Frames in Take,632,Total Exported Frames,632,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Elbow:Unlabeled 1004,Elbow:Unlabeled 1004,Elbow:Unlabeled 1004,Hand:Unlabeled 1005,Hand:Unlabeled 1005,Hand:Unlabeled 1005,Shoulder:Unlabeled 1003,Shoulder:Unlabeled 1003,Shoulder:Unlabeled 1003
,ID,"5C746303BF9311EE38EB2661D80099A9","5C746303BF9311EE38EB2661D80099A9","5C746303BF9311EE38EB2661D80099A9","631F7487BF9311EE38EB2661D80099A9","631F7487BF9311EE38EB2661D80099A9","631F7487BF9311EE38EB2661D80099A9","2F3ECD8ABF9311EE38EB2661D80099A9","2F3ECD8ABF9311EE38EB2661D80099A9","2F3ECD8ABF9311EE38EB2661D80099A9"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.029615,0.034960,0.151096,-0.019212,0.247504,-0.166688,0.043640,0.257334,0.302088
1,0.008333,0.029616,0.034995,0.151091,-0.019040,0.248578,-0.165888,0.043845,0.257234,0.302088
2,0.016667,0.029547,0.035002,0.151108,-0.019022,0.249530,-0.165312,0.044254,0.257146,0.302111
3,0.025000,0.029413,0.034978,0.151138,-0.019393,0.250251,-0.164807,0.044372,0.257006,0.302213
4,0.033333,0.029398,0.034965,0.151166,-0.019099,0.250933,-0.164236,0.044131,0.256893,0.302470
5,0.041667,0.029621,0.034998,0.151211,-0.019119,0.251285,-0.163934,0.044193,0.256788,0.302611
6,0.050000,0.029632,0.034960,0.151241,-0.018861,0.251589,-0.163632,0.044436,0.256692,0.302690
7,0.058333,0.029463,0.034863,0.151307,-0.019208,0.251632,-0.163636,0.044743,0.256620,0.302769
