Format Version,1.23,Take Name,Take 2024-04-09 12.23.50 PM_006,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-09 12.45.32.153 PM,Capture Start Frame,211141,Total Frames in Take,3767,Total Exported Frames,3767,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1658,Unlabeled 1658,Unlabeled 1658,Unlabeled 1659,Unlabeled 1659,Unlabeled 1659,Unlabeled 1660,Unlabeled 1660,Unlabeled 1660,Unlabeled 1662,Unlabeled 1662,Unlabeled 1662,Unlabeled 1663,Unlabeled 1663,Unlabeled 1663,Unlabeled 1664,Unlabeled 1664,Unlabeled 1664,Unlabeled 1665,Unlabeled 1665,Unlabeled 1665,Unlabeled 1666,Unlabeled 1666,Unlabeled 1666,Unlabeled 1667,Unlabeled 1667,Unlabeled 1667,Unlabeled 1668,Unlabeled 1668,Unlabeled 1668,Unlabeled 1669,Unlabeled 1669,Unlabeled 1669,Unlabeled 1670,Unlabeled 1670,Unlabeled 1670,Unlabeled 1671,Unlabeled 1671,Unlabeled 1671,Unlabeled 1672,Unlabeled 1672,Unlabeled 1672,Unlabeled 1673,Unlabeled 1673,Unlabeled 1673,Unlabeled 1674,Unlabeled 1674,Unlabeled 1674,Unlabeled 1675,Unlabeled 1675,Unlabeled 1675,Unlabeled 1676,Unlabeled 1676,Unlabeled 1676,Unlabeled 1677,Unlabeled 1677,Unlabeled 1677,Unlabeled 1678,Unlabeled 1678,Unlabeled 1678,Unlabeled 1679,Unlabeled 1679,Unlabeled 1679,Unlabeled 1680,Unlabeled 1680,Unlabeled 1680,Unlabeled 1681,Unlabeled 1681,Unlabeled 1681,Unlabeled 1682,Unlabeled 1682,Unlabeled 1682,Unlabeled 1683,Unlabeled 1683,Unlabeled 1683,Unlabeled 1684,Unlabeled 1684,Unlabeled 1684,Unlabeled 1685,Unlabeled 1685,Unlabeled 1685,Unlabeled 1686,Unlabeled 1686,Unlabeled 1686,Unlabeled 1687,Unlabeled 1687,Unlabeled 1687,Unlabeled 1688,Unlabeled 1688,Unlabeled 1688,Unlabeled 1689,Unlabeled 1689,Unlabeled 1689,Unlabeled 1690,Unlabeled 1690,Unlabeled 1690,Unlabeled 1691,Unlabeled 1691,Unlabeled 1691,Unlabeled 1692,Unlabeled 1692,Unlabeled 1692,Unlabeled 1693,Unlabeled 1693,Unlabeled 1693,Unlabeled 1694,Unlabeled 1694,Unlabeled 1694,Unlabeled 1695,Unlabeled 1695,Unlabeled 1695,Unlabeled 1696,Unlabeled 1696,Unlabeled 1696,Unlabeled 1697,Unlabeled 1697,Unlabeled 1697,Unlabeled 1698,Unlabeled 1698,Unlabeled 1698,Unlabeled 1699,Unlabeled 1699,Unlabeled 1699,Unlabeled 1700,Unlabeled 1700,Unlabeled 1700,Unlabeled 1701,Unlabeled 1701,Unlabeled 1701,Unlabeled 1702,Unlabeled 1702,Unlabeled 1702,Unlabeled 1703,Unlabeled 1703,Unlabeled 1703,Unlabeled 1704,Unlabeled 1704,Unlabeled 1704,Unlabeled 1705,Unlabeled 1705,Unlabeled 1705,Unlabeled 1706,Unlabeled 1706,Unlabeled 1706,Unlabeled 1707,Unlabeled 1707,Unlabeled 1707,Unlabeled 1708,Unlabeled 1708,Unlabeled 1708,Unlabeled 1709,Unlabeled 1709,Unlabeled 1709,Unlabeled 1710,Unlabeled 1710,Unlabeled 1710,Unlabeled 1711,Unlabeled 1711,Unlabeled 1711,Unlabeled 1712,Unlabeled 1712,Unlabeled 1712,Unlabeled 1714,Unlabeled 1714,Unlabeled 1714,Unlabeled 1715,Unlabeled 1715,Unlabeled 1715,Unlabeled 1716,Unlabeled 1716,Unlabeled 1716,Unlabeled 1717,Unlabeled 1717,Unlabeled 1717,Unlabeled 1718,Unlabeled 1718,Unlabeled 1718,Unlabeled 1719,Unlabeled 1719,Unlabeled 1719
,ID,"C6C90","C6C90","C6C90","C6C30","C6C30","C6C30","C6CC0","C6CC0","C6CC0","C6CE0","C6CE0","C6CE0","C6CF0","C6CF0","C6CF0","C6D00","C6D00","C6D00","C6D10","C6D10","C6D10","C6D20","C6D20","C6D20","C6D30","C6D30","C6D30","C6D40","C6D40","C6D40","C6D50","C6D50","C6D50","C6D60","C6D60","C6D60","C6D70","C6D70","C6D70","C6D80","C6D80","C6D80","C6CB0","C6CB0","C6CB0","C6D90","C6D90","C6D90","C6DB0","C6DB0","C6DB0","C6DA0","C6DA0","C6DA0","C6DC0","C6DC0","C6DC0","C6DE0","C6DE0","C6DE0","C6DF0","C6DF0","C6DF0","C6E00","C6E00","C6E00","C6E10","C6E10","C6E10","C6E20","C6E20","C6E20","C6E30","C6E30","C6E30","C6DD0","C6DD0","C6DD0","C6E40","C6E40","C6E40","C6E60","C6E60","C6E60","C6E50","C6E50","C6E50","C6E70","C6E70","C6E70","C6E80","C6E80","C6E80","C6E90","C6E90","C6E90","C6EA0","C6EA0","C6EA0","C6EC0","C6EC0","C6EC0","C6ED0","C6ED0","C6ED0","C6EE0","C6EE0","C6EE0","C6EB0","C6EB0","C6EB0","C6EF0","C6EF0","C6EF0","C6F10","C6F10","C6F10","C6F20","C6F20","C6F20","C6F00","C6F00","C6F00","C6F30","C6F30","C6F30","C6F40","C6F40","C6F40","C6F50","C6F50","C6F50","C6F60","C6F60","C6F60","C6F80","C6F80","C6F80","C6F70","C6F70","C6F70","C6A20","C6A20","C6A20","C6F90","C6F90","C6F90","C6FA0","C6FA0","C6FA0","C6FD0","C6FD0","C6FD0","C6FE0","C6FE0","C6FE0","C6FC0","C6FC0","C6FC0","C7000","C7000","C7000","C7020","C7020","C7020","C7010","C7010","C7010","C7040","C7040","C7040","C7030","C7030","C7030","C7060","C7060","C7060","C7050","C7050","C7050"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
