Format Version,1.23,Take Name,Take 2024-04-09 12.23.50 PM_008,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-09 12.49.56.800 PM,Capture Start Frame,239732,Total Frames in Take,3732,Total Exported Frames,3732,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1985,Unlabeled 1985,Unlabeled 1985,Unlabeled 1986,Unlabeled 1986,Unlabeled 1986,Unlabeled 1989,Unlabeled 1989,Unlabeled 1989,Unlabeled 1990,Unlabeled 1990,Unlabeled 1990,Unlabeled 1991,Unlabeled 1991,Unlabeled 1991,Unlabeled 1992,Unlabeled 1992,Unlabeled 1992,Unlabeled 1993,Unlabeled 1993,Unlabeled 1993,Unlabeled 1994,Unlabeled 1994,Unlabeled 1994,Unlabeled 1995,Unlabeled 1995,Unlabeled 1995,Unlabeled 1996,Unlabeled 1996,Unlabeled 1996,Unlabeled 1997,Unlabeled 1997,Unlabeled 1997,Unlabeled 1999,Unlabeled 1999,Unlabeled 1999,Unlabeled 2000,Unlabeled 2000,Unlabeled 2000,Unlabeled 2001,Unlabeled 2001,Unlabeled 2001,Unlabeled 2002,Unlabeled 2002,Unlabeled 2002,Unlabeled 2003,Unlabeled 2003,Unlabeled 2003,Unlabeled 2004,Unlabeled 2004,Unlabeled 2004,Unlabeled 2006,Unlabeled 2006,Unlabeled 2006,Unlabeled 2007,Unlabeled 2007,Unlabeled 2007,Unlabeled 2009,Unlabeled 2009,Unlabeled 2009,Unlabeled 2011,Unlabeled 2011,Unlabeled 2011,Unlabeled 2012,Unlabeled 2012,Unlabeled 2012,Unlabeled 2013,Unlabeled 2013,Unlabeled 2013,Unlabeled 2015,Unlabeled 2015,Unlabeled 2015,Unlabeled 2016,Unlabeled 2016,Unlabeled 2016,Unlabeled 2017,Unlabeled 2017,Unlabeled 2017,Unlabeled 2018,Unlabeled 2018,Unlabeled 2018,Unlabeled 2019,Unlabeled 2019,Unlabeled 2019,Unlabeled 2020,Unlabeled 2020,Unlabeled 2020,Unlabeled 2021,Unlabeled 2021,Unlabeled 2021,Unlabeled 2022,Unlabeled 2022,Unlabeled 2022,Unlabeled 2023,Unlabeled 2023,Unlabeled 2023,Unlabeled 2024,Unlabeled 2024,Unlabeled 2024,Unlabeled 2025,Unlabeled 2025,Unlabeled 2025,Unlabeled 2026,Unlabeled 2026,Unlabeled 2026,Unlabeled 2028,Unlabeled 2028,Unlabeled 2028,Unlabeled 2029,Unlabeled 2029,Unlabeled 2029,Unlabeled 2030,Unlabeled 2030,Unlabeled 2030,Unlabeled 2031,Unlabeled 2031,Unlabeled 2031,Unlabeled 2032,Unlabeled 2032,Unlabeled 2032,Unlabeled 2035,Unlabeled 2035,Unlabeled 2035,Unlabeled 2036,Unlabeled 2036,Unlabeled 2036,Unlabeled 2037,Unlabeled 2037,Unlabeled 2037,Unlabeled 2039,Unlabeled 2039,Unlabeled 2039,Unlabeled 2040,Unlabeled 2040,Unlabeled 2040,Unlabeled 2043,Unlabeled 2043,Unlabeled 2043,Unlabeled 2046,Unlabeled 2046,Unlabeled 2046,Unlabeled 2047,Unlabeled 2047,Unlabeled 2047,Unlabeled 2048,Unlabeled 2048,Unlabeled 2048,Unlabeled 2050,Unlabeled 2050,Unlabeled 2050,Unlabeled 2051,Unlabeled 2051,Unlabeled 2051,Unlabeled 2052,Unlabeled 2052,Unlabeled 2052,Unlabeled 2053,Unlabeled 2053,Unlabeled 2053,Unlabeled 2054,Unlabeled 2054,Unlabeled 2054,Unlabeled 2055,Unlabeled 2055,Unlabeled 2055,Unlabeled 2056,Unlabeled 2056,Unlabeled 2056,Unlabeled 2058,Unlabeled 2058,Unlabeled 2058,Unlabeled 2059,Unlabeled 2059,Unlabeled 2059,Unlabeled 2060,Unlabeled 2060,Unlabeled 2060,Unlabeled 2061,Unlabeled 2061,Unlabeled 2061,Unlabeled 2062,Unlabeled 2062,Unlabeled 2062,Unlabeled 2063,Unlabeled 2063,Unlabeled 2063,Unlabeled 2064,Unlabeled 2064,Unlabeled 2064,Unlabeled 2065,Unlabeled 2065,Unlabeled 2065,Unlabeled 2066,Unlabeled 2066,Unlabeled 2066,Unlabeled 2067,Unlabeled 2067,Unlabeled 2067,Unlabeled 2068,Unlabeled 2068,Unlabeled 2068,Unlabeled 2069,Unlabeled 2069,Unlabeled 2069,Unlabeled 2070,Unlabeled 2070,Unlabeled 2070,Unlabeled 2071,Unlabeled 2071,Unlabeled 2071,Unlabeled 2072,Unlabeled 2072,Unlabeled 2072,Unlabeled 2073,Unlabeled 2073,Unlabeled 2073,Unlabeled 2074,Unlabeled 2074,Unlabeled 2074,Unlabeled 2076,Unlabeled 2076,Unlabeled 2076,Unlabeled 2077,Unlabeled 2077,Unlabeled 2077,Unlabeled 2078,Unlabeled 2078,Unlabeled 2078,Unlabeled 2079,Unlabeled 2079,Unlabeled 2079,Unlabeled 2080,Unlabeled 2080,Unlabeled 2080,Unlabeled 2081,Unlabeled 2081,Unlabeled 2081,Unlabeled 2082,Unlabeled 2082,Unlabeled 2082,Unlabeled 2083,Unlabeled 2083,Unlabeled 2083,Unlabeled 2084,Unlabeled 2084,Unlabeled 2084,Unlabeled 2085,Unlabeled 2085,Unlabeled 2085,Unlabeled 2086,Unlabeled 2086,Unlabeled 2086,Unlabeled 2088,Unlabeled 2088,Unlabeled 2088,Unlabeled 2089,Unlabeled 2089,Unlabeled 2089,Unlabeled 2090,Unlabeled 2090,Unlabeled 2090,Unlabeled 2091,Unlabeled 2091,Unlabeled 2091,Unlabeled 2092,Unlabeled 2092,Unlabeled 2092,Unlabeled 2093,Unlabeled 2093,Unlabeled 2093,Unlabeled 2095,Unlabeled 2095,Unlabeled 2095,Unlabeled 2096,Unlabeled 2096,Unlabeled 2096,Unlabeled 2097,Unlabeled 2097,Unlabeled 2097,Unlabeled 2098,Unlabeled 2098,Unlabeled 2098,Unlabeled 2099,Unlabeled 2099,Unlabeled 2099,Unlabeled 2100,Unlabeled 2100,Unlabeled 2100,Unlabeled 2101,Unlabeled 2101,Unlabeled 2101,Unlabeled 2103,Unlabeled 2103,Unlabeled 2103,Unlabeled 2105,Unlabeled 2105,Unlabeled 2105,Unlabeled 2106,Unlabeled 2106,Unlabeled 2106,Unlabeled 2107,Unlabeled 2107,Unlabeled 2107
,ID,"C7C00","C7C00","C7C00","C7BE0","C7BE0","C7BE0","C7C10","C7C10","C7C10","C7BD0","C7BD0","C7BD0","C7C40","C7C40","C7C40","C7C50","C7C50","C7C50","C7C80","C7C80","C7C80","C7C90","C7C90","C7C90","C7CA0","C7CA0","C7CA0","C7C70","C7C70","C7C70","C7CB0","C7CB0","C7CB0","C7C60","C7C60","C7C60","C7CD0","C7CD0","C7CD0","C7CE0","C7CE0","C7CE0","C7D00","C7D00","C7D00","C7D10","C7D10","C7D10","C7CF0","C7CF0","C7CF0","C7D30","C7D30","C7D30","C7D60","C7D60","C7D60","C7D40","C7D40","C7D40","C7DA0","C7DA0","C7DA0","C7DB0","C7DB0","C7DB0","C7DC0","C7DC0","C7DC0","C7D90","C7D90","C7D90","C7DE0","C7DE0","C7DE0","C7DF0","C7DF0","C7DF0","C7E00","C7E00","C7E00","C7E20","C7E20","C7E20","C7E30","C7E30","C7E30","C7E10","C7E10","C7E10","C7E40","C7E40","C7E40","C7E60","C7E60","C7E60","C7E50","C7E50","C7E50","C7E70","C7E70","C7E70","C7E80","C7E80","C7E80","C7EB0","C7EB0","C7EB0","C7EA0","C7EA0","C7EA0","C7EC0","C7EC0","C7EC0","C7EE0","C7EE0","C7EE0","C7ED0","C7ED0","C7ED0","C7A30","C7A30","C7A30","C7F10","C7F10","C7F10","C7F00","C7F00","C7F00","C7F60","C7F60","C7F60","C7F70","C7F70","C7F70","C7F30","C7F30","C7F30","C7FA0","C7FA0","C7FA0","C7F80","C7F80","C7F80","C7FF0","C7FF0","C7FF0","C7FD0","C7FD0","C7FD0","C8000","C8000","C8000","C8010","C8010","C8010","C8030","C8030","C8030","C8020","C8020","C8020","C8050","C8050","C8050","C8070","C8070","C8070","C8090","C8090","C8090","C8080","C8080","C8080","C80A0","C80A0","C80A0","C80C0","C80C0","C80C0","C80B0","C80B0","C80B0","C8060","C8060","C8060","C80F0","C80F0","C80F0","C80D0","C80D0","C80D0","C80E0","C80E0","C80E0","C8100","C8100","C8100","C8120","C8120","C8120","C8110","C8110","C8110","C8140","C8140","C8140","C8130","C8130","C8130","C8160","C8160","C8160","C8180","C8180","C8180","C8190","C8190","C8190","C8150","C8150","C8150","C81A0","C81A0","C81A0","C81B0","C81B0","C81B0","C81D0","C81D0","C81D0","C81E0","C81E0","C81E0","C81C0","C81C0","C81C0","C8210","C8210","C8210","C8200","C8200","C8200","C81F0","C81F0","C81F0","C8220","C8220","C8220","C8250","C8250","C8250","C8240","C8240","C8240","C8280","C8280","C8280","C8270","C8270","C8270","C8290","C8290","C8290","C82B0","C82B0","C82B0","C82A0","C82A0","C82A0","C7FC0","C7FC0","C7FC0","C82C0","C82C0","C82C0","C82D0","C82D0","C82D0","C82E0","C82E0","C82E0","C8300","C8300","C8300","C8330","C8330","C8330","C8320","C8320","C8320","C82F0","C82F0","C82F0","C8350","C8350","C8350","C8360","C8360","C8360","C83A0","C83A0","C83A0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.061678,0.052292,2.792864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,0.061673,0.052282,2.792904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,0.061660,0.052250,2.792836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,0.061674,0.052210,2.792960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,0.061672,0.052169,2.792902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,0.061685,0.052175,2.792976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
