Format Version,1.23,Take Name,Take 2024-04-09 12.07.59 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-09 12.07.59.994 PM,Capture Start Frame,129799,Total Frames in Take,8895,Total Exported Frames,8895,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Uncalibrated Probe,Uncalibrated Probe,Uncalibrated Probe,Uncalibrated Probe,Uncalibrated Probe,Uncalibrated Probe,Uncalibrated Probe,Uncalibrated Probe,"Uncalibrated Probe:Marker1","Uncalibrated Probe:Marker1","Uncalibrated Probe:Marker1","Uncalibrated Probe:Marker1","Uncalibrated Probe:Marker2","Uncalibrated Probe:Marker2","Uncalibrated Probe:Marker2","Uncalibrated Probe:Marker2","Uncalibrated Probe:Marker3","Uncalibrated Probe:Marker3","Uncalibrated Probe:Marker3","Uncalibrated Probe:Marker3","Uncalibrated Probe:Marker4","Uncalibrated Probe:Marker4","Uncalibrated Probe:Marker4","Uncalibrated Probe:Marker4",Unlabeled 1237,Unlabeled 1237,Unlabeled 1237,Unlabeled 1238,Unlabeled 1238,Unlabeled 1238,Unlabeled 1239,Unlabeled 1239,Unlabeled 1239,Unlabeled 1240,Unlabeled 1240,Unlabeled 1240,Unlabeled 1241,Unlabeled 1241,Unlabeled 1241,Unlabeled 1242,Unlabeled 1242,Unlabeled 1242
,ID,"BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","C5050","C5050","C5050","C5060","C5060","C5060","C50A0","C50A0","C50A0","C5130","C5130","C5130","C5140","C5140","C5140","C5150","C5150","C5150"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,0.525697,0.111547,0.094946,0.451413,0.239097,0.212945,-0.035546,0.011897,0.156609,0.140603,0.025326,0.121610,0.299544,0.070210,0.071965,,,
1,0.008333,,,,,,,,,,,,,,,,,,,,,,,,,0.525628,0.111544,0.094919,0.451365,0.239094,0.212885,-0.035549,0.011894,0.156610,0.140627,0.025314,0.121619,0.299528,0.070207,0.071968,,,
2,0.016667,,,,,,,,,,,,,,,,,,,,,,,,,0.525678,0.111534,0.094903,0.451294,0.239110,0.212803,-0.035546,0.011891,0.156611,0.140600,0.025315,0.121617,0.299538,0.070205,0.071979,,,
3,0.025000,,,,,,,,,,,,,,,,,,,,,,,,,0.525629,0.111536,0.094883,0.451272,0.239118,0.212745,-0.035559,0.011894,0.156602,0.140605,0.025311,0.121622,0.299560,0.070205,0.071983,,,
4,0.033333,,,,,,,,,,,,,,,,,,,,,,,,,0.525550,0.111549,0.094858,0.451213,0.239144,0.212680,-0.035551,0.011892,0.156607,0.140602,0.025312,0.121626,0.299532,0.070209,0.071977,,,
5,0.041667,,,,,,,,,,,,,,,,,,,,,,,,,0.525611,0.111556,0.094866,0.451188,0.239163,0.212643,-0.035551,0.011899,0.156603,0.140601,0.025320,0.121634,0.299557,0.070210,0.071981,,,
