Format Version,1.23,Take Name,Take 2024-04-09 12.12.31 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-09 12.12.31.309 PM,Capture Start Frame,162361,Total Frames in Take,11598,Total Exported Frames,11598,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Uncalibrated Probe,Uncalibrated Probe,Uncalibrated Probe,Uncalibrated Probe,Uncalibrated Probe,Uncalibrated Probe,Uncalibrated Probe,Uncalibrated Probe,"Uncalibrated Probe:Marker1","Uncalibrated Probe:Marker1","Uncalibrated Probe:Marker1","Uncalibrated Probe:Marker1","Uncalibrated Probe:Marker2","Uncalibrated Probe:Marker2","Uncalibrated Probe:Marker2","Uncalibrated Probe:Marker2","Uncalibrated Probe:Marker3","Uncalibrated Probe:Marker3","Uncalibrated Probe:Marker3","Uncalibrated Probe:Marker3","Uncalibrated Probe:Marker4","Uncalibrated Probe:Marker4","Uncalibrated Probe:Marker4","Uncalibrated Probe:Marker4",Unlabeled 1251,Unlabeled 1251,Unlabeled 1251,Unlabeled 1252,Unlabeled 1252,Unlabeled 1252,Unlabeled 1253,Unlabeled 1253,Unlabeled 1253,Unlabeled 1254,Unlabeled 1254,Unlabeled 1254,Unlabeled 1255,Unlabeled 1255,Unlabeled 1255
,ID,"BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","BA338493F10A11EEFEB2661D8009AA9","C52E0","C52E0","C52E0","C5320","C5320","C5320","C5330","C5330","C5330","C5350","C5350","C5350","C5360","C5360","C5360"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,0.445950,0.223987,0.223427,0.518414,0.113944,0.117541,-0.004154,0.013370,0.116885,0.299544,0.068499,0.081109,0.142013,0.024561,0.128612
1,0.008333,,,,,,,,,,,,,,,,,,,,,,,,,0.445936,0.223948,0.223410,0.518317,0.113907,0.117520,-0.004148,0.013357,0.116886,0.299578,0.068464,0.081095,0.142054,0.024533,0.128692
2,0.016667,,,,,,,,,,,,,,,,,,,,,,,,,0.445986,0.223854,0.223428,0.518382,0.113807,0.117541,-0.004149,0.013311,0.116883,0.299588,0.068392,0.081091,0.142105,0.024467,0.128762
3,0.025000,,,,,,,,,,,,,,,,,,,,,,,,,0.445933,0.223783,0.223416,0.518395,0.113748,0.117554,-0.004121,0.013263,0.116887,0.299589,0.068351,0.081101,0.142125,0.024430,0.128819
4,0.033333,,,,,,,,,,,,,,,,,,,,,,,,,0.445913,0.223791,0.223407,0.518368,0.113764,0.117550,-0.004134,0.013282,0.116873,0.299580,0.068372,0.081093,0.142148,0.024433,0.128862
5,0.041667,,,,,,,,,,,,,,,,,,,,,,,,,0.445883,0.223850,0.223398,0.518400,0.113836,0.117553,-0.004124,0.013324,0.116858,0.299587,0.068416,0.081097,0.142155,0.024470,0.128877
6,0.050000,,,,,,,,,,,,,,,,,,,,,,,,,0.445836,0.223895,0.223384,0.518412,0.113876,0.117553,-0.004107,0.013345,0.116849,0.299606,0.068455,0.081109,0.142144,0.024497,0.128878
7,0.058333,,,,,,,,,,,,,,,,,,,,,,,,,0.445864,0.223883,0.223391,0.518311,0.113882,0.117529,-0.004097,0.013335,0.116829,0.299583,0.068456,0.081105,0.142153,0.024483,0.128867
8,0.066667,,,,,,,,,,,,,,,,,,,,,,,,,0.445825,0.223846,0.223374,0.518392,0.113831,0.117529,-0.004082,0.013312,0.116802,0.299564,0.068421,0.081093,0.142120,0.024458,0.128834
9,0.075000,,,,,,,,,,,,,,,,,,,,,,,,,0.445810,0.223796,0.223361,0.518345,0.113788,0.117514,-0.004056,0.013280,0.116777,0.299559,0.068383,0.081089,0.142096,0.024432,0.128798
10,0.083333,,,,,,,,,,,,,,,,,,,,,,,,,0.445810,0.223786,0.223351,0.518361,0.113776,0.117498,-0.004028,0.013269,0.116748,0.299561,0.068384,0.081093,0.142086,0.024433,0.128782
11,0.091667,,,,,,,,,,,,,,,,,,,,,,,,,0.445776,0.223800,0.223321,0.518382,0.113798,0.117484,-0.004023,0.013285,0.116713,0.299601,0.068396,0.081102,0.142083,0.024448,0.128769
12,0.100000,,,,,,,,,,,,,,,,,,,,,,,,,0.445842,0.223809,0.223326,0.518342,0.113831,0.117465,-0.004020,0.013301,0.116670,0.299572,0.068426,0.081105,0.142066,0.024469,0.128748
