Format Version,1.23,Take Name,Lab7- Task 1_Take5_Sub 3,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-16 11.14.56.649 AM,Capture Start Frame,321256,Total Frames in Take,4641,Total Exported Frames,4641,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1038,Unlabeled 1038,Unlabeled 1038,Unlabeled 1039,Unlabeled 1039,Unlabeled 1039,Unlabeled 1040,Unlabeled 1040,Unlabeled 1040
,ID,"C6FB0","C6FB0","C6FB0","C7120","C7120","C7120","C7130","C7130","C7130"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.081980,0.018090,0.001790,0.128143,0.044122,-0.021002,0.104058,0.064362,-0.156710
1,0.008333,0.081999,0.018069,0.001747,0.128154,0.044118,-0.020990,0.104077,0.064342,-0.156769
2,0.016667,0.081996,0.018081,0.001793,0.128161,0.044119,-0.020960,0.104082,0.064345,-0.156731
3,0.025000,0.082001,0.018090,0.001817,0.128170,0.044133,-0.020966,0.104096,0.064345,-0.156742
4,0.033333,0.082014,0.018090,0.001801,0.128189,0.044124,-0.020989,0.104106,0.064352,-0.156745
5,0.041667,0.082028,0.018105,0.001822,0.128203,0.044130,-0.020961,0.104127,0.064357,-0.156738
6,0.050000,0.082032,0.018099,0.001827,0.128199,0.044148,-0.020872,0.104140,0.064362,-0.156707
7,0.058333,0.082042,0.018101,0.001789,0.128203,0.044148,-0.020886,0.104148,0.064350,-0.156750
8,0.066667,0.082036,0.018111,0.001810,0.128210,0.044146,-0.020924,0.104165,0.064335,-0.156815
9,0.075000,0.082052,0.018105,0.001750,0.128214,0.044136,-0.020948,0.104172,0.064349,-0.156763
10,0.083333,0.082053,0.018099,0.001749,0.128211,0.044138,-0.020965,0.104183,0.064347,-0.156790
11,0.091667,0.082043,0.018114,0.001773,0.128206,0.044138,-0.020986,0.104185,0.064362,-0.156758
12,0.100000,0.082031,0.018105,0.001724,0.128193,0.044131,-0.020997,0.104191,0.064361,-0.156804
13,0.108333,0.082019,0.018118,0.001737,0.128183,0.044144,-0.020994,0.104195,0.064348,-0.156841
14,0.116667,0.082015,0.018128,0.001746,0.128193,0.044146,-0.021030,0.104190,0.064357,-0.156775
15,0.125000,0.082012,0.018130,0.001738,0.128200,0.044158,-0.021031,0.104194,0.064356,-0.156763
16,0.133333,0.082008,0.018134,0.001687,0.128192,0.044183,-0.021016,0.104207,0.064339,-0.156811
17,0.141667,0.081986,0.018146,0.001666,0.128198,0.044179,-0.021070,0.104222,0.064344,-0.156826
18,0.150000,0.081965,0.018181,0.001731,0.128188,0.044212,-0.020958,0.104234,0.064345,-0.156783
19,0.158333,0.081946,0.018210,0.001707,0.128198,0.044213,-0.021017,0.104250,0.064343,-0.156816
20,0.166667,0.081937,0.018231,0.001724,0.128211,0.044232,-0.020983,0.104273,0.064348,-0.156798
21,0.175000,0.081932,0.018239,0.001723,0.128205,0.044253,-0.020937,0.104288,0.064341,-0.156771
22,0.183333,0.081911,0.018240,0.001739,0.128200,0.044242,-0.020949,0.104306,0.064336,-0.156745
23,0.191667,0.081896,0.018227,0.001680,0.128192,0.044225,-0.020948,0.104325,0.064337,-0.156708
