Format Version,1.23,Take Name,Lab7- Task 1_Take3,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-16 11.08.07.412 AM,Capture Start Frame,272144,Total Frames in Take,4572,Total Exported Frames,4572,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1026,Unlabeled 1026,Unlabeled 1026,Unlabeled 1027,Unlabeled 1027,Unlabeled 1027,Unlabeled 1028,Unlabeled 1028,Unlabeled 1028
,ID,"C6BB0","C6BB0","C6BB0","C6BD0","C6BD0","C6BD0","C6C20","C6C20","C6C20"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.057091,0.016182,-0.067601,0.133401,0.019580,-0.087698,0.141870,0.056560,-0.214557
1,0.008333,0.057241,0.016173,-0.067582,0.133556,0.019582,-0.087679,0.141993,0.056564,-0.214280
2,0.016667,0.057349,0.016176,-0.067534,0.133641,0.019593,-0.087690,0.142060,0.056605,-0.213942
3,0.025000,0.057428,0.016170,-0.067494,0.133672,0.019602,-0.087737,0.142075,0.056655,-0.213690
4,0.033333,0.057499,0.016144,-0.067535,0.133700,0.019590,-0.087821,0.142054,0.056707,-0.213536
5,0.041667,0.057555,0.016127,-0.067488,0.133720,0.019580,-0.087830,0.141970,0.056766,-0.213345
6,0.050000,0.057560,0.016121,-0.067427,0.133705,0.019589,-0.087823,0.141843,0.056839,-0.213201
7,0.058333,0.057513,0.016104,-0.067521,0.133640,0.019593,-0.087868,0.141645,0.056918,-0.213170
8,0.066667,0.057458,0.016116,-0.067538,0.133575,0.019610,-0.087834,0.141395,0.057043,-0.212884
9,0.075000,0.057423,0.016144,-0.067457,0.133545,0.019600,-0.087857,0.141183,0.057136,-0.212667
10,0.083333,0.057406,0.016104,-0.067535,0.133523,0.019570,-0.087885,0.140992,0.057215,-0.212494
11,0.091667,0.057346,0.016117,-0.067475,0.133465,0.019561,-0.087846,0.140751,0.057310,-0.212259
12,0.100000,0.057234,0.016118,-0.067440,0.133399,0.019541,-0.087844,0.140501,0.057421,-0.211893
13,0.108333,0.057156,0.016123,-0.067326,0.133375,0.019511,-0.087791,0.140331,0.057481,-0.211699
14,0.116667,0.057130,0.016111,-0.067300,0.133384,0.019470,-0.087766,0.140215,0.057565,-0.211296
15,0.125000,0.057105,0.016127,-0.067173,0.133366,0.019455,-0.087662,0.140142,0.057590,-0.211103
16,0.133333,0.057043,0.016160,-0.067074,0.133353,0.019439,-0.087627,0.140048,0.057669,-0.210683
17,0.141667,0.056962,0.016225,-0.066900,0.133349,0.019438,-0.087559,0.139981,0.057689,-0.210417
18,0.150000,0.056924,0.016222,-0.066863,0.133351,0.019409,-0.087531,0.139950,0.057707,-0.210120
19,0.158333,0.056884,0.016212,-0.066866,0.133357,0.019418,-0.087397,0.139919,0.057738,-0.209797
20,0.166667,0.056826,0.016237,-0.066768,0.133323,0.019410,-0.087297,0.139887,0.057749,-0.209570
21,0.175000,0.056747,0.016218,-0.066786,0.133284,0.019409,-0.087240,0.139824,0.057797,-0.209283
22,0.183333,0.056700,0.016186,-0.066831,0.133254,0.019398,-0.087206,0.139762,0.057837,-0.209070
23,0.191667,0.056690,0.016172,-0.066795,0.133248,0.019405,-0.087140,0.139666,0.057905,-0.208802
24,0.200000,0.056705,0.016141,-0.066827,0.133242,0.019407,-0.087120,0.139546,0.057967,-0.208627
25,0.208333,0.056687,0.016121,-0.066784,0.133201,0.019414,-0.087039,0.139392,0.058036,-0.208356
26,0.216667,0.056672,0.016113,-0.066702,0.133185,0.019389,-0.087023,0.139212,0.058115,-0.208105
27,0.225000,0.056674,0.016058,-0.066690,0.133183,0.019366,-0.087052,0.139009,0.058177,-0.207857
