Format Version,1.23,Take Name,Lab7- Task 2_Take1_Sub 1_002,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-16 11.21.45.505 AM,Capture Start Frame,370323,Total Frames in Take,4920,Total Exported Frames,4920,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1047,Unlabeled 1047,Unlabeled 1047,Unlabeled 1048,Unlabeled 1048,Unlabeled 1048,Unlabeled 1049,Unlabeled 1049,Unlabeled 1049,Unlabeled 1050,Unlabeled 1050,Unlabeled 1050
,ID,"C7290","C7290","C7290","C73E0","C73E0","C73E0","C7460","C7460","C7460","C7480","C7480","C7480"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.171999,0.018697,-0.147778,0.101112,0.013016,-0.095701,0.113940,0.057623,-0.269428,,,
1,0.008333,0.171967,0.018726,-0.147699,0.101091,0.013033,-0.095650,0.113931,0.057614,-0.269473,,,
2,0.016667,0.171975,0.018717,-0.147708,0.101103,0.013017,-0.095695,0.113939,0.057611,-0.269508,,,
3,0.025000,0.171975,0.018719,-0.147687,0.101106,0.013016,-0.095670,0.113930,0.057617,-0.269463,,,
4,0.033333,0.171972,0.018722,-0.147696,0.101107,0.013013,-0.095699,0.113904,0.057611,-0.269445,,,
5,0.041667,0.171978,0.018714,-0.147770,0.101091,0.013016,-0.095674,0.113895,0.057602,-0.269479,,,
6,0.050000,0.171993,0.018733,-0.147765,0.101104,0.013029,-0.095665,0.113898,0.057605,-0.269475,,,
7,0.058333,0.172015,0.018741,-0.147755,0.101111,0.013045,-0.095643,0.113924,0.057604,-0.269505,,,
8,0.066667,0.172025,0.018744,-0.147740,0.101130,0.013043,-0.095654,0.113937,0.057614,-0.269517,,,
9,0.075000,0.172007,0.018754,-0.147739,0.101115,0.013056,-0.095662,0.113918,0.057630,-0.269452,,,
10,0.083333,0.171987,0.018751,-0.147769,0.101090,0.013052,-0.095676,0.113887,0.057631,-0.269471,,,
11,0.091667,0.171980,0.018754,-0.147787,0.101075,0.013066,-0.095624,0.113883,0.057638,-0.269462,,,
12,0.100000,0.172003,0.018722,-0.147814,0.101099,0.013043,-0.095678,0.113893,0.057639,-0.269449,,,
13,0.108333,0.171987,0.018734,-0.147738,0.101103,0.013035,-0.095657,0.113905,0.057615,-0.269484,,,
14,0.116667,0.171957,0.018738,-0.147685,0.101094,0.013016,-0.095687,0.113877,0.057624,-0.269393,,,
15,0.125000,0.171958,0.018716,-0.147812,0.101074,0.013035,-0.095653,0.113871,0.057614,-0.269493,,,
16,0.133333,0.171958,0.018738,-0.147742,0.101079,0.013053,-0.095635,0.113878,0.057636,-0.269459,,,
17,0.141667,0.171991,0.018762,-0.147737,0.101115,0.013043,-0.095708,0.113900,0.057641,-0.269505,,,
18,0.150000,0.172005,0.018766,-0.147791,0.101126,0.013052,-0.095683,0.113903,0.057649,-0.269520,,,
19,0.158333,0.171989,0.018773,-0.147783,0.101104,0.013061,-0.095669,0.113858,0.057653,-0.269477,,,
20,0.166667,0.171958,0.018788,-0.147746,0.101088,0.013045,-0.095732,0.113829,0.057626,-0.269534,,,
21,0.175000,0.171965,0.018750,-0.147823,0.101079,0.013045,-0.095682,0.113823,0.057611,-0.269552,,,
22,0.183333,0.171970,0.018745,-0.147792,0.101095,0.013030,-0.095705,0.113816,0.057627,-0.269454,,,
23,0.191667,0.171968,0.018763,-0.147778,0.101082,0.013058,-0.095643,0.113816,0.057631,-0.269510,,,
24,0.200000,0.171955,0.018782,-0.147796,0.101072,0.013066,-0.095658,0.113792,0.057659,-0.269464,,,
25,0.208333,0.171957,0.018782,-0.147819,0.101061,0.013096,-0.095628,0.113787,0.057658,-0.269550,,,
26,0.216667,0.171976,0.018789,-0.147809,0.101081,0.013087,-0.095669,0.113799,0.057663,-0.269536,,,
27,0.225000,0.172004,0.018775,-0.147849,0.101112,0.013067,-0.095709,0.113826,0.057654,-0.269534,,,
28,0.233333,0.172008,0.018774,-0.147810,0.101121,0.013054,-0.095722,0.113829,0.057647,-0.269535,,,
