Format Version,1.23,Take Name,Lab7- Task 2_Take1_Sub 2_002,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-16 11.24.50.300 AM,Capture Start Frame,392500,Total Frames in Take,4662,Total Exported Frames,4662,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1054,Unlabeled 1054,Unlabeled 1054,Unlabeled 1055,Unlabeled 1055,Unlabeled 1055,Unlabeled 1056,Unlabeled 1056,Unlabeled 1056
,ID,"C7710","C7710","C7710","C77B0","C77B0","C77B0","C77C0","C77C0","C77C0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.147867,0.019310,-0.121392,0.099689,0.011643,-0.083307,0.116164,0.057754,-0.248816
1,0.008333,0.147854,0.019308,-0.121412,0.099686,0.011634,-0.083318,0.116161,0.057737,-0.248915
2,0.016667,0.147863,0.019306,-0.121440,0.099699,0.011664,-0.083277,0.116168,0.057754,-0.248883
3,0.025000,0.147857,0.019324,-0.121420,0.099703,0.011663,-0.083326,0.116171,0.057774,-0.248864
4,0.033333,0.147845,0.019334,-0.121401,0.099697,0.011677,-0.083318,0.116180,0.057785,-0.248850
5,0.041667,0.147849,0.019335,-0.121358,0.099708,0.011666,-0.083345,0.116207,0.057749,-0.248914
6,0.050000,0.147871,0.019294,-0.121407,0.099733,0.011646,-0.083373,0.116248,0.057723,-0.248911
7,0.058333,0.147883,0.019276,-0.121397,0.099737,0.011629,-0.083330,0.116290,0.057686,-0.249002
8,0.066667,0.147862,0.019297,-0.121317,0.099732,0.011635,-0.083317,0.116292,0.057702,-0.248937
9,0.075000,0.147856,0.019295,-0.121352,0.099719,0.011649,-0.083304,0.116289,0.057715,-0.248953
10,0.083333,0.147859,0.019312,-0.121388,0.099727,0.011659,-0.083338,0.116281,0.057739,-0.248957
11,0.091667,0.147845,0.019328,-0.121366,0.099716,0.011686,-0.083284,0.116278,0.057765,-0.248944
12,0.100000,0.147825,0.019357,-0.121336,0.099711,0.011687,-0.083310,0.116253,0.057787,-0.248898
13,0.108333,0.147801,0.019338,-0.121387,0.099681,0.011669,-0.083309,0.116220,0.057788,-0.248917
14,0.116667,0.147800,0.019335,-0.121410,0.099663,0.011670,-0.083285,0.116190,0.057793,-0.248903
15,0.125000,0.147800,0.019340,-0.121440,0.099658,0.011662,-0.083314,0.116171,0.057811,-0.248898
16,0.133333,0.147798,0.019348,-0.121458,0.099659,0.011663,-0.083355,0.116149,0.057825,-0.248911
17,0.141667,0.147793,0.019381,-0.121482,0.099642,0.011690,-0.083354,0.116124,0.057870,-0.248883
18,0.150000,0.147780,0.019393,-0.121493,0.099632,0.011700,-0.083385,0.116106,0.057893,-0.248905
19,0.158333,0.147769,0.019412,-0.121490,0.099620,0.011704,-0.083391,0.116099,0.057896,-0.248980
20,0.166667,0.147771,0.019396,-0.121555,0.099612,0.011690,-0.083389,0.116070,0.057925,-0.248927
21,0.175000,0.147756,0.019399,-0.121490,0.099612,0.011686,-0.083417,0.116049,0.057948,-0.248881
22,0.183333,0.147755,0.019387,-0.121524,0.099616,0.011687,-0.083409,0.116033,0.057974,-0.248921
23,0.191667,0.147744,0.019395,-0.121509,0.099609,0.011688,-0.083417,0.115992,0.058062,-0.248854
24,0.200000,0.147751,0.019426,-0.121510,0.099576,0.011697,-0.083442,0.115919,0.058150,-0.248821
25,0.208333,0.147829,0.019524,-0.121417,0.099546,0.011690,-0.083480,0.115826,0.058292,-0.248715
26,0.216667,0.147972,0.019606,-0.121396,0.099496,0.011717,-0.083421,0.115727,0.058425,-0.248690
27,0.225000,0.148163,0.019748,-0.121361,0.099443,0.011769,-0.083307,0.115608,0.058585,-0.248609
28,0.233333,0.148340,0.020006,-0.121293,0.099378,0.011861,-0.083246,0.115445,0.058802,-0.248530
29,0.241667,0.148530,0.020392,-0.121258,0.099311,0.012023,-0.083209,0.115244,0.059075,-0.248402
30,0.250000,0.148703,0.020915,-0.121114,0.099266,0.012392,-0.083090,0.115033,0.059381,-0.248318
31,0.258333,0.148952,0.021559,-0.121065,0.099213,0.012958,-0.082870,0.114803,0.059743,-0.248321
32,0.266667,0.149208,0.022341,-0.120913,0.099138,0.013730,-0.082617,0.114461,0.060264,-0.248049
33,0.275000,0.149437,0.023255,-0.120678,0.098935,0.014651,-0.082181,0.114058,0.060844,-0.247892
34,0.283333,0.149540,0.024282,-0.120335,0.098598,0.015744,-0.081593,0.113474,0.061630,-0.247483
35,0.291667,0.149506,0.025383,-0.119897,0.098000,0.017051,-0.081008,0.112865,0.062495,-0.247350
36,0.300000,0.149287,0.026538,-0.119532,0.097029,0.018691,-0.080160,0.112147,0.063561,-0.246904
37,0.308333,0.148828,0.027932,-0.118824,0.095655,0.020683,-0.079076,0.111386,0.064699,-0.246373
38,0.316667,0.148164,0.029483,-0.117862,0.094080,0.022804,-0.078022,0.110479,0.065973,-0.245635
39,0.325000,0.147440,0.031209,-0.116912,0.092482,0.024997,-0.076784,0.109463,0.067301,-0.244987
40,0.333333,0.146638,0.033148,-0.115770,0.090844,0.027282,-0.075317,0.108385,0.068776,-0.243924
41,0.341667,0.145837,0.035249,-0.114443,0.089042,0.029576,-0.073824,0.107475,0.070277,-0.243063
42,0.350000,0.145096,0.037402,-0.112958,0.086876,0.031945,-0.072103,0.106568,0.071828,-0.241895
43,0.358333,0.144409,0.039507,-0.111281,0.084597,0.034422,-0.070403,0.105638,0.073398,-0.240551
44,0.366667,0.143620,0.041267,-0.109720,0.082452,0.036999,-0.068816,0.104595,0.075130,-0.238671
45,0.375000,0.142596,0.042929,-0.107483,0.080242,0.039818,-0.066531,0.103773,0.076850,-0.237133
46,0.383333,0.141849,0.044540,-0.105529,0.078163,0.042603,-0.064292,0.102939,0.078720,-0.234945
47,0.391667,0.141127,0.046357,-0.103135,0.076201,0.045238,-0.062041,0.102159,0.080631,-0.232604
48,0.400000,0.140319,0.048352,-0.100267,0.074230,0.047759,-0.059376,0.101475,0.082560,-0.230300
49,0.408333,0.139676,0.050347,-0.097779,0.072313,0.050171,-0.056561,0.100750,0.084546,-0.227478
50,0.416667,0.138950,0.052535,-0.094766,0.070537,0.052489,-0.053926,0.100152,0.086496,-0.224806
51,0.425000,0.138192,0.054864,-0.091472,0.068823,0.054862,-0.051016,0.099541,0.088405,-0.222009
52,0.433333,0.137592,0.057172,-0.088388,0.067145,0.057244,-0.048055,0.098866,0.090369,-0.218723
53,0.441667,0.137081,0.059453,-0.085187,0.065504,0.059590,-0.044929,0.098266,0.092281,-0.215550
54,0.450000,0.136624,0.061727,-0.081550,0.063962,0.061843,-0.041480,0.097770,0.094157,-0.212355
55,0.458333,0.136301,0.063904,-0.077920,0.062492,0.063873,-0.038030,0.097277,0.096066,-0.208614
56,0.466667,0.136037,0.065949,-0.074218,0.061043,0.065731,-0.034419,0.096790,0.097953,-0.204586
57,0.475000,0.135721,0.067929,-0.070244,0.059550,0.067446,-0.030655,0.096337,0.099753,-0.200636
58,0.483333,0.135327,0.069773,-0.065980,0.058057,0.068984,-0.027019,0.095982,0.101476,-0.196906
59,0.491667,0.134971,0.071431,-0.061809,0.056582,0.070499,-0.023051,0.095669,0.103145,-0.192965
60,0.500000,0.134586,0.072935,-0.057396,0.055191,0.071983,-0.019067,0.095350,0.104867,-0.188585
61,0.508333,0.134143,0.074373,-0.052813,0.053853,0.073422,-0.014943,0.095016,0.106480,-0.184318
62,0.516667,0.133696,0.075694,-0.048185,0.052542,0.074818,-0.010669,0.094696,0.108063,-0.179935
63,0.525000,0.133284,0.076929,-0.043579,0.051191,0.076184,-0.006366,0.094334,0.109601,-0.175255
64,0.533333,0.132912,0.078196,-0.038899,0.049756,0.077599,-0.002078,0.094016,0.111074,-0.170678
65,0.541667,0.132479,0.079569,-0.033989,0.048127,0.079031,0.002168,0.093742,0.112478,-0.165851
66,0.550000,0.132014,0.081037,-0.029104,0.046401,0.080446,0.006414,0.093551,0.113818,-0.161290
67,0.558333,0.131527,0.082491,-0.024126,0.044665,0.081821,0.010837,0.093322,0.115139,-0.156335
68,0.566667,0.131056,0.083871,-0.019196,0.043014,0.083073,0.015187,0.093107,0.116333,-0.151586
69,0.575000,0.130667,0.085187,-0.014256,0.041506,0.084242,0.019664,0.092907,0.117486,-0.146716
70,0.583333,0.130359,0.086406,-0.009325,0.040089,0.085320,0.024067,0.092732,0.118637,-0.141975
71,0.591667,0.130099,0.087532,-0.004323,0.038671,0.086328,0.028492,0.092569,0.119732,-0.137017
72,0.600000,0.129911,0.088571,0.000663,0.037228,0.087284,0.033054,0.092422,0.120768,-0.132093
73,0.608333,0.129765,0.089468,0.005521,0.035789,0.088074,0.037396,0.092302,0.121733,-0.127299
74,0.616667,0.129602,0.090273,0.010380,0.034373,0.088770,0.041935,0.092199,0.122655,-0.122438
75,0.625000,0.129418,0.090943,0.015216,0.033046,0.089283,0.046388,0.092106,0.123486,-0.117620
76,0.633333,0.129147,0.091509,0.020187,0.031795,0.089617,0.050896,0.091986,0.124180,-0.112930
77,0.641667,0.128849,0.091947,0.025148,0.030553,0.089609,0.055140,0.091859,0.124788,-0.108217
78,0.650000,0.128557,0.092291,0.029988,0.029210,0.089349,0.059273,0.091759,0.125304,-0.103496
79,0.658333,0.128321,0.092526,0.034785,0.027819,0.088845,0.063345,0.091709,0.125807,-0.098659
80,0.666667,0.128196,0.092612,0.039401,0.026467,0.088121,0.067271,0.091739,0.126228,-0.093899
81,0.675000,0.128124,0.092449,0.043849,0.025163,0.087154,0.071006,0.091835,0.126554,-0.089379
82,0.683333,0.127997,0.092126,0.048389,0.023911,0.086091,0.074844,0.091910,0.126771,-0.084994
83,0.691667,0.127827,0.091569,0.052836,0.022761,0.084867,0.078523,0.091971,0.126832,-0.080781
84,0.700000,0.127593,0.090810,0.057234,0.021686,0.083557,0.082070,0.091983,0.126832,-0.076326
85,0.708333,0.127429,0.089787,0.061279,0.020649,0.082178,0.085474,0.092035,0.126640,-0.072156
86,0.716667,0.127268,0.088621,0.065333,0.019561,0.080846,0.088959,0.092069,0.126354,-0.067939
87,0.725000,0.127027,0.087307,0.069389,0.018416,0.079457,0.092282,0.092121,0.125943,-0.063785
88,0.733333,0.126705,0.085810,0.073307,0.017129,0.077966,0.095409,0.092176,0.125438,-0.059706
89,0.741667,0.126341,0.084098,0.077107,0.015768,0.076414,0.098417,0.092325,0.124799,-0.056136
90,0.750000,0.125969,0.082222,0.080796,0.014442,0.074759,0.101289,0.092385,0.124097,-0.052167
