Format Version,1.23,Take Name,Lab7- Task 1_Take5_Sub 2,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-16 11.12.06.116 AM,Capture Start Frame,300791,Total Frames in Take,5108,Total Exported Frames,5108,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1032,Unlabeled 1032,Unlabeled 1032,Unlabeled 1033,Unlabeled 1033,Unlabeled 1033,Unlabeled 1034,Unlabeled 1034,Unlabeled 1034
,ID,"C6C60","C6C60","C6C60","C6F50","C6F50","C6F50","C6F90","C6F90","C6F90"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.162680,0.021539,-0.124557,0.089068,0.028766,-0.085255,0.147440,0.061598,-0.244868
1,0.008333,0.162756,0.021516,-0.124594,0.089126,0.028749,-0.085273,0.147488,0.061615,-0.244863
2,0.016667,0.162834,0.021489,-0.124677,0.089173,0.028755,-0.085241,0.147519,0.061607,-0.244911
3,0.025000,0.162852,0.021508,-0.124625,0.089204,0.028715,-0.085326,0.147513,0.061592,-0.244906
4,0.033333,0.162887,0.021485,-0.124734,0.089210,0.028704,-0.085337,0.147506,0.061573,-0.244958
5,0.041667,0.162945,0.021466,-0.124812,0.089232,0.028730,-0.085303,0.147511,0.061567,-0.244945
6,0.050000,0.163001,0.021471,-0.124810,0.089265,0.028734,-0.085387,0.147559,0.061543,-0.245054
7,0.058333,0.163057,0.021461,-0.124844,0.089316,0.028734,-0.085441,0.147592,0.061540,-0.245054
8,0.066667,0.163090,0.021464,-0.124853,0.089362,0.028726,-0.085466,0.147617,0.061537,-0.245067
9,0.075000,0.163155,0.021424,-0.124958,0.089422,0.028703,-0.085461,0.147647,0.061511,-0.245065
10,0.083333,0.163204,0.021413,-0.124907,0.089495,0.028673,-0.085445,0.147699,0.061489,-0.245092
11,0.091667,0.163268,0.021391,-0.124919,0.089559,0.028680,-0.085360,0.147756,0.061471,-0.245066
12,0.100000,0.163302,0.021380,-0.124940,0.089605,0.028668,-0.085391,0.147798,0.061431,-0.245115
13,0.108333,0.163314,0.021371,-0.125010,0.089634,0.028666,-0.085414,0.147805,0.061427,-0.245071
14,0.116667,0.163302,0.021401,-0.124970,0.089645,0.028674,-0.085455,0.147810,0.061407,-0.245101
15,0.125000,0.163291,0.021419,-0.124959,0.089648,0.028673,-0.085465,0.147825,0.061400,-0.245152
