Format Version,1.23,Take Name,Lab7-Task2-Subject3-001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-16 11.28.09.855 AM,Capture Start Frame,416449,Total Frames in Take,4461,Total Exported Frames,4461,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1060,Unlabeled 1060,Unlabeled 1060,Unlabeled 1061,Unlabeled 1061,Unlabeled 1061,Unlabeled 1062,Unlabeled 1062,Unlabeled 1062,Unlabeled 1063,Unlabeled 1063,Unlabeled 1063
,ID,"C7BD0","C7BD0","C7BD0","C7BE0","C7BE0","C7BE0","C7BF0","C7BF0","C7BF0","C7C00","C7C00","C7C00"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.098949,0.010354,-0.094678,0.164965,0.021824,-0.135659,0.109679,0.059873,-0.258167,,,
1,0.008333,0.098300,0.011046,-0.094078,0.164705,0.022304,-0.135126,0.109340,0.060202,-0.257771,,,
2,0.016667,0.097389,0.011692,-0.093491,0.164283,0.022725,-0.134477,0.108860,0.060685,-0.257046,,,
3,0.025000,0.096202,0.012431,-0.092698,0.163703,0.023138,-0.133673,0.108372,0.061192,-0.256534,,,
4,0.033333,0.094855,0.013362,-0.091779,0.163054,0.023637,-0.132647,0.107801,0.061842,-0.255788,,,
5,0.041667,0.093497,0.014474,-0.090583,0.162400,0.024207,-0.131672,0.107184,0.062550,-0.254985,,,
6,0.050000,0.092147,0.015637,-0.089222,0.161749,0.024920,-0.130636,0.106434,0.063425,-0.253943,,,
7,0.058333,0.090746,0.016750,-0.088020,0.161143,0.025802,-0.129563,0.105688,0.064404,-0.253011,,,
8,0.066667,0.089267,0.017872,-0.086621,0.160564,0.026893,-0.128417,0.104916,0.065449,-0.251956,,,
9,0.075000,0.087783,0.018985,-0.085251,0.160064,0.028199,-0.127253,0.104145,0.066477,-0.251026,,,
10,0.083333,0.086350,0.020155,-0.083828,0.159517,0.029547,-0.125944,0.103350,0.067544,-0.249808,,,
11,0.091667,0.084975,0.021609,-0.082197,0.158742,0.030767,-0.124355,0.102383,0.068641,-0.248510,,,
12,0.100000,0.083536,0.023233,-0.080393,0.157860,0.031840,-0.122918,0.101395,0.069830,-0.247122,,,
13,0.108333,0.081932,0.024960,-0.078541,0.156879,0.033187,-0.121068,0.100490,0.071016,-0.245684,,,
14,0.116667,0.080316,0.026768,-0.076599,0.155979,0.034768,-0.119226,0.099606,0.072203,-0.244192,,,
15,0.125000,0.078783,0.028547,-0.074355,0.155045,0.036436,-0.117302,0.098668,0.073394,-0.242514,,,
16,0.133333,0.077404,0.030294,-0.071984,0.154138,0.038031,-0.115396,0.097849,0.074665,-0.240447,,,
17,0.141667,0.076012,0.032322,-0.068714,0.153146,0.039728,-0.113093,0.097226,0.076062,-0.237894,,,
18,0.150000,0.074599,0.034571,-0.064833,0.152318,0.041434,-0.110936,0.096576,0.077548,-0.235362,,,
19,0.158333,0.073207,0.037082,-0.060780,0.151502,0.043277,-0.108446,0.095800,0.079065,-0.232895,,,
20,0.166667,0.071827,0.039645,-0.057217,0.150668,0.045246,-0.105709,0.094974,0.080656,-0.230194,,,
21,0.175000,0.070421,0.042217,-0.053606,0.149905,0.047200,-0.103146,0.094345,0.082143,-0.227929,,,
22,0.183333,0.069031,0.044485,-0.051073,0.149054,0.049192,-0.100202,0.093768,0.083643,-0.225199,,,
23,0.191667,0.067679,0.046789,-0.047876,0.148209,0.051104,-0.097002,0.093187,0.085093,-0.222193,,,
24,0.200000,0.066347,0.049028,-0.044745,0.147488,0.052816,-0.094136,0.092629,0.086442,-0.219307,,,
25,0.208333,0.064985,0.050958,-0.042424,0.146624,0.054577,-0.090811,0.092048,0.087813,-0.216309,,,
26,0.216667,0.063664,0.053151,-0.038551,0.145744,0.056320,-0.087318,0.091442,0.089276,-0.212847,,,
27,0.225000,0.062372,0.054854,-0.035653,0.144994,0.057937,-0.084138,0.090960,0.090684,-0.209492,,,
28,0.233333,0.061117,0.056637,-0.032593,0.144149,0.059529,-0.080460,0.090571,0.091957,-0.206249,,,
29,0.241667,0.059807,0.058322,-0.028672,0.143285,0.060996,-0.076766,0.090136,0.093165,-0.202833,,,
30,0.250000,0.058468,0.059701,-0.025991,0.142455,0.062265,-0.073241,0.089651,0.094309,-0.199194,,,
31,0.258333,0.057083,0.061267,-0.022261,0.141485,0.063634,-0.069149,0.089112,0.095458,-0.195098,,,
32,0.266667,0.055648,0.062628,-0.019299,0.140625,0.064955,-0.065301,0.088705,0.096505,-0.191379,,,
33,0.275000,0.054208,0.064155,-0.015887,0.139789,0.066287,-0.061460,0.088334,0.097504,-0.187863,,,
34,0.283333,0.052839,0.065633,-0.011645,0.138880,0.067637,-0.057353,0.087905,0.098554,-0.184176,,,
35,0.291667,0.051582,0.066898,-0.008478,0.138038,0.068913,-0.053406,0.087465,0.099527,-0.180420,,,
36,0.300000,0.050451,0.068189,-0.004594,0.137276,0.070141,-0.049349,0.086975,0.100489,-0.176241,,,
37,0.308333,0.049368,0.069198,-0.000878,0.136598,0.071208,-0.045409,0.086572,0.101328,-0.172377,,,
38,0.316667,0.048299,0.070068,0.002197,0.135897,0.072251,-0.041279,0.086247,0.102150,-0.168711,,,
39,0.325000,0.047187,0.070890,0.005611,0.135230,0.073247,-0.037205,0.085957,0.103065,-0.164778,,,
40,0.333333,0.046086,0.071674,0.008789,0.134611,0.074217,-0.033268,0.085731,0.103983,-0.161077,,,
41,0.341667,0.045010,0.072472,0.012280,0.134008,0.075162,-0.029165,0.085548,0.104899,-0.157198,,,
42,0.350000,0.043985,0.073304,0.015891,0.133429,0.076035,-0.025067,0.085370,0.105747,-0.153180,,,
43,0.358333,0.042969,0.074126,0.019334,0.132890,0.076843,-0.021064,0.085181,0.106475,-0.149352,,,
44,0.366667,0.041932,0.074995,0.022739,0.132374,0.077638,-0.016961,0.084992,0.107155,-0.145288,,,
45,0.375000,0.040965,0.075811,0.025827,0.131897,0.078373,-0.012925,0.084869,0.107793,-0.141337,,,
46,0.383333,0.039981,0.076674,0.029005,0.131403,0.079133,-0.008830,0.084814,0.108461,-0.137380,,,
47,0.391667,0.039037,0.077480,0.031991,0.130907,0.079957,-0.004690,0.084770,0.109173,-0.133443,,,
48,0.400000,0.037721,0.077878,0.035073,0.130423,0.080735,-0.000692,0.084710,0.109886,-0.129469,,,
49,0.408333,0.036516,0.078258,0.038147,0.129917,0.081461,0.003434,0.084631,0.110525,-0.125519,,,
50,0.416667,0.035490,0.078711,0.041286,0.129374,0.082064,0.007554,0.084532,0.111083,-0.121569,,,
51,0.425000,0.034457,0.079376,0.044824,0.128817,0.082609,0.011674,0.084414,0.111560,-0.117628,,,
52,0.433333,0.033388,0.080067,0.048558,0.128249,0.083085,0.015763,0.084299,0.112027,-0.113638,,,
53,0.441667,0.032310,0.080710,0.052182,0.127694,0.083487,0.019775,0.084220,0.112483,-0.109711,,,
54,0.450000,0.031202,0.081135,0.055732,0.127127,0.083854,0.023787,0.084138,0.112932,-0.105855,,,
55,0.458333,0.030076,0.081527,0.059410,0.126549,0.084174,0.027831,0.083977,0.113434,-0.101792,,,
56,0.466667,0.028922,0.081895,0.063006,0.125944,0.084383,0.031833,0.083804,0.113901,-0.097825,,,
57,0.475000,0.027772,0.082178,0.066404,0.125384,0.084584,0.035824,0.083669,0.114321,-0.093904,,,
58,0.483333,0.026584,0.082428,0.069789,0.124888,0.084702,0.039710,0.083582,0.114673,-0.090038,,,
59,0.491667,0.025457,0.082726,0.073177,0.124414,0.084941,0.043634,0.083511,0.115002,-0.086378,,,
60,0.500000,0.024345,0.083113,0.076533,0.123950,0.085186,0.047335,0.083378,0.115409,-0.082606,,,
61,0.508333,0.023302,0.083521,0.079654,0.123476,0.085529,0.051026,0.083220,0.115850,-0.079050,,,
62,0.516667,0.022296,0.084005,0.082993,0.123062,0.085903,0.054614,0.083082,0.116313,-0.075426,,,
63,0.525000,0.021339,0.084444,0.086326,0.122706,0.086240,0.058169,0.082984,0.116723,-0.071957,,,
64,0.533333,0.020311,0.084711,0.089480,0.122393,0.086568,0.061760,0.082927,0.117037,-0.068516,,,
65,0.541667,0.019271,0.084902,0.092466,0.122131,0.086794,0.065224,0.082933,0.117253,-0.065246,,,
66,0.550000,0.018289,0.084988,0.095337,0.121936,0.086924,0.068658,0.082997,0.117426,-0.061927,,,
67,0.558333,0.017426,0.085018,0.098165,0.121764,0.087029,0.072081,0.083076,0.117603,-0.058687,,,
68,0.566667,0.016629,0.084997,0.101152,0.121635,0.086971,0.075302,0.083189,0.117805,-0.055322,,,
69,0.575000,0.015957,0.084889,0.104052,0.121500,0.086826,0.078600,0.083313,0.117938,-0.052130,,,
70,0.583333,0.015389,0.084596,0.106884,0.121364,0.086559,0.081775,0.083477,0.118012,-0.048874,,,
71,0.591667,0.014946,0.084112,0.109724,0.121206,0.086172,0.084892,0.083663,0.118046,-0.045691,,,
72,0.600000,0.014591,0.083510,0.112667,0.121083,0.085694,0.088028,0.083918,0.117943,-0.042919,,,
73,0.608333,0.014268,0.082676,0.115429,0.121025,0.085096,0.091002,0.084098,0.117821,-0.039694,,,
74,0.616667,0.013888,0.081766,0.118149,0.120935,0.084422,0.093910,0.084242,0.117687,-0.036665,,,
75,0.625000,0.013428,0.080778,0.120869,0.120800,0.083745,0.096929,0.084404,0.117488,-0.033754,,,
76,0.633333,0.012934,0.079635,0.123343,0.120705,0.082941,0.099732,0.084559,0.117307,-0.030816,,,
77,0.641667,0.012469,0.078357,0.125796,0.120618,0.082019,0.102479,0.084752,0.117003,-0.028103,,,
78,0.650000,0.012033,0.076913,0.128160,0.120526,0.081005,0.105343,0.084944,0.116642,-0.025272,,,
79,0.658333,0.011618,0.075361,0.130587,0.120445,0.079830,0.107983,0.085126,0.116129,-0.022637,,,
80,0.666667,0.011301,0.073579,0.132846,0.120321,0.078523,0.110608,0.085274,0.115588,-0.019911,,,
81,0.675000,0.011004,0.071713,0.135113,0.120188,0.077184,0.113154,0.085431,0.115000,-0.017264,,,
82,0.683333,0.010726,0.069743,0.137286,0.120051,0.075702,0.115593,0.085646,0.114365,-0.014803,,,
83,0.691667,0.010556,0.067617,0.139395,0.119940,0.074213,0.118037,0.085875,0.113740,-0.012229,,,
84,0.700000,0.010452,0.065397,0.141496,0.119831,0.072557,0.120356,0.086075,0.113042,-0.009707,,,
85,0.708333,0.010349,0.063022,0.143379,0.119729,0.070797,0.122739,0.086256,0.112231,-0.007286,,,
86,0.716667,0.010287,0.060548,0.145287,0.119680,0.068855,0.124916,0.086467,0.111317,-0.005061,,,
87,0.725000,0.010359,0.058011,0.147276,0.119692,0.066814,0.127096,0.086690,0.110376,-0.002684,,,
88,0.733333,0.010442,0.055464,0.149232,0.119719,0.064669,0.129077,0.086951,0.109404,-0.000360,,,
89,0.741667,0.010468,0.052953,0.151102,0.119737,0.062503,0.131143,0.087241,0.108405,0.001822,,,
90,0.750000,0.010279,0.050563,0.152958,0.119715,0.060297,0.133086,0.087494,0.107410,0.004165,,,
91,0.758333,0.010143,0.048106,0.154732,0.119666,0.058068,0.135141,0.087802,0.106301,0.006207,,,
92,0.766667,0.010043,0.045624,0.156345,0.119652,0.055714,0.136888,0.088104,0.105187,0.008399,,,
