Format Version,1.23,Take Name,Take 2024-04-16 11.18.04 AM_003,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-16 11.44.28.800 AM,Capture Start Frame,369708,Total Frames in Take,3576,Total Exported Frames,3576,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1311,Unlabeled 1311,Unlabeled 1311,Unlabeled 1312,Unlabeled 1312,Unlabeled 1312,Unlabeled 1313,Unlabeled 1313,Unlabeled 1313
,ID,"CF390","CF390","CF390","CF3A0","CF3A0","CF3A0","CF3B0","CF3B0","CF3B0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.197566,0.004349,0.357814,0.072139,0.070232,0.438810,0.085368,0.011148,0.354213
1,0.008333,0.197581,0.004622,0.357701,0.072415,0.070594,0.439233,0.085583,0.011534,0.354501
2,0.016667,0.197547,0.004969,0.357490,0.072737,0.070932,0.439663,0.085712,0.012003,0.354667
3,0.025000,0.197535,0.005224,0.357335,0.072999,0.071341,0.440012,0.085950,0.012352,0.354992
4,0.033333,0.197568,0.005440,0.357243,0.073238,0.071835,0.440142,0.086157,0.012704,0.355292
5,0.041667,0.197536,0.005544,0.357085,0.073531,0.072249,0.440422,0.086347,0.013107,0.355528
6,0.050000,0.197449,0.005542,0.356905,0.073870,0.072772,0.440662,0.086480,0.013496,0.355626
7,0.058333,0.197266,0.005400,0.356644,0.074236,0.073162,0.441202,0.086648,0.013800,0.355866
8,0.066667,0.197081,0.005116,0.356520,0.074499,0.073636,0.441355,0.086732,0.014024,0.356094
9,0.075000,0.196825,0.004839,0.356322,0.074702,0.074018,0.441683,0.086683,0.014044,0.356513
10,0.083333,0.196338,0.004687,0.355793,0.074819,0.074336,0.441939,0.086356,0.013945,0.356767
11,0.091667,0.195866,0.004626,0.355287,0.074935,0.074623,0.442173,0.086046,0.013552,0.357262
12,0.100000,0.195488,0.004639,0.354825,0.075059,0.074953,0.442439,0.085850,0.012973,0.358127
13,0.108333,0.195249,0.004600,0.354582,0.075202,0.075177,0.442788,0.085587,0.012479,0.358744
14,0.116667,0.195019,0.004561,0.354378,0.075323,0.075409,0.443073,0.085256,0.012076,0.359249
15,0.125000,0.194914,0.004478,0.354446,0.075478,0.075610,0.443411,0.085124,0.011565,0.360034
16,0.133333,0.194777,0.004496,0.354438,0.075650,0.075854,0.443823,0.085019,0.011099,0.360687
17,0.141667,0.194608,0.004522,0.354380,0.075850,0.076112,0.444254,0.084981,0.010547,0.361584
18,0.150000,0.194256,0.004615,0.354051,0.076052,0.076369,0.444599,0.084885,0.010113,0.362167
19,0.158333,0.194014,0.004651,0.353871,0.076266,0.076584,0.444975,0.084753,0.009733,0.362684
20,0.166667,0.193734,0.004575,0.353720,0.076509,0.076801,0.445491,0.084632,0.009332,0.363247
21,0.175000,0.193434,0.004323,0.353680,0.076681,0.077049,0.445868,0.084545,0.008783,0.363866
22,0.183333,0.193107,0.004049,0.353608,0.076802,0.077236,0.446158,0.084474,0.008106,0.364523
23,0.191667,0.192633,0.003795,0.353371,0.076837,0.077430,0.446350,0.084368,0.007462,0.365224
24,0.200000,0.192069,0.003589,0.352944,0.076845,0.077573,0.446526,0.084110,0.006911,0.365779
25,0.208333,0.191549,0.003261,0.352655,0.076796,0.077761,0.446548,0.083713,0.006404,0.366124
26,0.216667,0.190965,0.002920,0.352349,0.076765,0.077904,0.446650,0.083366,0.005922,0.366645
27,0.225000,0.190436,0.002678,0.352091,0.076736,0.078053,0.446732,0.082987,0.005514,0.367244
28,0.233333,0.190002,0.002570,0.351817,0.076734,0.078161,0.446907,0.082459,0.005368,0.367357
29,0.241667,0.189675,0.002568,0.351574,0.076705,0.078278,0.446952,0.082127,0.005091,0.367809
30,0.250000,0.189390,0.002602,0.351288,0.076632,0.078396,0.446897,0.081843,0.004728,0.368259
31,0.258333,0.188997,0.002630,0.350827,0.076567,0.078482,0.446856,0.081544,0.004390,0.368443
32,0.266667,0.188698,0.002450,0.350597,0.076532,0.078527,0.446891,0.081238,0.003946,0.368664
33,0.275000,0.188384,0.002252,0.350348,0.076498,0.078539,0.446985,0.081055,0.003384,0.369120
34,0.283333,0.187980,0.002088,0.349906,0.076442,0.078544,0.447024,0.080842,0.002670,0.369551
35,0.291667,0.187734,0.001774,0.349910,0.076372,0.078536,0.447026,0.080657,0.002015,0.369974
36,0.300000,0.187313,0.001677,0.349508,0.076279,0.078557,0.446966,0.080601,0.001818,0.370254
37,0.308333,0.186989,0.001716,0.349060,0.076247,0.078612,0.446932,0.080426,0.001749,0.370147
38,0.316667,0.186714,0.001985,0.348449,0.076280,0.078808,0.446815,0.080362,0.001695,0.370133
39,0.325000,0.186801,0.002210,0.348191,0.076352,0.079036,0.446624,0.080365,0.001668,0.370116
40,0.333333,0.186777,0.002615,0.347561,0.076435,0.079333,0.446312,0.080369,0.001669,0.370076
41,0.341667,0.186866,0.002931,0.347229,0.076617,0.079627,0.446320,0.080370,0.001686,0.370027
42,0.350000,0.186949,0.003280,0.346888,0.076799,0.079949,0.446272,0.080368,0.001726,0.369988
43,0.358333,0.186960,0.003708,0.346352,0.076948,0.080349,0.446022,0.080390,0.001766,0.369955
44,0.366667,0.187045,0.004044,0.345903,0.077148,0.080647,0.445990,0.080410,0.001782,0.369929
45,0.375000,0.187253,0.004155,0.345776,0.077222,0.081038,0.445729,0.080411,0.001797,0.369888
46,0.383333,0.187451,0.004230,0.345653,0.077286,0.081520,0.445372,0.080439,0.001794,0.369946
47,0.391667,0.187640,0.004261,0.345631,0.077365,0.081907,0.445209,0.080460,0.001810,0.369959
48,0.400000,0.187709,0.004389,0.345379,0.077438,0.082254,0.445064,0.080524,0.001818,0.370020
49,0.408333,0.187778,0.004464,0.345195,0.077503,0.082613,0.444952,0.080568,0.001864,0.370003
50,0.416667,0.187781,0.004512,0.344998,0.077573,0.082982,0.444839,0.080594,0.001863,0.370093
51,0.425000,0.187728,0.004462,0.344790,0.077637,0.083340,0.444684,0.080586,0.001828,0.370273
52,0.433333,0.187597,0.004379,0.344507,0.077670,0.083682,0.444417,0.080522,0.001865,0.370308
53,0.441667,0.187519,0.004122,0.344460,0.077760,0.083987,0.444358,0.080438,0.001872,0.370419
54,0.450000,0.187338,0.003837,0.344383,0.077865,0.084287,0.444397,0.080346,0.001836,0.370568
55,0.458333,0.187039,0.003574,0.344166,0.077921,0.084629,0.444345,0.080284,0.001846,0.370699
56,0.466667,0.186744,0.003215,0.344075,0.077948,0.084877,0.444262,0.080180,0.001871,0.370750
57,0.475000,0.186354,0.002925,0.343819,0.078033,0.085064,0.444324,0.080170,0.001833,0.370976
58,0.483333,0.185940,0.002580,0.343558,0.078083,0.085233,0.444256,0.080131,0.001842,0.371076
59,0.491667,0.185681,0.002169,0.343593,0.078204,0.085318,0.444394,0.080111,0.001827,0.371198
60,0.500000,0.185484,0.001687,0.343743,0.078325,0.085401,0.444525,0.080110,0.001823,0.371319
61,0.508333,0.185324,0.001376,0.343743,0.078423,0.085460,0.444646,0.080105,0.001823,0.371389
62,0.516667,0.185152,0.001224,0.343600,0.078460,0.085449,0.444679,0.080094,0.001813,0.371424
63,0.525000,0.184963,0.001097,0.343469,0.078496,0.085388,0.444785,0.080100,0.001788,0.371468
64,0.533333,0.184672,0.000971,0.343259,0.078493,0.085272,0.444864,0.080101,0.001763,0.371466
65,0.541667,0.184503,0.000763,0.343232,0.078505,0.085127,0.445028,0.080090,0.001692,0.371497
66,0.550000,0.184274,0.000709,0.343008,0.078432,0.084965,0.445090,0.080085,0.001575,0.371599
67,0.558333,0.184139,0.000566,0.343025,0.078246,0.084824,0.445014,0.080102,0.001439,0.371702
68,0.566667,0.183979,0.000436,0.342977,0.078161,0.084575,0.445149,0.080114,0.001305,0.371785
69,0.575000,0.183863,0.000352,0.342912,0.078113,0.084325,0.445364,0.080112,0.001209,0.371799
70,0.583333,0.183838,0.000269,0.342943,0.078081,0.084112,0.445546,0.080123,0.001142,0.371799
71,0.591667,0.183818,0.000200,0.342957,0.078038,0.083973,0.445678,0.080110,0.001121,0.371692
72,0.600000,0.183801,0.000192,0.342897,0.077976,0.083879,0.445720,0.080110,0.001099,0.371649
73,0.608333,0.183833,0.000146,0.342994,0.077887,0.083831,0.445733,0.080104,0.001083,0.371645
74,0.616667,0.183802,0.000162,0.342960,0.077813,0.083802,0.445784,0.080081,0.001067,0.371636
75,0.625000,0.183786,0.000169,0.342963,0.077753,0.083760,0.445863,0.080068,0.001056,0.371653
76,0.633333,0.183790,0.000158,0.342980,0.077690,0.083718,0.445940,0.080059,0.001016,0.371644
77,0.641667,0.183824,0.000118,0.343056,0.077648,0.083653,0.446072,0.080053,0.001009,0.371623
78,0.650000,0.183815,0.000117,0.343056,0.077609,0.083534,0.446323,0.080055,0.000989,0.371608
79,0.658333,0.183771,0.000116,0.343032,0.077527,0.083416,0.446533,0.080034,0.000950,0.371597
80,0.666667,0.183712,0.000080,0.343088,0.077267,0.083392,0.446325,0.080009,0.000904,0.371598
81,0.675000,0.183584,0.000099,0.342962,0.077087,0.083311,0.446347,0.080000,0.000848,0.371614
82,0.683333,0.183489,0.000097,0.342846,0.076853,0.083310,0.446082,0.080009,0.000773,0.371577
83,0.691667,0.183459,0.000059,0.342805,0.076820,0.083208,0.446277,0.080015,0.000733,0.371495
84,0.700000,0.183461,0.000001,0.342825,0.076777,0.083180,0.446317,0.080046,0.000723,0.371412
85,0.708333,0.183446,-0.000016,0.342802,0.076739,0.083186,0.446318,0.080079,0.000720,0.371346
86,0.716667,0.183434,-0.000020,0.342775,0.076688,0.083228,0.446277,0.080127,0.000704,0.371334
87,0.725000,0.183434,-0.000041,0.342754,0.076680,0.083266,0.446325,0.080189,0.000650,0.371363
88,0.733333,0.183463,-0.000119,0.342828,0.076680,0.083321,0.446293,0.080250,0.000643,0.371291
89,0.741667,0.183482,-0.000211,0.342871,0.076688,0.083361,0.446282,0.080351,0.000567,0.371285
90,0.750000,0.183426,-0.000247,0.342728,0.076669,0.083412,0.446201,0.080475,0.000482,0.371330
91,0.758333,0.183398,-0.000276,0.342658,0.076655,0.083470,0.446189,0.080595,0.000440,0.371327
92,0.766667,0.183382,-0.000309,0.342665,0.076631,0.083562,0.446204,0.080709,0.000415,0.371321
93,0.775000,0.183330,-0.000303,0.342605,0.076592,0.083663,0.446129,0.080772,0.000425,0.371233
94,0.783333,0.183249,-0.000301,0.342518,0.076593,0.083807,0.446075,0.080843,0.000442,0.371122
95,0.791667,0.183184,-0.000366,0.342455,0.076632,0.083921,0.446074,0.080917,0.000471,0.370916
96,0.800000,0.183136,-0.000412,0.342389,0.076694,0.084056,0.446067,0.081019,0.000477,0.370801
97,0.808333,0.183077,-0.000448,0.342291,0.076739,0.084255,0.445930,0.081064,0.000524,0.370636
98,0.816667,0.183038,-0.000463,0.342218,0.076747,0.084531,0.445655,0.081135,0.000522,0.370580
99,0.825000,0.182994,-0.000446,0.342113,0.076790,0.084696,0.445565,0.081214,0.000526,0.370544
100,0.833333,0.182972,-0.000446,0.342068,0.076831,0.084819,0.445539,0.081270,0.000561,0.370440
101,0.841667,0.182916,-0.000423,0.341967,0.076836,0.084873,0.445485,0.081357,0.000568,0.370431
102,0.850000,0.182810,-0.000381,0.341812,0.076831,0.084876,0.445499,0.081439,0.000571,0.370393
103,0.858333,0.182739,-0.000375,0.341741,0.076808,0.084852,0.445525,0.081526,0.000554,0.370382
104,0.866667,0.182656,-0.000368,0.341654,0.076772,0.084808,0.445536,0.081583,0.000538,0.370358
105,0.875000,0.182638,-0.000398,0.341722,0.076745,0.084771,0.445527,0.081685,0.000497,0.370412
106,0.883333,0.182607,-0.000371,0.341772,0.076735,0.084733,0.445553,0.081757,0.000494,0.370428
107,0.891667,0.182558,-0.000325,0.341841,0.076719,0.084707,0.445592,0.081788,0.000515,0.370400
108,0.900000,0.182483,-0.000267,0.341892,0.076721,0.084630,0.445776,0.081806,0.000517,0.370390
109,0.908333,0.182337,-0.000226,0.341824,0.076715,0.084546,0.445841,0.081831,0.000464,0.370431
110,0.916667,0.182291,-0.000227,0.341881,0.076749,0.084419,0.446070,0.081847,0.000417,0.370460
111,0.925000,0.182211,-0.000170,0.341874,0.076737,0.084325,0.446155,0.081851,0.000407,0.370462
112,0.933333,0.182171,-0.000127,0.341948,0.076700,0.084185,0.446274,0.081831,0.000425,0.370449
113,0.941667,0.182122,-0.000039,0.342054,0.076622,0.084063,0.446370,0.081802,0.000454,0.370430
114,0.950000,0.182052,-0.000008,0.342163,0.076520,0.083893,0.446443,0.081774,0.000452,0.370412
115,0.958333,0.182007,-0.000019,0.342306,0.076440,0.083662,0.446624,0.081751,0.000410,0.370455
116,0.966667,0.181898,-0.000024,0.342326,0.076405,0.083417,0.446910,0.081729,0.000368,0.370479
117,0.975000,0.181847,-0.000006,0.342373,0.076363,0.083254,0.447128,0.081681,0.000374,0.370447
118,0.983333,0.181795,0.000048,0.342393,0.076318,0.083114,0.447300,0.081661,0.000384,0.370469
119,0.991667,0.181721,0.000109,0.342374,0.076289,0.082957,0.447541,0.081630,0.000391,0.370491
120,1.000000,0.181685,0.000182,0.342417,0.076261,0.082794,0.447756,0.081599,0.000424,0.370468
121,1.008333,0.181624,0.000171,0.342503,0.076234,0.082627,0.447934,0.081594,0.000395,0.370523
122,1.016667,0.181572,0.000205,0.342521,0.076209,0.082467,0.448055,0.081587,0.000397,0.370497
123,1.025000,0.181508,0.000197,0.342571,0.076213,0.082306,0.448253,0.081604,0.000370,0.370541
124,1.033333,0.181451,0.000236,0.342553,0.076196,0.082188,0.448280,0.081667,0.000333,0.370625
125,1.041667,0.181461,0.000202,0.342752,0.076198,0.082067,0.448470,0.081667,0.000372,0.370590
126,1.050000,0.181403,0.000255,0.342764,0.076173,0.081968,0.448509,0.081679,0.000385,0.370593
127,1.058333,0.181389,0.000263,0.342882,0.076170,0.081788,0.448700,0.081692,0.000387,0.370565
128,1.066667,0.181343,0.000270,0.342974,0.076145,0.081611,0.448875,0.081678,0.000390,0.370540
129,1.075000,0.181319,0.000251,0.343065,0.076074,0.081454,0.448864,0.081682,0.000356,0.370559
130,1.083333,0.181311,0.000225,0.343191,0.076068,0.081307,0.449048,0.081669,0.000346,0.370570
131,1.091667,0.181291,0.000264,0.343203,0.076040,0.081205,0.449050,0.081682,0.000367,0.370558
132,1.100000,0.181296,0.000267,0.343298,0.076032,0.081060,0.449224,0.081687,0.000367,0.370619
133,1.108333,0.181269,0.000312,0.343314,0.075981,0.080926,0.449280,0.081675,0.000398,0.370593
134,1.116667,0.181269,0.000318,0.343345,0.075923,0.080799,0.449314,0.081680,0.000378,0.370616
135,1.125000,0.181295,0.000295,0.343413,0.075866,0.080648,0.449400,0.081676,0.000361,0.370623
136,1.133333,0.181302,0.000266,0.343424,0.075853,0.080502,0.449516,0.081676,0.000342,0.370599
137,1.141667,0.181314,0.000276,0.343425,0.075856,0.080422,0.449674,0.081678,0.000348,0.370605
138,1.150000,0.181336,0.000283,0.343429,0.075857,0.080403,0.449729,0.081681,0.000376,0.370571
139,1.158333,0.181356,0.000301,0.343459,0.075857,0.080400,0.449834,0.081677,0.000410,0.370556
140,1.166667,0.181359,0.000318,0.343433,0.075847,0.080391,0.449889,0.081668,0.000418,0.370520
141,1.175000,0.181375,0.000302,0.343439,0.075846,0.080347,0.450032,0.081656,0.000401,0.370509
142,1.183333,0.181391,0.000266,0.343437,0.075832,0.080321,0.450058,0.081653,0.000351,0.370533
143,1.191667,0.181391,0.000254,0.343399,0.075810,0.080343,0.449992,0.081639,0.000338,0.370510
144,1.200000,0.181400,0.000253,0.343402,0.075805,0.080382,0.450107,0.081613,0.000346,0.370474
145,1.208333,0.181402,0.000271,0.343385,0.075797,0.080429,0.450168,0.081565,0.000390,0.370393
146,1.216667,0.181401,0.000286,0.343366,0.075772,0.080479,0.450181,0.081536,0.000403,0.370374
147,1.225000,0.181440,0.000260,0.343347,0.075734,0.080516,0.450131,0.081520,0.000389,0.370362
148,1.233333,0.181421,0.000257,0.343250,0.075717,0.080503,0.450164,0.081469,0.000387,0.370264
149,1.241667,0.181489,0.000208,0.343313,0.075692,0.080533,0.450152,0.081442,0.000361,0.370252
150,1.250000,0.181491,0.000215,0.343246,0.075680,0.080578,0.450161,0.081425,0.000345,0.370237
151,1.258333,0.181488,0.000252,0.343172,0.075664,0.080616,0.450223,0.081396,0.000368,0.370200
152,1.266667,0.181500,0.000266,0.343151,0.075664,0.080605,0.450325,0.081370,0.000377,0.370194
153,1.275000,0.181513,0.000258,0.343149,0.075630,0.080582,0.450355,0.081336,0.000378,0.370174
154,1.283333,0.181491,0.000268,0.343089,0.075625,0.080475,0.450615,0.081316,0.000348,0.370202
155,1.291667,0.181515,0.000247,0.343131,0.075600,0.080412,0.450671,0.081307,0.000303,0.370239
156,1.300000,0.181509,0.000268,0.343093,0.075586,0.080351,0.450759,0.081280,0.000299,0.370233
