Format Version,1.23,Take Name,Take 2024-04-16 11.26.20 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-16 11.26.21.092 AM,Capture Start Frame,160692,Total Frames in Take,6521,Total Exported Frames,6521,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1203,Unlabeled 1203,Unlabeled 1203,Unlabeled 1204,Unlabeled 1204,Unlabeled 1204,Unlabeled 1205,Unlabeled 1205,Unlabeled 1205,Unlabeled 1206,Unlabeled 1206,Unlabeled 1206,Unlabeled 1207,Unlabeled 1207,Unlabeled 1207,Unlabeled 1208,Unlabeled 1208,Unlabeled 1208,Unlabeled 1209,Unlabeled 1209,Unlabeled 1209
,ID,"CE7E0","CE7E0","CE7E0","CE7F0","CE7F0","CE7F0","CE8A0","CE8A0","CE8A0","CE900","CE900","CE900","CE8F0","CE8F0","CE8F0","CE910","CE910","CE910","CE940","CE940","CE940"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.208037,-0.027896,-0.112337,0.235982,-0.024726,-0.079469,0.246401,-0.041522,-0.190746,,,,,,,,,,,,
1,0.008333,0.208066,-0.027891,-0.112344,0.235981,-0.024720,-0.079463,0.246391,-0.041524,-0.190746,,,,,,,,,,,,
2,0.016667,0.208073,-0.027876,-0.112337,0.236001,-0.024706,-0.079460,0.246401,-0.041509,-0.190744,,,,,,,,,,,,
3,0.025000,0.208044,-0.027861,-0.112325,0.236003,-0.024680,-0.079448,0.246407,-0.041493,-0.190732,,,,,,,,,,,,
4,0.033333,0.208044,-0.027844,-0.112325,0.235961,-0.024662,-0.079444,0.246399,-0.041475,-0.190729,,,,,,,,,,,,
5,0.041667,0.208059,-0.027851,-0.112334,0.235976,-0.024672,-0.079455,0.246366,-0.041490,-0.190733,,,,,,,,,,,,
