Format Version,1.23,Take Name,Take 2024-04-16 11.18.04 AM_004,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-16 11.53.18.899 AM,Capture Start Frame,433325,Total Frames in Take,3649,Total Exported Frames,3649,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1320,Unlabeled 1320,Unlabeled 1320,Unlabeled 1321,Unlabeled 1321,Unlabeled 1321,Unlabeled 1322,Unlabeled 1322,Unlabeled 1322,Unlabeled 1324,Unlabeled 1324,Unlabeled 1324
,ID,"CF6B0","CF6B0","CF6B0","CF6D0","CF6D0","CF6D0","CF6E0","CF6E0","CF6E0","CF720","CF720","CF720"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.078170,0.024492,0.456006,0.179477,0.002540,0.342036,0.086482,0.001419,0.366325,,,
1,0.008333,0.078167,0.024485,0.455999,0.179476,0.002541,0.342032,0.086489,0.001411,0.366344,,,
2,0.016667,0.078161,0.024495,0.455968,0.179476,0.002543,0.342032,0.086485,0.001424,0.366322,,,
3,0.025000,0.078165,0.024493,0.455977,0.179479,0.002542,0.342035,0.086492,0.001420,0.366350,,,
4,0.033333,0.078172,0.024495,0.455995,0.179466,0.002547,0.342013,0.086479,0.001435,0.366310,,,
5,0.041667,0.078172,0.024496,0.455976,0.179472,0.002536,0.342032,0.086493,0.001426,0.366335,,,
6,0.050000,0.078162,0.024488,0.455939,0.179472,0.002529,0.342021,0.086480,0.001440,0.366300,,,
7,0.058333,0.078181,0.024473,0.456002,0.179474,0.002524,0.342031,0.086488,0.001423,0.366338,,,
8,0.066667,0.078170,0.024484,0.455949,0.179463,0.002539,0.342008,0.086493,0.001416,0.366348,,,
9,0.075000,0.078160,0.024484,0.455930,0.179463,0.002540,0.342011,0.086492,0.001415,0.366343,,,
10,0.083333,0.078171,0.024458,0.455981,0.179467,0.002533,0.342010,0.086489,0.001423,0.366333,,,
