Format Version,1.23,Take Name,Take 2024-04-16 11.53.33 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-16 11.53.34.174 AM,Capture Start Frame,356686,Total Frames in Take,7312,Total Exported Frames,7312,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006
,ID,"C38D0","C38D0","C38D0","C3900","C3900","C3900","C3910","C3910","C3910","C3920","C3920","C3920"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.223779,-0.055350,-0.066152,0.166402,-0.021757,0.000338,0.186807,-0.024658,0.044847,,,
1,0.008333,0.223799,-0.055337,-0.066142,0.166404,-0.021749,0.000348,0.186814,-0.024642,0.044858,,,
2,0.016667,0.223751,-0.055345,-0.066117,0.166389,-0.021739,0.000360,0.186822,-0.024618,0.044872,,,
3,0.025000,0.223733,-0.055373,-0.066089,0.166383,-0.021745,0.000375,0.186918,-0.024595,0.044922,,,
4,0.033333,0.223696,-0.055401,-0.066062,0.166388,-0.021755,0.000394,0.186923,-0.024595,0.044933,,,
5,0.041667,0.223662,-0.055425,-0.066044,0.166378,-0.021760,0.000398,0.186937,-0.024602,0.044950,,,
6,0.050000,0.223666,-0.055429,-0.066032,0.166382,-0.021759,0.000404,0.186944,-0.024589,0.044959,,,
7,0.058333,0.223665,-0.055423,-0.066032,0.166404,-0.021742,0.000403,0.186951,-0.024581,0.044960,,,
8,0.066667,0.223688,-0.055407,-0.066033,0.166378,-0.021735,0.000399,0.186957,-0.024571,0.044958,,,
9,0.075000,0.223680,-0.055414,-0.066039,0.166402,-0.021750,0.000397,0.186938,-0.024591,0.044953,,,
10,0.083333,0.223680,-0.055425,-0.066045,0.166378,-0.021773,0.000393,0.186941,-0.024606,0.044947,,,
11,0.091667,0.223691,-0.055430,-0.066045,0.166377,-0.021780,0.000396,0.186938,-0.024617,0.044953,,,
12,0.100000,0.223704,-0.055415,-0.066045,0.166398,-0.021765,0.000406,0.186907,-0.024621,0.044944,,,
13,0.108333,0.223682,-0.055389,-0.066045,0.166377,-0.021748,0.000408,0.186936,-0.024584,0.044956,,,
14,0.116667,0.223719,-0.055349,-0.066049,0.166391,-0.021720,0.000414,0.186936,-0.024566,0.044958,,,
15,0.125000,0.223768,-0.055323,-0.066056,0.166375,-0.021713,0.000407,0.186926,-0.024562,0.044947,,,
16,0.133333,0.223744,-0.055341,-0.066077,0.166384,-0.021736,0.000394,0.186873,-0.024599,0.044910,,,
17,0.141667,0.223745,-0.055364,-0.066094,0.166381,-0.021765,0.000384,0.186839,-0.024642,0.044887,,,
18,0.150000,0.223767,-0.055381,-0.066097,0.166389,-0.021788,0.000381,0.186847,-0.024662,0.044887,,,
19,0.158333,0.223792,-0.055380,-0.066089,0.166375,-0.021793,0.000383,0.186864,-0.024659,0.044895,,,
20,0.166667,0.223767,-0.055371,-0.066076,0.166377,-0.021766,0.000393,0.186950,-0.024607,0.044941,,,
21,0.175000,0.223728,-0.055347,-0.066062,0.166368,-0.021726,0.000405,0.186942,-0.024577,0.044950,,,
22,0.183333,0.223750,-0.055331,-0.066045,0.166373,-0.021712,0.000416,0.186928,-0.024557,0.044962,,,
23,0.191667,0.223710,-0.055346,-0.066036,0.166359,-0.021715,0.000423,0.186928,-0.024566,0.044964,,,
24,0.200000,0.223740,-0.055360,-0.066033,0.166348,-0.021759,0.000420,0.186902,-0.024596,0.044956,,,
25,0.208333,0.223757,-0.055371,-0.066042,0.166357,-0.021769,0.000415,0.186931,-0.024606,0.044958,,,
26,0.216667,0.223766,-0.055362,-0.066059,0.166382,-0.021764,0.000411,0.186917,-0.024619,0.044937,,,
27,0.225000,0.223716,-0.055354,-0.066077,0.166393,-0.021755,0.000401,0.186932,-0.024610,0.044931,,,
28,0.233333,0.223735,-0.055341,-0.066081,0.166350,-0.021764,0.000397,0.186846,-0.024634,0.044902,,,
29,0.241667,0.223746,-0.055334,-0.066076,0.166345,-0.021765,0.000407,0.186940,-0.024606,0.044938,,,
30,0.250000,0.223711,-0.055346,-0.066074,0.166367,-0.021759,0.000415,0.186847,-0.024631,0.044910,,,
31,0.258333,0.223713,-0.055330,-0.066077,0.166348,-0.021758,0.000417,0.186914,-0.024602,0.044940,,,
32,0.266667,0.223721,-0.055314,-0.066081,0.166350,-0.021747,0.000418,0.186887,-0.024604,0.044928,,,
33,0.275000,0.223722,-0.055293,-0.066094,0.166344,-0.021724,0.000414,0.186960,-0.024571,0.044933,,,
34,0.283333,0.223727,-0.055284,-0.066112,0.166359,-0.021733,0.000400,0.186836,-0.024617,0.044888,,,
35,0.291667,0.223775,-0.055282,-0.066133,0.166374,-0.021747,0.000390,0.186865,-0.024631,0.044877,,,
36,0.300000,0.223801,-0.055289,-0.066141,0.166355,-0.021773,0.000381,0.186849,-0.024652,0.044865,,,
37,0.308333,0.223782,-0.055311,-0.066128,0.166359,-0.021788,0.000390,0.186869,-0.024660,0.044880,,,
38,0.316667,0.223747,-0.055316,-0.066111,0.166389,-0.021773,0.000411,0.186830,-0.024667,0.044887,,,
39,0.325000,0.223750,-0.055298,-0.066095,0.166376,-0.021759,0.000419,0.186970,-0.024598,0.044939,,,
40,0.333333,0.223763,-0.055270,-0.066084,0.166345,-0.021729,0.000421,0.186950,-0.024569,0.044941,,,
