Format Version,1.23,Take Name,Take 2024-04-16 11.47.16 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-16 11.47.16.236 AM,Capture Start Frame,311328,Total Frames in Take,6967,Total Exported Frames,6967,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1245,Unlabeled 1245,Unlabeled 1245,Unlabeled 1246,Unlabeled 1246,Unlabeled 1246,Unlabeled 1247,Unlabeled 1247,Unlabeled 1247,Unlabeled 1248,Unlabeled 1248,Unlabeled 1248,Unlabeled 1249,Unlabeled 1249,Unlabeled 1249
,ID,"D0880","D0880","D0880","D08E0","D08E0","D08E0","D0900","D0900","D0900","D0910","D0910","D0910","D0920","D0920","D0920"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.288291,-0.048403,-0.073422,0.260699,-0.025371,0.038223,0.239068,-0.022510,-0.004532,,,,,,
1,0.008333,0.288311,-0.048423,-0.073417,0.260722,-0.025378,0.038232,0.239085,-0.022524,-0.004529,,,,,,
2,0.016667,0.288309,-0.048419,-0.073420,0.260710,-0.025385,0.038226,0.239110,-0.022514,-0.004524,,,,,,
3,0.025000,0.288295,-0.048412,-0.073423,0.260725,-0.025376,0.038220,0.239092,-0.022516,-0.004525,,,,,,
4,0.033333,0.288287,-0.048401,-0.073427,0.260740,-0.025363,0.038224,0.239090,-0.022512,-0.004524,,,,,,
5,0.041667,0.288289,-0.048405,-0.073433,0.260702,-0.025392,0.038215,0.239087,-0.022531,-0.004525,,,,,,
6,0.050000,0.288315,-0.048427,-0.073433,0.260749,-0.025414,0.038223,0.239114,-0.022554,-0.004521,,,,,,
7,0.058333,0.288317,-0.048460,-0.073430,0.260737,-0.025449,0.038220,0.239090,-0.022591,-0.004520,,,,,,
8,0.066667,0.288320,-0.048465,-0.073429,0.260751,-0.025450,0.038218,0.239105,-0.022590,-0.004515,,,,,,
9,0.075000,0.288321,-0.048440,-0.073424,0.260727,-0.025425,0.038221,0.239079,-0.022573,-0.004515,,,,,,
10,0.083333,0.288283,-0.048411,-0.073420,0.260749,-0.025374,0.038222,0.239109,-0.022519,-0.004510,,,,,,
11,0.091667,0.288295,-0.048380,-0.073413,0.260767,-0.025337,0.038226,0.239073,-0.022500,-0.004513,,,,,,
12,0.100000,0.288254,-0.048383,-0.073416,0.260707,-0.025346,0.038210,0.239105,-0.022482,-0.004509,,,,,,
13,0.108333,0.288291,-0.048391,-0.073413,0.260726,-0.025353,0.038219,0.239078,-0.022505,-0.004511,,,,,,
14,0.116667,0.288289,-0.048416,-0.073410,0.260746,-0.025372,0.038221,0.239114,-0.022523,-0.004503,,,,,,
15,0.125000,0.288286,-0.048446,-0.073411,0.260736,-0.025411,0.038218,0.239097,-0.022559,-0.004505,,,,,,
