Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.297515,0.945297,0.722762,-0.064602,1.745375,0.055759,-0.232516,2.819569,0.195916,-0.310807,0.122322,0.711077,-0.397141,2.170578,0.152406,0.494711,1.717165,0.973928,-0.212874,0.897047,0.413838,0.22809,2.883262,0.899668,0.175449,2.240307,1.057273,0.254135,0.080114,0.764763,-0.231325,1.86619,0.332249
0.01,0.297615,0.945315,0.722552,-0.056992,1.744721,0.058053,-0.232547,2.818604,0.196223,-0.310782,0.122299,0.711084,-0.393156,2.169105,0.147608,0.496437,1.716389,0.971172,-0.212384,0.896816,0.41345,0.228881,2.882484,0.899094,0.178763,2.239869,1.057116,0.254236,0.080651,0.764557,-0.232061,1.866024,0.332877
0.02,0.297617,0.945396,0.722367,-0.050988,1.744274,0.058459,-0.232049,2.818002,0.196282,-0.310808,0.122295,0.711084,-0.388836,2.1683,0.143102,0.497958,1.715715,0.968013,-0.212485,0.896914,0.413257,0.231121,2.882093,0.897574,0.182589,2.239604,1.057134,0.254232,0.080653,0.764557,-0.232148,1.866245,0.332807
0.03,0.299076,0.945957,0.719906,-0.044058,1.744528,0.058943,-0.231603,2.817158,0.196447,-0.310776,0.122317,0.711076,-0.384673,2.167272,0.13913,0.498791,1.714259,0.965406,-0.212511,0.896497,0.413039,0.231286,2.880996,0.8976,0.185604,2.238302,1.056322,0.286463,1.878612,0.858405,-0.23341,1.86579,0.334078
0.04,0.299399,0.946033,0.719433,-0.036905,1.743862,0.059418,-0.231106,2.816606,0.196473,-0.31075,0.122304,0.711103,-0.379753,2.16571,0.135122,0.50013,1.713146,0.962765,-0.212562,0.896545,0.412927,0.233146,2.880511,0.896247,0.188876,2.237113,1.056112,0.286597,1.878589,0.858276,-0.234158,1.865502,0.334813
0.05,0.297924,0.945233,0.72046,-0.029478,1.74341,0.060401,-0.22932,2.816464,0.194949,-0.31074,0.122346,0.711101,-0.375146,2.164793,0.131838,0.501637,1.711547,0.960362,-0.21265,0.896549,0.412851,0.233401,2.879455,0.896329,0.192872,2.236397,1.055759,0.25421,0.080673,0.764537,-0.226623,1.870745,0.322038
0.06,0.299891,0.945945,0.71881,-0.021544,1.741987,0.060583,-0.228994,2.816065,0.19516,-0.310781,0.122345,0.711154,-0.369607,2.16409,0.128067,0.501821,1.709332,0.957528,-0.213062,0.896717,0.413118,0.234409,2.878643,0.895765,0.196451,2.235395,1.055002,0.25425,0.080621,0.764455,-0.226924,1.870517,0.324923
0.07,0.300195,0.946056,0.718472,-0.014243,1.73989,0.061161,-0.228675,2.815787,0.195405,-0.310863,0.12233,0.711171,-0.364245,2.163135,0.124837,0.503209,1.707688,0.95429,-0.213121,0.896696,0.413105,0.235186,2.87778,0.895258,0.199495,2.234461,1.053872,0.254244,0.080633,0.764501,-0.224029,1.871819,0.322122
0.08,0.300374,0.946085,0.718257,-0.0059,1.738551,0.061555,-0.22824,2.815496,0.195428,-0.310859,0.122393,0.711199,-0.358895,2.162684,0.121986,0.504212,1.705952,0.951281,-0.213469,0.896779,0.413248,0.236085,2.87719,0.894702,0.202686,2.233222,1.052355,0.28745,1.878673,0.857604,-0.22677,1.871205,0.324927
0.09,0.300309,0.945876,0.718289,0.001575,1.73649,0.06183,-0.228045,2.815637,0.195745,-0.310806,0.122332,0.711185,-0.352214,2.162199,0.119395,0.505791,1.704806,0.947336,-0.213569,0.896782,0.413304,0.237907,2.877043,0.892968,0.206075,2.232654,1.050881,0.254315,0.080553,0.764452,-0.225526,1.872359,0.321833
0.1,0.30044,0.945788,0.718153,0.009142,1.734534,0.062342,-0.227842,2.815603,0.196147,-0.310769,0.122326,0.711195,-0.347012,2.16198,0.117352,0.507086,1.703381,0.9438,-0.213675,0.896888,0.41329,0.238181,2.876571,0.892637,0.209478,2.232146,1.049456,0.254353,0.080511,0.764432,-0.225133,1.87224,0.32322
0.11,0.300816,0.945896,0.71777,0.01719,1.732639,0.062084,-0.227707,2.815601,0.196448,-0.310774,0.122288,0.711231,-0.339832,2.161779,0.114812,0.508421,1.702467,0.939787,-0.213765,0.896972,0.413194,0.239485,2.876513,0.893465,0.21294,2.231501,1.04761,0.254391,0.080467,0.764395,-0.225319,1.872391,0.324351
0.12,0.300896,0.945851,0.717632,0.023654,1.730761,0.061469,-0.227601,2.815576,0.196896,-0.310879,0.122101,0.711298,-0.333581,2.161252,0.113536,0.509355,1.700965,0.936052,-0.213878,0.896959,0.413257,0.239637,2.876162,0.893049,0.215867,2.231026,1.045622,0.254405,0.080454,0.764401,-0.226247,1.87277,0.322984
0.13,0.301022,0.945836,0.717607,0.031393,1.730072,0.060634,-0.227483,2.815554,0.197253,-0.310827,0.122256,0.711257,-0.326643,2.161446,0.111907,0.510084,1.699651,0.932481,-0.213945,0.896929,0.413331,0.23912,2.875816,0.891709,0.218579,2.230399,1.043446,0.254438,0.080417,0.764379,-0.225656,1.872247,0.324331
0.14,0.301006,0.945885,0.717608,0.037858,1.729204,0.05929,-0.227303,2.815477,0.197619,-0.310893,0.122096,0.711297,-0.320792,2.160874,0.111091,0.511096,1.698749,0.92909,-0.214138,0.897041,0.41339,0.238321,2.875449,0.892408,0.221076,2.22999,1.041178,0.254443,0.080417,0.764417,-0.225974,1.872318,0.324752
0.15,0.301137,0.946047,0.717588,0.045318,1.728813,0.058075,-0.226772,2.815533,0.197791,-0.310862,0.122278,0.71128,-0.313872,2.161167,0.110131,0.511479,1.697467,0.925966,-0.214689,0.896991,0.413926,0.239227,2.875969,0.890969,0.223213,2.229569,1.038722,0.254692,0.0805,0.764724,-0.225768,1.872207,0.325611
0.16,0.301128,0.945966,0.717593,0.052314,1.728002,0.056537,-0.226195,2.815657,0.198095,-0.310922,0.122129,0.711393,-0.308192,2.160847,0.109825,0.512586,1.697475,0.921545,-0.214716,0.896904,0.41423,0.239316,2.876044,0.890868,0.225268,2.229402,1.036613,0.254687,0.080503,0.764702,-0.224831,1.871704,0.327835
0.17,0.301241,0.94605,0.717546,0.05985,1.726985,0.054999,-0.225141,2.816114,0.198114,-0.311021,0.12189,0.711478,-0.301924,2.160797,0.109384,0.513154,1.696352,0.91804,-0.214919,0.897168,0.414057,0.239345,2.876133,0.890757,0.226968,2.229115,1.034219,0.254697,0.080495,0.764718,-0.224253,1.871365,0.32881
0.18,0.301429,0.946071,0.71756,0.067454,1.725507,0.053285,-0.224296,2.816331,0.198244,-0.31109,0.121905,0.711486,-0.296931,2.160858,0.109534,0.512663,1.69496,0.915138,-0.215049,0.897115,0.414236,0.240091,2.876416,0.892036,0.22802,2.22873,1.031751,-0.241272,1.879299,0.330579,-0.222878,1.869683,0.332084
0.19,0.30148,0.946052,0.717603,0.074945,1.72372,0.051001,-0.223632,2.816786,0.198414,-0.31114,0.12187,0.711516,-0.291935,2.160273,0.110103,0.513871,1.694406,0.910941,-0.215334,0.897098,0.414848,0.240045,2.876566,0.892086,0.229381,2.228383,1.029714,-0.241541,1.879502,0.330938,-0.222132,1.86895,0.333893
0.2,0.301542,0.946183,0.717436,0.082508,1.721555,0.048675,-0.222899,2.81737,0.198429,-0.311133,0.121853,0.711524,-0.28665,2.160313,0.110753,0.514539,1.694349,0.907011,-0.215508,0.897409,0.414714,0.239693,2.876728,0.892156,0.230305,2.228014,1.027711,-0.241832,1.879729,0.331331,-0.222228,1.86927,0.334185
