Format Version,1.1,Take Name,Trial03,Capture Frame Rate,120.014526,Export Frame Rate,120.014526,Capture Start Time,2017-11-07 07.12.50.309 PM,Total Frames,646,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_11922,Marker_11922,Marker_11922,Marker_11914,Marker_11914,Marker_11914,Marker_11916,Marker_11916,Marker_11916
,,"8392B20CF49E35702E92","8392B20CF49E35702E92","8392B20CF49E35702E92","8392B20CF49E35702E8A","8392B20CF49E35702E8A","8392B20CF49E35702E8A","8392B20CF49E35702E8C","8392B20CF49E35702E8C","8392B20CF49E35702E8C"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.068613,0.047569,-0.008978,0.114703,0.070102,0.060311,0.102718,0.056706,0.123749
1,0.008332,0.067783,0.047641,-0.008706,0.114281,0.070118,0.060239,0.102443,0.056743,0.123697
2,0.016665,0.067916,0.047844,-0.008927,0.114080,0.070133,0.060261,0.102257,0.056851,0.123654
3,0.024997,0.069008,0.048434,-0.009437,0.114233,0.070282,0.060360,0.102130,0.056865,0.123668
4,0.033329,0.070795,0.049026,-0.010346,0.114498,0.070356,0.060512,0.102161,0.056864,0.123719
5,0.041662,0.073918,0.049908,-0.011731,0.114923,0.070455,0.060697,0.102263,0.056809,0.123785
6,0.049994,0.078447,0.051193,-0.013540,0.115516,0.070438,0.060952,0.102277,0.056577,0.123919
7,0.058326,0.084232,0.052980,-0.015561,0.116323,0.070592,0.061262,0.102396,0.056449,0.124067
8,0.066659,0.090669,0.055124,-0.017357,0.117142,0.070691,0.061707,0.102640,0.056405,0.124202
9,0.074991,0.097212,0.057552,-0.018576,0.118065,0.070843,0.062083,0.102791,0.056290,0.124297
10,0.083323,0.102830,0.059523,-0.019347,0.118924,0.071006,0.062558,0.103118,0.056225,0.124413
11,0.091656,0.107641,0.061068,-0.019679,0.119460,0.070933,0.062897,0.103343,0.056173,0.124488
12,0.099988,0.110969,0.062104,-0.019711,0.120250,0.071147,0.063191,0.103676,0.056214,0.124569
13,0.108320,0.112820,0.062913,-0.019617,0.120707,0.071165,0.063378,0.103994,0.056194,0.124676
14,0.116653,0.113321,0.062994,-0.019474,0.120973,0.071083,0.063487,0.104219,0.056137,0.124760
15,0.124985,0.112175,0.062307,-0.019362,0.121206,0.071066,0.063494,0.104506,0.056144,0.124836
16,0.133317,0.109500,0.061306,-0.019135,0.121220,0.070942,0.063376,0.104700,0.056115,0.124867
17,0.141650,0.105282,0.059883,-0.018721,0.120919,0.070747,0.063173,0.104733,0.056058,0.124866
18,0.149982,0.099864,0.058265,-0.017964,0.120509,0.070674,0.062819,0.104725,0.056057,0.124849
19,0.158314,0.093804,0.056843,-0.016763,0.119826,0.070671,0.062525,0.104632,0.056115,0.124785
20,0.166646,0.087398,0.055244,-0.015152,0.118833,0.070501,0.062148,0.104329,0.056129,0.124706
21,0.174979,0.081404,0.053493,-0.013406,0.117873,0.070485,0.061812,0.104058,0.056280,0.124567
22,0.183311,0.076895,0.052163,-0.011816,0.116946,0.070476,0.061447,0.103607,0.056309,0.124394
23,0.191643,0.073679,0.051157,-0.010778,0.115977,0.070482,0.061190,0.103126,0.056447,0.124248
24,0.199976,0.072256,0.050822,-0.010399,0.115266,0.070491,0.060970,0.102737,0.056554,0.124132
25,0.208308,0.072071,0.050767,-0.010617,0.114807,0.070569,0.060884,0.102347,0.056608,0.123980
26,0.216640,0.072751,0.050888,-0.011201,0.114666,0.070629,0.060845,0.102121,0.056800,0.123902
27,0.224973,0.074620,0.051217,-0.012032,0.114713,0.070674,0.060863,0.101886,0.056791,0.123879
28,0.233305,0.077447,0.051591,-0.013311,0.114908,0.070678,0.060919,0.101790,0.056778,0.123865
29,0.241637,0.081555,0.052154,-0.014755,0.115475,0.070692,0.061063,0.101856,0.056759,0.123883
30,0.249970,0.086632,0.052837,-0.016388,0.116167,0.070696,0.061198,0.101978,0.056704,0.123907
31,0.258302,0.092226,0.053512,-0.017908,0.116815,0.070577,0.061395,0.102185,0.056599,0.123934
32,0.266634,0.098189,0.054471,-0.019012,0.117771,0.070646,0.061677,0.102363,0.056459,0.124005
33,0.274967,0.103579,0.055668,-0.019712,0.118457,0.070564,0.061930,0.102542,0.056323,0.124115
34,0.283299,0.107814,0.057004,-0.019974,0.119241,0.070619,0.062257,0.102935,0.056319,0.124197
35,0.291631,0.110734,0.058217,-0.019984,0.119936,0.070781,0.062542,0.103369,0.056255,0.124323
36,0.299964,0.112180,0.059063,-0.019893,0.120246,0.070702,0.062778,0.103674,0.056210,0.124444
37,0.308296,0.112122,0.059414,-0.019717,0.120639,0.070714,0.062951,0.104026,0.056220,0.124573
38,0.316628,0.110602,0.059289,-0.019489,0.120886,0.070753,0.063004,0.104250,0.056148,0.124670
39,0.324961,0.107296,0.058531,-0.019133,0.120887,0.070705,0.062861,0.104485,0.056093,0.124717
40,0.333293,0.102467,0.057381,-0.018522,0.120569,0.070591,0.062658,0.104601,0.056072,0.124741
